date,sqft,psf,price
Dec2025,1227,2526,3100000
Nov2025,1227,2526,3100000
Sep2025,1119,2411,2700000
Sep2025,1044,2514,2625000
Aug2025,828,2338,1938000
Jul2025,1044,2526,2638000
Jun2025,1227,2387,2930000
Jun2025,1227,2347,2880000
May2025,1044,2413,2520000
May2025,1227,2237,2745000
Apr2025,828,2314,1918000
Apr2025,785,2359,1854000
Apr2025,785,2341,1840000
Apr2025,785,2290,1800000
Mar2025,1119,2349,2630000
Mar2025,828,2401,1990000
Mar2025,1410,2354,3320000
Feb2025,785,2466,1938000
Dec2024,785,2367,1860000
Nov2024,828,2304,1910000
Oct2024,828,2254,1868888
Sep2024,1044,2367,2472000
Sep2024,1044,2403,2510000
Sep2024,785,2336,1836000
Aug2024,828,2316,1920000
Jul2024,1044,2538,2650000
Jul2024,828,2388,1980000
Jul2024,1227,2432,2985000
Jul2024,785,2303,1810000
Jul2024,828,2352,1950000
Jul2024,1044,2356,2460000
Jul2024,828,2352,1950000
Jun2024,828,2268,1880000
May2024,1119,2286,2560000
Apr2024,828,2340,1940000
Apr2024,828,2364,1960000
Apr2024,1044,2326,2428888
Mar2024,785,2271,1785000
Jan2024,1044,2394,2500000
Dec2023,1227,2322,2850000
Dec2023,1227,2404,2950000
Dec2023,785,2265,1780000
Nov2023,1227,2386,2928888
Oct2023,1227,2281,2800000
Oct2023,1227,2257,2770000
Oct2023,828,2376,1970000
Sep2023,785,2354,1850000
Sep2023,785,2314,1818888
Aug2023,1227,2265,2780000
Aug2023,1044,2346,2450000
Aug2023,1119,2251,2520000
Aug2023,785,2262,1778000
Jun2023,785,2239,1760000
Jun2023,1410,2035,2870000
May2023,1227,1939,2380000
Mar2023,1119,2267,2538000
Jan2023,828,2316,1920000
Oct2022,1044,2212,2310000
Sep2022,828,2051,1700000
Sep2022,828,2217,1838000
Aug2022,785,2080,1635000
Jun2022,828,2026,1680000
Jun2022,828,2171,1800000
May2022,785,2099,1650000
Mar2022,785,1934,1520000
Nov2021,785,1966,1545000
Nov2021,1044,2059,2150000
Sep2021,1119,1990,2228000
Aug2021,828,1839,1525000
Jul2021,1044,1896,1980000
Jun2021,828,1966,1630000
Jun2021,1044,1999,2088000
Apr2021,785,1934,1520000
Feb2021,785,1845,1450000
Jan2021,785,1845,1450000
Dec2020,1044,2087,2180000
Nov2020,1044,1877,1960000
Jul2020,2583,1819,4700000
Jun2020,785,2160,1697600
Jun2020,785,2149,1689000
Jun2020,1044,2037,2127300
