date,sqft,psf,price
Jan2026,807,2033,1642000
Jan2026,656,2116,1390000
Jan2026,1108,2155,2390000
Jan2026,731,2316,1695888
Jan2026,527,2180,1150000
Dec2025,731,2472,1810000
Dec2025,947,2428,2300000
Dec2025,656,2171,1426000
Dec2025,688,2032,1400000
Nov2025,731,2390,1750000
Nov2025,656,2116,1390000
Nov2025,731,2315,1695000
Nov2025,807,2016,1628000
Nov2025,473,2091,990500
Nov2025,688,2612,1800000
Oct2025,947,2310,2189000
Oct2025,731,2486,1820000
Sep2025,656,2182,1433000
Sep2025,656,2190,1438000
Sep2025,721,2398,1730000
Sep2025,688,2489,1715000
Sep2025,688,2061,1420000
Sep2025,688,2177,1500000
Sep2025,947,2299,2178000
Sep2025,1496,2322,3475000
Sep2025,473,2087,988888
Sep2025,656,2450,1608888
Sep2025,1108,2453,2720000
Sep2025,807,2004,1618000
Aug2025,688,2435,1678000
Aug2025,527,2417,1275000
Aug2025,731,2090,1530000
Aug2025,656,2056,1350000
Aug2025,731,2281,1670000
Jul2025,1496,2529,3785000
Jul2025,656,2467,1620000
Jun2025,688,2133,1469888
Jun2025,1496,2341,3503888
Jun2025,731,2500,1830000
Jun2025,688,2496,1720000
Jun2025,731,2308,1690000
Jun2025,1108,2146,2380000
May2025,721,2617,1888000
May2025,1108,2424,2688000
May2025,656,2182,1433000
May2025,731,2281,1670000
May2025,527,2028,1070000
May2025,731,2062,1510000
May2025,473,1393,660000
Apr2025,527,2275,1200000
Apr2025,1108,2227,2470000
Apr2025,688,2395,1650000
Apr2025,807,1981,1600000
Mar2025,656,1964,1290000
Mar2025,656,2113,1388000
Mar2025,473,1942,920000
Feb2025,656,2208,1450000
Feb2025,688,2104,1450000
Feb2025,731,2485,1818888
Feb2025,527,2369,1250000
Feb2025,495,1938,960000
Feb2025,947,2502,2370000
Feb2025,947,2586,2450000
Jan2025,947,2465,2335000
Jan2025,807,2011,1624000
Dec2024,688,2300,1585000
Dec2024,1496,2152,3220000
Dec2024,731,2015,1475000
Dec2024,656,1949,1280000
Dec2024,1108,2461,2728888
Nov2024,1108,2254,2500000
Nov2024,527,2426,1280000
Nov2024,688,2322,1600000
Oct2024,947,2449,2320000
Oct2024,656,2292,1505000
Oct2024,527,2218,1170000
Oct2024,1496,2292,3430000
Oct2024,947,2158,2045000
Sep2024,731,2076,1520000
Sep2024,721,2357,1700000
Sep2024,656,2147,1410000
Sep2024,656,2512,1650000
Sep2024,688,2315,1595000
Aug2024,947,2246,2128000
Aug2024,1496,2259,3380000
Jul2024,688,2364,1628888
Jul2024,731,2117,1550000
Jul2024,731,2306,1688000
Jul2024,688,2322,1600000
Jun2024,721,2480,1788888
Jun2024,656,2573,1690000
Jun2024,721,2336,1685000
Jun2024,1108,2182,2420000
May2024,527,2275,1200000
May2024,947,2269,2150000
May2024,527,2578,1360000
May2024,1108,2254,2500000
May2024,731,2307,1688888
Apr2024,656,2314,1520000
Apr2024,721,2190,1580000
Apr2024,807,2037,1645000
Apr2024,721,2163,1560000
Apr2024,731,2306,1688000
Apr2024,688,2344,1615000
Apr2024,688,2496,1720000
Mar2024,947,2037,1930002
Feb2024,1108,2272,2520000
Feb2024,1108,2223,2465000
Feb2024,1108,2345,2600000
Feb2024,688,2453,1690000
Jan2024,947,2333,2210000
Jan2024,947,2121,2010000
Dec2023,1668,2367,3950000
Dec2023,495,2120,1050000
Dec2023,656,2113,1388000
Dec2023,731,1994,1460000
Dec2023,473,2364,1120000
Dec2023,527,2351,1240000
Dec2023,807,2029,1638000
Dec2023,656,2138,1404000
Nov2023,731,2297,1681888
Oct2023,527,2076,1095000
Sep2023,688,2392,1648000
Sep2023,1108,2345,2600000
Sep2023,731,2299,1682800
Aug2023,731,2295,1680000
Aug2023,721,2426,1750000
Aug2023,731,2185,1600000
Jul2023,721,2468,1780000
Jul2023,807,2105,1700000
Apr2023,731,2418,1770000
Apr2023,688,2406,1658000
Jan2023,807,1900,1534500
Nov2022,731,2237,1638000
Sep2022,656,2328,1529000
Sep2022,527,2601,1372000
Sep2022,1496,1956,2927000
Sep2022,527,2620,1382000
Aug2022,1496,2265,3390000
Aug2022,1496,2139,3201000
Aug2022,1496,2281,3414000
Aug2022,1496,2150,3217000
Aug2022,1496,2271,3398000
Aug2022,1496,2292,3430000
Aug2022,527,2610,1377000
Aug2022,1496,2161,3234000
Aug2022,1496,1981,2965000
Aug2022,1496,2287,3422000
Aug2022,527,2542,1341000
Aug2022,1496,2276,3406000
Jul2022,527,2495,1316000
Jul2022,527,2620,1382000
Jul2022,1496,2166,3242000
Jul2022,1496,2253,3372000
Jul2022,1496,2291,3428000
Jul2022,1496,2280,3412000
Jul2022,527,2591,1367000
Jun2022,1496,2237,3348000
Jun2022,527,2523,1331000
Jun2022,1496,2264,3388000
Jun2022,527,2432,1283000
Jun2022,527,2542,1341000
Jun2022,656,2605,1711000
Jun2022,527,2495,1316000
Jun2022,1496,2248,3364000
Jun2022,656,2611,1715000
Jun2022,1496,2302,3445000
Jun2022,656,2613,1716000
Jun2022,527,2601,1372000
Jun2022,1496,2291,3428000
Jun2022,527,2442,1288000
May2022,527,2417,1275000
May2022,1496,2252,3370000
May2022,1496,2043,3057000
May2022,527,2375,1253000
May2022,1496,2085,3121000
May2022,527,2419,1276000
May2022,656,2602,1709000
May2022,527,2387,1259000
May2022,656,2407,1581000
May2022,1496,2112,3161000
May2022,1496,2295,3434000
May2022,656,2586,1698000
May2022,527,2381,1256000
May2022,656,2622,1722000
May2022,527,2563,1352000
May2022,1496,2080,3113000
May2022,1496,2243,3356000
May2022,1496,2284,3418000
May2022,1496,1945,2911000
May2022,527,2404,1268000
May2022,527,2495,1316000
May2022,1496,2289,3426000
May2022,656,2596,1705000
May2022,527,2356,1243000
May2022,527,2464,1300000
May2022,1496,1967,2943000
May2022,527,2424,1279000
May2022,1496,1913,2863000
May2022,1496,2214,3314000
May2022,1496,2053,3073000
May2022,527,2394,1263000
May2022,656,2415,1586000
May2022,656,2576,1692000
Apr2022,1496,2085,3121000
Apr2022,656,2415,1586000
Apr2022,656,2496,1639000
Apr2022,882,2108,1861000
Apr2022,1496,2214,3314000
Apr2022,527,2402,1267000
Apr2022,656,2595,1704000
Apr2022,1496,2118,3169000
Apr2022,1496,2102,3145000
Apr2022,1119,2126,2381000
Apr2022,1496,2043,3057000
Apr2022,656,2381,1564000
Apr2022,1496,2236,3346000
Apr2022,656,2619,1720000
Apr2022,1496,2300,3442000
Apr2022,527,2453,1294000
Apr2022,656,2391,1570000
Apr2022,1496,2134,3193000
Apr2022,656,2398,1575000
Mar2022,1108,2413,2676000
Mar2022,1108,2406,2668000
Mar2022,656,2378,1562000
Mar2022,527,2455,1295000
Mar2022,656,2353,1545000
Mar2022,731,2371,1736000
Mar2022,656,2319,1523000
Mar2022,882,2108,1861000
Mar2022,656,2485,1632000
Mar2022,656,2468,1621000
Mar2022,1119,2105,2357000
Mar2022,527,2464,1300000
Mar2022,656,2526,1659000
Mar2022,527,2426,1280000
Mar2022,656,2477,1627000
Mar2022,947,2359,2235000
Mar2022,1496,2245,3360000
Mar2022,527,2582,1362000
Mar2022,1496,2122,3175000
Mar2022,656,2336,1534000
Mar2022,947,2344,2221000
Mar2022,947,2352,2228000
Feb2022,656,2432,1597000
Feb2022,1108,2389,2649000
Feb2022,656,2276,1495000
Feb2022,527,2610,1377000
Feb2022,656,2474,1625000
Feb2022,731,2345,1717000
Feb2022,656,2287,1502000
Feb2022,656,2430,1596000
Feb2022,527,2504,1321000
Feb2022,656,2535,1665000
Feb2022,527,2493,1315000
Feb2022,656,2337,1535000
Feb2022,656,2345,1540000
Feb2022,1496,2092,3131000
Feb2022,656,2353,1545000
Feb2022,1108,2406,2668000
Feb2022,731,2363,1730000
Feb2022,1496,2081,3115000
Feb2022,656,2546,1672000
Feb2022,1496,2242,3355000
Feb2022,1496,2233,3342000
Feb2022,1496,2103,3147000
Feb2022,656,2576,1692000
Feb2022,1108,2397,2658000
Feb2022,656,2304,1513000
Feb2022,947,2337,2214000
Feb2022,527,2442,1288000
Feb2022,731,2321,1699000
Feb2022,527,2377,1254000
Feb2022,527,2485,1311000
Feb2022,527,2464,1300000
Jan2022,731,2355,1724000
Jan2022,947,2322,2200000
Jan2022,947,2291,2171000
Jan2022,1496,2275,3404000
Jan2022,527,2423,1278000
Jan2022,688,2400,1654000
Jan2022,688,2318,1597000
Jan2022,1496,2253,3372000
Jan2022,656,2311,1518000
Jan2022,688,2416,1665000
Jan2022,1496,2055,3075000
Jan2022,656,2269,1490000
Jan2022,1496,2023,3028000
Dec2021,1496,1901,2845000
Dec2021,688,2384,1643000
Dec2021,731,2280,1669000
Dec2021,1496,2138,3199000
Dec2021,656,2450,1609000
Dec2021,688,2409,1660000
Dec2021,1496,2132,3191000
Dec2021,1496,2089,3127000
Dec2021,527,2385,1258000
Dec2021,731,2337,1711000
Dec2021,1496,2047,3063000
Dec2021,656,2319,1523000
Dec2021,1496,1944,2909000
