date,sqft,psf,price
Feb2026,1356,2282,3095000
Feb2026,764,2001,1530000
Feb2026,957,2233,2139999
Jan2026,764,2263,1730000
Jan2026,1689,2284,3860000
Jan2026,957,2326,2228888
Jan2026,1582,2248,3558000
Dec2025,1130,2198,2485000
Dec2025,678,2049,1390000
Dec2025,527,1981,1045000
Dec2025,678,2079,1410000
Nov2025,678,2094,1420000
Nov2025,1689,2100,3550000
Nov2025,1689,2117,3578000
Oct2025,678,2020,1370000
Oct2025,527,1968,1038000
Oct2025,1280,2213,2835000
Oct2025,764,2067,1580000
Oct2025,1130,2256,2550000
Oct2025,1280,1959,2510000
Sep2025,527,2009,1060000
Sep2025,678,2020,1370000
Sep2025,678,2003,1358888
Sep2025,1356,2175,2950000
Aug2025,678,2152,1460000
Aug2025,764,2045,1562888
Aug2025,1689,2195,3710000
Aug2025,527,1952,1030000
Aug2025,678,1917,1300000
Aug2025,678,2108,1430000
Aug2025,764,2028,1550000
Aug2025,1689,2159,3650000
Aug2025,764,2238,1710800
Aug2025,764,2008,1535000
Aug2025,764,2029,1550888
Aug2025,764,2143,1638000
Jul2025,764,2198,1680000
Jul2025,1356,2152,2920000
Jul2025,764,1949,1490000
Jul2025,764,2087,1595000
Jun2025,764,1988,1520000
May2025,1356,2152,2920000
May2025,1130,2202,2488800
May2025,678,1887,1280000
Apr2025,764,2028,1550000
Apr2025,764,2145,1640000
Apr2025,764,2067,1580000
Apr2025,764,2001,1530000
Apr2025,764,2077,1588000
Apr2025,527,2028,1070000
Mar2025,678,2046,1388000
Mar2025,1130,2220,2510000
Mar2025,764,2093,1600000
Mar2025,1582,2085,3300000
Mar2025,764,2093,1600000
Mar2025,957,2119,2030000
Mar2025,764,2028,1550000
Mar2025,764,2039,1558888
Feb2025,764,1943,1485000
Feb2025,764,1831,1400000
Feb2025,764,2028,1550000
Feb2025,678,2061,1398000
Feb2025,764,1936,1480000
Feb2025,957,2004,1920000
Feb2025,764,2104,1608000
Feb2025,1356,2270,3080000
Feb2025,764,1975,1510000
Feb2025,764,2015,1540000
Feb2025,527,1990,1050000
Feb2025,1582,2044,3235000
Feb2025,527,2237,1180000
Feb2025,764,2159,1650000
Jan2025,764,2041,1560000
Jan2025,527,1933,1020000
Jan2025,764,2067,1580000
Jan2025,764,2182,1668000
Jan2025,764,1923,1470000
Jan2025,527,1877,990000
Jan2025,764,2092,1598888
Jan2025,764,1988,1520000
Jan2025,1280,2076,2660000
Jan2025,678,1953,1325000
Jan2025,957,2192,2100000
Dec2024,764,2159,1650000
