date,sqft,psf,price
Feb2026,635,1965,1248000
Jan2026,1108,2038,2260000
Jan2026,731,1912,1400000
Dec2025,656,1903,1250000
Oct2025,635,1964,1247500
Oct2025,1108,1973,2188000
Oct2025,990,2110,2090000
Sep2025,731,1940,1420000
Sep2025,1345,2118,2850000
Sep2025,731,1897,1388888
Sep2025,710,2055,1460000
Aug2025,731,1957,1433000
Jun2025,990,2090,2070000
May2025,635,1905,1210000
May2025,1108,1948,2160000
Apr2025,731,1940,1420000
Apr2025,1108,1912,2120000
Mar2025,990,2027,2008000
Mar2025,990,2073,2053000
Mar2025,1162,1789,2080000
Feb2025,656,1911,1255000
Feb2025,990,2070,2050000
Feb2025,990,1969,1950000
Feb2025,656,1972,1295000
Feb2025,1108,1889,2095000
Jan2025,1108,1966,2180000
Jan2025,1345,1876,2525000
Jan2025,990,1957,1938000
Nov2024,731,1953,1430000
Nov2024,635,1889,1200000
Nov2024,731,1896,1388000
Oct2024,1140,1884,2150000
Oct2024,731,1803,1320000
Oct2024,990,1989,1970000
Sep2024,1345,1858,2500000
Sep2024,990,1978,1958888
Sep2024,635,1886,1198000
Sep2024,656,1911,1255000
Sep2024,990,1948,1930000
Aug2024,990,1853,1835000
Aug2024,710,1900,1350000
Jul2024,990,1908,1890000
Jun2024,731,1892,1385000
Jun2024,990,1847,1830000
Jun2024,1345,1932,2600000
May2024,1108,1961,2175000
May2024,635,1936,1230000
May2024,731,1673,1225000
May2024,710,1858,1320000
Apr2024,731,1899,1390000
Apr2024,990,1928,1910000
Mar2024,710,1942,1380000
Mar2024,710,1970,1400000
Mar2024,635,1870,1188000
Feb2024,656,1911,1255000
Jan2024,635,1826,1160000
Jan2024,1108,1803,2000000
Jan2024,1345,1895,2550000
Dec2023,731,1940,1420000
Nov2023,1140,1866,2130000
Oct2023,1108,1903,2110000
Oct2023,635,1870,1188000
Aug2023,1140,1858,2120000
Aug2023,990,1818,1801000
Jul2023,635,1823,1158000
Jul2023,990,1886,1868000
May2023,1140,1823,2080000
May2023,1108,1820,2018888
May2023,1345,1694,2280000
May2023,990,1842,1825000
May2023,710,2001,1422000
Mar2023,990,1676,1660000
Mar2023,990,1716,1700000
Feb2023,1345,1820,2450000
Jan2023,990,1795,1778000
Jan2023,656,1858,1220000
Jan2023,656,1873,1230000
Nov2022,990,1817,1800000
Nov2022,710,1970,1400000
Nov2022,1140,1779,2030000
Oct2022,990,1716,1700000
Oct2022,1108,1858,2060000
Sep2022,635,1858,1180000
Aug2022,656,1842,1210000
Aug2022,731,1755,1285000
Jul2022,1140,1717,1960000
Jul2022,635,1708,1085000
Jul2022,990,1716,1700000
Jul2022,656,1667,1095000
Jun2022,731,1769,1295000
Jun2022,635,1732,1100000
May2022,1345,1709,2300000
May2022,710,1756,1248000
May2022,1108,1641,1820000
May2022,635,1653,1050000
May2022,731,1830,1340000
May2022,990,1692,1675888
Apr2022,731,1748,1280000
Apr2022,1345,1590,2140000
Apr2022,731,1728,1265000
Apr2022,990,1654,1638000
Apr2022,710,1668,1185000
Apr2022,656,1766,1160000
Apr2022,990,1716,1700000
Mar2022,731,1776,1300000
Mar2022,990,1615,1600000
Mar2022,710,1653,1175000
Mar2022,1345,1672,2250000
Mar2022,1140,1586,1810000
Jan2022,656,1781,1170000
Jan2022,1108,1657,1838000
Dec2021,990,1696,1680000
Dec2021,656,1599,1050000
Dec2021,635,1716,1090000
Dec2021,731,1721,1260000
Dec2021,710,1785,1268800
Dec2021,1108,1578,1750000
Nov2021,731,1776,1300000
Oct2021,710,1813,1288000
Oct2021,990,1656,1640000
Oct2021,1108,1585,1758000
Oct2021,1162,1520,1768000
Sep2021,635,1653,1050000
Sep2021,731,1748,1280000
Sep2021,990,1585,1570000
Aug2021,1345,1515,2038888
Aug2021,990,1704,1688000
Aug2021,731,1707,1250000
Aug2021,710,1618,1150000
Aug2021,1108,1605,1780000
Jun2021,990,1675,1658888
Jun2021,1345,1449,1950000
Jun2021,656,1759,1155000
Jun2021,990,1553,1538000
Jun2021,1108,1578,1750000
Jun2021,1140,1533,1750000
