date,sqft,psf,price
Jan2024,743,2059,1530000
Jan2024,743,2086,1550000
Jan2024,753,2058,1550000
Jan2024,775,2026,1570000
Feb2024,1055,2166,2285000
Mar2024,775,2097,1625000
Mar2024,1055,2076,2190000
Apr2024,1055,2199,2320000
Jun2024,710,2042,1450000
Jun2024,710,2085,1480000
Jul2024,775,2065,1600000
Aug2024,678,2028,1375000
Aug2024,743,2077,1543000
Aug2024,775,2110,1635000
Sep2024,775,2155,1670000
Sep2024,1001,2098,2100000
Oct2024,710,2070,1470000
Oct2024,710,2124,1508000
Oct2024,786,1934,1520000
Oct2024,1001,1948,1950000
Oct2024,1055,2005,2115000
Nov2024,678,2168,1470000
Nov2024,775,2077,1610000
Jan2025,743,2079,1545000
Feb2025,764,2003,1530000
Mar2025,700,2071,1450000
Apr2025,710,1997,1418000
Apr2025,743,2059,1530000
May2025,743,2086,1550000
May2025,1152,1997,2300888
Jun2025,775,2065,1600000
Jun2025,1119,2096,2345000
Jul2025,667,2126,1418000
Jul2025,786,1908,1500000
Aug2025,667,2009,1340000
Aug2025,667,2016,1345000
Aug2025,667,2024,1350000
Aug2025,710,1944,1380000
Aug2025,678,2050,1390000
Aug2025,1485,2189,3250000
Sep2025,710,2023,1436000
Sep2025,1109,2000,2218000
Sep2025,1109,2074,2300000
Sep2025,1593,2103,3350000
Oct2025,710,1923,1365000
Oct2025,775,2065,1600000
Nov2025,1066,2120,2260000
Dec2025,667,2001,1335000
Dec2025,753,1992,1500000
Dec2025,1141,2067,2358000
Jan2026,710,2085,1480000
Jan2026,743,2100,1560000
Feb2026,710,1944,1380000
Mar2026,775,2026,1570000
