project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
artra,ARTRA,December 2025,Dec2025,2025-12,2025,12,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,36-40,36,40,1227,2526,3100000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,November 2025,Nov2025,2025-11,2025,11,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,41-45,41,45,1227,2526,3100000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,September 2025,Sep2025,2025-09,2025,9,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,26-30,26,30,1119,2411,2700000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,September 2025,Sep2025,2025-09,2025,9,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,36-40,36,40,1044,2514,2625000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,August 2025,Aug2025,2025-08,2025,8,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,16-20,16,20,828,2338,1938000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,July 2025,Jul2025,2025-07,2025,7,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,31-35,31,35,1044,2526,2638000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,June 2025,Jun2025,2025-06,2025,6,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,21-25,21,25,1227,2387,2930000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,June 2025,Jun2025,2025-06,2025,6,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,26-30,26,30,1227,2347,2880000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,May 2025,May2025,2025-05,2025,5,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,06-10,06,10,1227,2237,2745000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,May 2025,May2025,2025-05,2025,5,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,11-15,11,15,1044,2413,2520000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,April 2025,Apr2025,2025-04,2025,4,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,21-25,21,25,828,2314,1918000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,April 2025,Apr2025,2025-04,2025,4,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,16-20,16,20,785,2359,1854000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,April 2025,Apr2025,2025-04,2025,4,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,06-10,06,10,785,2341,1840000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,April 2025,Apr2025,2025-04,2025,4,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,06-10,06,10,785,2290,1800000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,March 2025,Mar2025,2025-03,2025,3,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,31-35,31,35,1410,2354,3320000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,March 2025,Mar2025,2025-03,2025,3,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,26-30,26,30,1119,2349,2630000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,March 2025,Mar2025,2025-03,2025,3,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,11-15,11,15,828,2401,1990000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,February 2025,Feb2025,2025-02,2025,2,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,41-45,41,45,785,2466,1938000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
artra,ARTRA,December 2024,Dec2024,2024-12,2024,12,ALEXANDRA VIEW,03,RCR,99 yrs lease,2016,21-25,21,25,785,2367,1860000,propertyforsale.com.sg,defc6b6f-ebd2-4002-9267-d39cc8071196.txt
