project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
caspian,CASPIAN,December 2025,Dec2025,2025-12,2025,12,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,11-15,11,15,1593,1619,2580000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,November 2025,Nov2025,2025-11,2025,11,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,11-15,11,15,1216,1619,1970000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,October 2025,Oct2025,2025-10,2025,10,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,06-10,06,10,1528,1701,2600000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,October 2025,Oct2025,2025-10,2025,10,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,16-20,16,20,1453,1436,2088000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,August 2025,Aug2025,2025-08,2025,8,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,06-10,06,10,1302,1535,2000000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,August 2025,Aug2025,2025-08,2025,8,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,01-05,01,05,1237,1510,1870000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,July 2025,Jul2025,2025-07,2025,7,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,06-10,06,10,1001,1518,1520000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,06-10,06,10,1388,1678,2330000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,16-20,16,20,1453,1410,2050000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
caspian,CASPIAN,May 2025,May2025,2025-05,2025,5,LAKESIDE DRIVE,22,OCR,99 yrs lease,2008,11-15,11,15,1388,1699,2360000,propertyforsale.com.sg,ec8484a2-5986-4320-9dbe-3c2c88ddc8b4.txt
