project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
clavon,CLAVON,February 2026,Feb2026,2026-02,2026,2,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,16-20,16,20,1356,2282,3095000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,February 2026,Feb2026,2026-02,2026,2,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,16-20,16,20,957,2233,2139999,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,February 2026,Feb2026,2026-02,2026,2,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,01-05,01,05,764,2001,1530000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,January 2026,Jan2026,2026-01,2026,1,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,36-40,36,40,1689,2284,3860000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,January 2026,Jan2026,2026-01,2026,1,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,31-35,31,35,1582,2248,3558000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,January 2026,Jan2026,2026-01,2026,1,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,36-40,36,40,957,2326,2228888,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,January 2026,Jan2026,2026-01,2026,1,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,26-30,26,30,764,2263,1730000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,December 2025,Dec2025,2025-12,2025,12,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,21-25,21,25,1130,2198,2485000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,December 2025,Dec2025,2025-12,2025,12,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,21-25,21,25,678,2079,1410000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,December 2025,Dec2025,2025-12,2025,12,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,11-15,11,15,678,2049,1390000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,December 2025,Dec2025,2025-12,2025,12,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,06-10,06,10,527,1981,1045000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,November 2025,Nov2025,2025-11,2025,11,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,06-10,06,10,1689,2117,3578000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,November 2025,Nov2025,2025-11,2025,11,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,06-10,06,10,1689,2100,3550000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,November 2025,Nov2025,2025-11,2025,11,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,21-25,21,25,678,2094,1420000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
clavon,CLAVON,October 2025,Oct2025,2025-10,2025,10,CLEMENTI AVENUE 1,05,OCR,99 yrs lease,2019,11-15,11,15,1130,2256,2550000,propertyforsale.com.sg,a9e5fa7f-0277-4989-97a3-418db9f24c29.txt
