project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
commonwealth_towers,COMMONWEALTH TOWERS,February 2026,Feb2026,2026-02,2026,2,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,41-45,41,45,1033,2624,2712000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,February 2026,Feb2026,2026-02,2026,2,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,31-35,31,35,1054,2464,2600000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,February 2026,Feb2026,2026-02,2026,2,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,36-40,36,40,473,2174,1030000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,January 2026,Jan2026,2026-01,2026,1,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,41-45,41,45,753,2362,1780000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,December 2025,Dec2025,2025-12,2025,12,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,06-10,06,10,473,1953,925000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,November 2025,Nov2025,2025-11,2025,11,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,26-30,26,30,462,2091,968000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,November 2025,Nov2025,2025-11,2025,11,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,16-20,16,20,753,2359,1778000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,November 2025,Nov2025,2025-11,2025,11,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,11-15,11,15,753,2294,1728888,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,November 2025,Nov2025,2025-11,2025,11,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,16-20,16,20,688,2380,1640000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,October 2025,Oct2025,2025-10,2025,10,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,06-10,06,10,904,2377,2150000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,October 2025,Oct2025,2025-10,2025,10,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,36-40,36,40,688,2437,1678888,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,October 2025,Oct2025,2025-10,2025,10,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,11-15,11,15,688,2286,1575000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,October 2025,Oct2025,2025-10,2025,10,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,36-40,36,40,462,2160,1000000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,September 2025,Sep2025,2025-09,2025,9,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,16-20,16,20,484,1998,968000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,September 2025,Sep2025,2025-09,2025,9,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,16-20,16,20,441,2170,958000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,September 2025,Sep2025,2025-09,2025,9,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,26-30,26,30,1033,2409,2490000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,September 2025,Sep2025,2025-09,2025,9,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,36-40,36,40,699,2401,1680000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,September 2025,Sep2025,2025-09,2025,9,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,26-30,26,30,699,2372,1660000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
commonwealth_towers,COMMONWEALTH TOWERS,August 2025,Aug2025,2025-08,2025,8,COMMONWEALTH AVENUE,03,RCR,99 yrs lease,2013,06-10,06,10,452,2057,930000,propertyforsale.com.sg,d4c8360a-b853-43d2-9e46-fa97f98fe4cc.txt
