project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
lakefront,THE LAKEFRONT RESIDENCES,January 2026,Jan2026,2026-01,2026,1,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,16-20,16,20,1022,1739,1778888,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,November 2025,Nov2025,2025-11,2025,11,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1001,1753,1755000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,November 2025,Nov2025,2025-11,2025,11,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,1237,1171,1450000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,November 2025,Nov2025,2025-11,2025,11,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,775,1761,1365000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,October 2025,Oct2025,2025-10,2025,10,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,1054,1611,1700000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,September 2025,Sep2025,2025-09,2025,9,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,990,1640,1625000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,August 2025,Aug2025,2025-08,2025,8,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,1001,1747,1748888,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,16-20,16,20,1420,1724,2450000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,1065,1745,1860000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,1011,1729,1750000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,721,1816,1310000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,June 2025,Jun2025,2025-06,2025,6,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,753,1672,1260000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,April 2025,Apr2025,2025-04,2025,4,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1022,1784,1825000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,April 2025,Apr2025,2025-04,2025,4,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,990,1679,1662800,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,April 2025,Apr2025,2025-04,2025,4,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1001,1648,1650000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,March 2025,Mar2025,2025-03,2025,3,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,16-20,16,20,1216,1783,2168888,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,February 2025,Feb2025,2025-02,2025,2,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,16-20,16,20,2098,1572,3300000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,February 2025,Feb2025,2025-02,2025,2,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,721,1802,1300000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,January 2025,Jan2025,2025-01,2025,1,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,484,1796,870000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,January 2025,Jan2025,2025-01,2025,1,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,505,1632,826000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,December 2024,Dec2024,2024-12,2024,12,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,1216,1609,1958000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,December 2024,Dec2024,2024-12,2024,12,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1216,1594,1940000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,November 2024,Nov2024,2024-11,2024,11,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,1001,1688,1690000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,October 2024,Oct2024,2024-10,2024,10,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,710,1351,960000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,October 2024,Oct2024,2024-10,2024,10,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,16-20,16,20,495,1692,838000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,September 2024,Sep2024,2024-09,2024,9,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,505,1650,835000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,September 2024,Sep2024,2024-09,2024,9,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,484,1694,820888,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,August 2024,Aug2024,2024-08,2024,8,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,16-20,16,20,1033,1722,1780000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,August 2024,Aug2024,2024-08,2024,8,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,01-05,01,05,1130,1309,1480000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,July 2024,Jul2024,2024-07,2024,7,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1001,1698,1700000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,July 2024,Jul2024,2024-07,2024,7,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1001,1681,1683000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,May 2024,May2024,2024-05,2024,5,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,721,1754,1265000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,April 2024,Apr2024,2024-04,2024,4,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,11-15,11,15,495,1676,830000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
lakefront,THE LAKEFRONT RESIDENCES,March 2024,Mar2024,2024-03,2024,3,LAKESIDE DRIVE,22,OCR,99 yrs lease,2010,06-10,06,10,1033,1649,1705000,propertyforsale.com.sg,2ed034c7-7c99-4d75-977b-a1cc527ed201.txt
