project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
parc_clematis,PARC CLEMATIS,February 2026,Feb2026,2026-02,2026,2,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,968,2116,2050000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,February 2026,Feb2026,2026-02,2026,2,JALAN LEMPENG,05,OCR,99 yrs lease,2019,21-25,21,25,721,2290,1652000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,February 2026,Feb2026,2026-02,2026,2,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,721,2229,1608000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,January 2026,Jan2026,2026-01,2026,1,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,452,2068,935000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,January 2026,Jan2026,2026-01,2026,1,JALAN LEMPENG,05,OCR,99 yrs lease,2019,21-25,21,25,1496,2399,3590000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,January 2026,Jan2026,2026-01,2026,1,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,904,2543,2300000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,January 2026,Jan2026,2026-01,2026,1,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,721,2129,1535888,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,452,2001,905000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,1496,2366,3540000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,1291,2399,3100000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,1076,2489,2680000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,914,2481,2270000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,904,2442,2208000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,914,2261,2068888,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,December 2025,Dec2025,2025-12,2025,12,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,742,2302,1710000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,November 2025,Nov2025,2025-11,2025,11,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,452,2063,933000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,November 2025,Nov2025,2025-11,2025,11,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,452,2035,920000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,November 2025,Nov2025,2025-11,2025,11,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,1711,2138,3660000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,516,1896,980000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,452,2079,940000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,452,2035,920000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,452,1946,880000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,1711,2154,3688000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,914,2388,2185000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,861,2485,2140000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,21-25,21,25,968,2178,2110000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,914,2295,2100000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,721,2194,1582500,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,October 2025,Oct2025,2025-10,2025,10,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,710,2139,1520000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,September 2025,Sep2025,2025-09,2025,9,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,505,1956,990000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,September 2025,Sep2025,2025-09,2025,9,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,505,1828,925000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,September 2025,Sep2025,2025-09,2025,9,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,452,2010,908888,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,September 2025,Sep2025,2025-09,2025,9,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,914,2459,2250000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,September 2025,Sep2025,2025-09,2025,9,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,968,2023,1960000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,September 2025,Sep2025,2025-09,2025,9,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,710,2174,1545000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,August 2025,Aug2025,2025-08,2025,8,JALAN LEMPENG,05,OCR,99 yrs lease,2019,06-10,06,10,452,2039,922000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,August 2025,Aug2025,2025-08,2025,8,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,452,1990,900000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,August 2025,Aug2025,2025-08,2025,8,JALAN LEMPENG,05,OCR,99 yrs lease,2019,11-15,11,15,1496,2339,3500000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,August 2025,Aug2025,2025-08,2025,8,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,1076,2618,2818000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,August 2025,Aug2025,2025-08,2025,8,JALAN LEMPENG,05,OCR,99 yrs lease,2019,01-05,01,05,1044,2518,2630000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
parc_clematis,PARC CLEMATIS,August 2025,Aug2025,2025-08,2025,8,JALAN LEMPENG,05,OCR,99 yrs lease,2019,16-20,16,20,904,2399,2170000,propertyforsale.com.sg,69538a84-0c38-4d93-89e9-b9c3301ddae9.txt
