project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
queens_peak,QUEENS PEAK,February 2026,Feb2026,2026-02,2026,2,DUNDEE ROAD,03,RCR,99 yrs lease,2015,36-40,36,40,1506,2309,3480000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,January 2026,Jan2026,2026-01,2026,1,DUNDEE ROAD,03,RCR,99 yrs lease,2015,06-10,06,10,430,2201,948000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,January 2026,Jan2026,2026-01,2026,1,DUNDEE ROAD,03,RCR,99 yrs lease,2015,36-40,36,40,1001,2312,2315000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,January 2026,Jan2026,2026-01,2026,1,DUNDEE ROAD,03,RCR,99 yrs lease,2015,36-40,36,40,839,2404,2019000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,January 2026,Jan2026,2026-01,2026,1,DUNDEE ROAD,03,RCR,99 yrs lease,2015,11-15,11,15,775,2064,1600000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,January 2026,Jan2026,2026-01,2026,1,DUNDEE ROAD,03,RCR,99 yrs lease,2015,11-15,11,15,624,2139,1336000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,December 2025,Dec2025,2025-12,2025,12,DUNDEE ROAD,03,RCR,99 yrs lease,2015,16-20,16,20,441,2220,980000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,December 2025,Dec2025,2025-12,2025,12,DUNDEE ROAD,03,RCR,99 yrs lease,2015,11-15,11,15,430,2218,955000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,December 2025,Dec2025,2025-12,2025,12,DUNDEE ROAD,03,RCR,99 yrs lease,2015,31-35,31,35,839,2274,1910000,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
queens_peak,QUEENS PEAK,November 2025,Nov2025,2025-11,2025,11,DUNDEE ROAD,03,RCR,99 yrs lease,2015,41-45,41,45,850,2338,1988888,propertyforsale.com.sg,72039a39-bbd6-4351-ba22-903af873be75.txt
