project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
seahill,SEAHILL,February 2026,Feb2026,2026-02,2026,2,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,06-10,06,10,548,1539,845000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,February 2026,Feb2026,2026-02,2026,2,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,21-25,21,25,861,1741,1500000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,December 2025,Dec2025,2025-12,2025,12,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,06-10,06,10,495,1656,820000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,December 2025,Dec2025,2025-12,2025,12,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,26-30,26,30,667,1543,1030000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,November 2025,Nov2025,2025-11,2025,11,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,16-20,16,20,688,1625,1120000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,October 2025,Oct2025,2025-10,2025,10,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,06-10,06,10,936,1655,1550000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,September 2025,Sep2025,2025-09,2025,9,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,06-10,06,10,548,1499,823000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,August 2025,Aug2025,2025-08,2025,8,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,11-15,11,15,505,1601,810000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,August 2025,Aug2025,2025-08,2025,8,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,11-15,11,15,861,1695,1460000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,August 2025,Aug2025,2025-08,2025,8,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,16-20,16,20,861,1588,1368000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
seahill,SEAHILL,June 2025,Jun2025,2025-06,2025,6,WEST COAST CRESCENT,05,OCR,99 yrs lease,2011,16-20,16,20,861,1707,1470000,propertyforsale.com.sg,15f61f1e-2cb7-40a4-b625-c728c954cbae.txt
