project_slug,project_name,sale_period,sale_month_year,sale_year_month,sale_year,sale_month,street_name,district,market_segment,tenure,lease_start,floor_range,floor_low,floor_high,floor_area_sqft,psf_sgd,sale_price_sgd,source_site,source_file
stirling_residences,STIRLING RESIDENCES,February 2026,Feb2026,2026-02,2026,2,STIRLING ROAD,03,RCR,99 yrs lease,2017,31-35,31,35,1054,2711,2860000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,February 2026,Feb2026,2026-02,2026,2,STIRLING ROAD,03,RCR,99 yrs lease,2017,06-10,06,10,635,2361,1500000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,February 2026,Feb2026,2026-02,2026,2,STIRLING ROAD,03,RCR,99 yrs lease,2017,01-05,01,05,635,2217,1408000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,February 2026,Feb2026,2026-02,2026,2,STIRLING ROAD,03,RCR,99 yrs lease,2017,16-20,16,20,505,2280,1153888,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,January 2026,Jan2026,2026-01,2026,1,STIRLING ROAD,03,RCR,99 yrs lease,2017,06-10,06,10,1054,2588,2730000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,January 2026,Jan2026,2026-01,2026,1,STIRLING ROAD,03,RCR,99 yrs lease,2017,36-40,36,40,882,2673,2360000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,January 2026,Jan2026,2026-01,2026,1,STIRLING ROAD,03,RCR,99 yrs lease,2017,31-35,31,35,678,2602,1765000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,January 2026,Jan2026,2026-01,2026,1,STIRLING ROAD,03,RCR,99 yrs lease,2017,31-35,31,35,656,2299,1510000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,January 2026,Jan2026,2026-01,2026,1,STIRLING ROAD,03,RCR,99 yrs lease,2017,01-05,01,05,635,2229,1416000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,January 2026,Jan2026,2026-01,2026,1,STIRLING ROAD,03,RCR,99 yrs lease,2017,06-10,06,10,441,2345,1035000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,December 2025,Dec2025,2025-12,2025,12,STIRLING ROAD,03,RCR,99 yrs lease,2017,11-15,11,15,1054,2540,2680000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,December 2025,Dec2025,2025-12,2025,12,STIRLING ROAD,03,RCR,99 yrs lease,2017,26-30,26,30,688,2445,1685000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,December 2025,Dec2025,2025-12,2025,12,STIRLING ROAD,03,RCR,99 yrs lease,2017,16-20,16,20,635,2393,1520000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,December 2025,Dec2025,2025-12,2025,12,STIRLING ROAD,03,RCR,99 yrs lease,2017,16-20,16,20,635,2363,1500888,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,December 2025,Dec2025,2025-12,2025,12,STIRLING ROAD,03,RCR,99 yrs lease,2017,21-25,21,25,624,2402,1500000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
stirling_residences,STIRLING RESIDENCES,December 2025,Dec2025,2025-12,2025,12,STIRLING ROAD,03,RCR,99 yrs lease,2017,26-30,26,30,624,2383,1488000,propertyforsale.com.sg,5bc82b54-071b-4c07-afda-8977231aadae.txt
