date,sqft,psf,price
Jul2017,441,1631,720000
Aug2017,441,1581,698000
Aug2017,441,1604,708000
Aug2017,441,1631,720000
Aug2017,441,1676,740000
Aug2017,699,1529,1070000
Aug2017,2820,709,2000000
Aug2017,2820,744,2100000
Aug2017,3003,715,2150000
Sep2017,441,1626,718000
Sep2017,441,1642,725000
Sep2017,979,1388,1360000
Sep2017,3003,715,2150000
Oct2017,441,1547,683000
Oct2017,441,1602,707000
Oct2017,441,1645,726000
Oct2017,441,1649,728000
Nov2017,441,1518,670000
Nov2017,441,1626,718000
Nov2017,441,1744,770000
Nov2017,699,1429,1000000
Dec2017,441,1552,685000
Dec2017,441,1604,708000
Dec2017,441,1613,712000
Dec2017,699,1429,1000000
Dec2017,699,1540,1078000
Jan2018,441,1586,700000
Jan2018,441,1665,735000
Jan2018,699,1386,970000
Jan2018,1076,1300,1400000
Feb2018,441,1676,740000
Feb2018,699,1486,1040000
Feb2018,839,1476,1240000
Feb2018,936,1344,1258888
Mar2018,441,1651,729000
Mar2018,699,1429,999900
Mar2018,699,1472,1030000
Mar2018,807,1486,1200000
Mar2018,979,1408,1380000
Mar2018,1194,1314,1570000
Apr2018,441,1615,713000
Apr2018,441,1672,738000
Apr2018,441,1683,743000
Apr2018,441,1710,755000
Apr2018,1076,1226,1320000
Apr2018,979,1388,1360000
Apr2018,1194,1213,1450000
May2018,441,1654,730000
May2018,441,1683,743000
May2018,441,1722,760000
May2018,699,1393,975000
May2018,699,1486,1040000
May2018,699,1529,1070000
May2018,699,1557,1090000
Jun2018,441,1613,712000
Jun2018,441,1710,755000
Jun2018,699,1472,1030000
Jun2018,699,1486,1040000
Jul2018,441,1710,755000
Jul2018,441,1722,760000
Jul2018,699,1500,1050000
Jul2018,807,1486,1200000
Jul2018,979,1531,1500000
Aug2018,441,1674,738888
Aug2018,699,1457,1020000
Sep2018,807,1533,1238000
Sep2018,839,1512,1270000
Sep2018,1194,1322,1580000
Oct2018,441,1631,720000
Oct2018,807,1566,1265000
Nov2018,441,1642,725000
Nov2018,1076,1356,1460000
Nov2018,1194,1288,1540000
Dec2018,441,1604,708000
Dec2018,936,1379,1292000
Jan2019,699,1543,1080000
Jan2019,807,1409,1138000
Jan2019,839,1441,1210000
Jan2019,936,1292,1210000
Jan2019,936,1324,1240000
Mar2019,936,1345,1260000
Apr2019,441,1540,680000
Apr2019,839,1524,1280000
Apr2019,1033,1499,1550000
Apr2019,1194,1355,1620000
Apr2019,1453,1114,1620000
May2019,699,1563,1093800
May2019,936,1334,1250000
May2019,1076,1374,1480000
May2019,1829,1011,1850000
Jun2019,441,1667,736000
Jun2019,699,1615,1130000
Jun2019,979,1429,1400000
Jul2019,699,1489,1042000
Jul2019,1194,1288,1540000
Aug2019,441,1640,724000
Aug2019,807,1486,1200000
Aug2019,1033,1335,1380000
Sep2019,818,1032,845000
Sep2019,818,1332,1090000
Sep2019,936,1222,1145000
Sep2019,807,1474,1190000
Sep2019,936,1364,1278000
Sep2019,1076,1430,1540000
Oct2019,441,1563,690000
Oct2019,441,1608,710000
Oct2019,839,1369,1150000
Oct2019,839,1506,1265000
Oct2019,1528,1079,1650000
Nov2019,807,1474,1190000
Nov2019,936,1270,1190000
Nov2019,1076,1291,1390000
Dec2019,699,1483,1038000
Dec2019,699,1529,1070000
Dec2019,936,1388,1300000
Jan2020,441,1631,720000
Jan2020,699,1643,1150000
Jan2020,979,1429,1400000
Feb2020,441,1722,760000
Feb2020,699,1507,1055000
Feb2020,699,1622,1135000
Feb2020,807,1446,1168000
Feb2020,1044,1264,1320000
Mar2020,441,1638,723000
Apr2020,699,1500,1050000
Apr2020,839,1355,1138000
May2020,699,1500,1050000
May2020,979,1471,1440888
Jul2020,699,1314,920000
Jul2020,699,1486,1040000
Jul2020,979,1368,1340000
Aug2020,441,1642,725000
Aug2020,807,1430,1155000
Aug2020,979,1378,1350000
Sep2020,441,1620,715000
Sep2020,807,1474,1190000
Sep2020,1216,1315,1600000
Sep2020,1216,1323,1610000
Oct2020,441,1651,728888
Oct2020,441,1660,733000
Oct2020,839,1450,1218000
Oct2020,936,1430,1340000
Nov2020,699,1543,1080000
Nov2020,807,1355,1094000
Nov2020,979,1388,1360000
Nov2020,979,1500,1470000
Dec2020,441,1722,760000
Dec2020,818,1228,1005000
Dec2020,1076,1328,1430000
Jan2021,441,1642,725000
Jan2021,807,1263,1020000
Jan2021,699,1557,1090000
Jan2021,807,1486,1200000
Jan2021,979,1470,1440000
Jan2021,2820,734,2070000
Feb2021,441,1586,700000
Feb2021,441,1624,716888
Feb2021,441,1642,725000
Feb2021,1033,1374,1420000
Feb2021,1194,1318,1575000
Mar2021,699,1615,1130000
Mar2021,979,1419,1390000
Mar2021,1829,945,1730000
Mar2021,1356,1364,1850000
Mar2021,3003,705,2120000
Apr2021,441,1604,708000
Apr2021,699,1500,1050000
Apr2021,699,1543,1080000
Apr2021,699,1586,1110000
Apr2021,807,1461,1180000
Apr2021,807,1474,1190000
Apr2021,936,1350,1265000
Apr2021,936,1420,1330000
Apr2021,979,1398,1370000
Apr2021,1356,1430,1940000
May2021,441,1574,695000
May2021,441,1699,750000
May2021,699,1479,1035000
May2021,699,1543,1080000
May2021,1033,1480,1530000
May2021,2142,896,1920000
May2021,1356,1423,1930000
Jun2021,699,1500,1050000
Jun2021,807,1455,1175000
Jun2021,871,1479,1290000
Jul2021,699,1486,1040000
Jul2021,818,1296,1061000
Jul2021,699,1543,1080000
Jul2021,699,1557,1090000
Jul2021,936,1302,1220000
Jul2021,936,1375,1288000
Jul2021,979,1444,1415000
Jul2021,1076,1521,1638000
Jul2021,1194,1446,1728000
Jul2021,1431,1414,2025000
Aug2021,441,1642,725000
Aug2021,441,1699,750000
Aug2021,441,1710,755000
Aug2021,979,1480,1450100
Aug2021,1194,1255,1500000
Aug2021,979,1561,1530000
Aug2021,1033,1547,1598888
Aug2021,1076,1486,1600000
Aug2021,1388,1166,1620000
Sep2021,441,1642,725000
Sep2021,441,1767,780000
Sep2021,699,1500,1050000
Sep2021,699,1556,1089000
Sep2021,807,1474,1190000
Sep2021,936,1311,1228000
Sep2021,936,1354,1268000
Sep2021,1194,1389,1660000
Sep2021,1076,1569,1688888
Sep2021,1356,1290,1750000
Sep2021,1356,1389,1885000
Oct2021,441,1740,768000
Oct2021,699,1515,1060000
Oct2021,699,1600,1120000
Oct2021,699,1615,1130000
Oct2021,1033,1548,1600000
Nov2021,441,1688,745000
Nov2021,441,1722,760000
Nov2021,818,1228,1005000
Nov2021,699,1472,1030000
Nov2021,699,1500,1050000
Nov2021,699,1515,1060000
Nov2021,850,1334,1135000
Nov2021,807,1523,1230000
Nov2021,936,1420,1330000
Nov2021,1194,1287,1538000
Nov2021,2960,777,2300000
Dec2021,441,1570,693000
Dec2021,699,1557,1090000
Dec2021,699,1629,1140000
Dec2021,807,1486,1200000
Dec2021,1033,1403,1450000
Dec2021,979,1541,1510000
Dec2021,1194,1396,1668000
Dec2021,1323,1291,1710000
Dec2021,2960,854,2530000
Jan2022,699,1429,1000000
Jan2022,699,1712,1198000
Jan2022,839,1512,1270000
Jan2022,936,1420,1330000
Jan2022,936,1468,1375000
Jan2022,979,1521,1490000
Jan2022,979,1531,1500000
Jan2022,1033,1504,1555000
Jan2022,1356,1415,1920000
Feb2022,699,1500,1050000
Feb2022,699,1615,1130000
Feb2022,699,1686,1180000
Feb2022,839,1488,1250000
Mar2022,441,1654,730000
Mar2022,699,1500,1050000
Mar2022,699,1629,1139998
Mar2022,699,1643,1150000
Mar2022,839,1548,1300000
Mar2022,936,1452,1360000
Mar2022,979,1490,1460000
Mar2022,979,1595,1562800
Mar2022,1033,1625,1680000
Apr2022,441,1756,775000
Apr2022,699,1500,1050000
Apr2022,699,1529,1070000
Apr2022,699,1572,1100000
Apr2022,699,1643,1150000
Apr2022,936,1308,1225000
Apr2022,807,1548,1250000
Apr2022,1076,1570,1690000
Apr2022,3003,965,2900000
May2022,807,1585,1280000
May2022,807,1647,1330000
May2022,936,1566,1467000
May2022,2142,998,2138000
Jun2022,699,1595,1116000
Jun2022,699,1643,1150000
Jun2022,936,1388,1300000
Jun2022,936,1580,1480000
Jun2022,1356,1386,1880000
Jun2022,2820,967,2728000
Jul2022,441,1649,728000
Jul2022,441,1654,730000
Jul2022,441,1778,785000
Jul2022,807,1635,1320000
Jul2022,979,1577,1545000
Jul2022,1033,1596,1650000
Aug2022,1356,1622,2200000
Sep2022,699,1683,1178000
Sep2022,699,1686,1180000
Sep2022,1356,1533,2080000
Oct2022,699,1500,1050000
Oct2022,699,1529,1070000
Oct2022,699,1633,1143000
Oct2022,699,1715,1200000
Oct2022,807,1610,1300000
Nov2022,441,1835,810000
Nov2022,699,1600,1120000
Nov2022,699,1676,1173000
Nov2022,699,1687,1180888
Nov2022,1194,1439,1720000
Nov2022,1356,1681,2280000
Jan2023,936,1580,1480000
Jan2023,936,1601,1500000
