date,sqft,psf,price
Mar2017,1184,996,1180000
Apr2017,462,1313,608000
Apr2017,1184,1030,1220000
May2017,462,1317,610000
May2017,731,1062,778000
Jun2017,731,1174,860000
Jun2017,1184,1021,1210000
Aug2017,1237,1032,1278000
Sep2017,742,1087,808000
Sep2017,1280,1069,1370000
Oct2017,1130,1088,1230000
Oct2017,1184,1072,1270000
Nov2017,462,1339,620000
Nov2017,1130,999,1130000
Nov2017,1130,1070,1210000
Nov2017,1184,1081,1280000
Feb2018,731,1202,880000
Feb2018,1270,1283,1630000
Mar2018,731,1188,870000
Mar2018,1270,1322,1680000
Apr2018,731,1202,880000
Apr2018,1130,1082,1223000
Apr2018,1237,1098,1360000
Apr2018,1915,965,1850000
May2018,1130,1139,1288000
May2018,1184,1182,1400000
May2018,1280,1241,1590000
Jun2018,1130,1194,1350000
Jul2018,742,1184,880000
Jul2018,1130,1044,1180000
Jul2018,1184,1140,1350000
Aug2018,1130,1079,1220000
Aug2018,1184,1266,1500000
Oct2018,742,1184,880000
Oct2018,1399,1129,1580000
Nov2018,1184,1064,1260000
Dec2018,1130,1157,1308000
Feb2019,710,1249,888000
Feb2019,1130,1150,1300000
Apr2019,731,1209,885000
May2019,462,1361,630000
May2019,742,1137,845000
May2019,1130,1150,1300000
Jun2019,1280,1132,1450000
Sep2019,1420,1214,1725000
Nov2019,1711,993,1700000
Jan2020,462,1307,605000
Jan2020,1280,1163,1490000
Feb2020,667,1198,800000
Feb2020,667,1198,800000
Feb2020,1668,1006,1680000
Mar2020,731,1140,835000
Mar2020,731,1202,880000
Mar2020,1130,1194,1350000
Jun2020,462,1328,615000
Aug2020,1184,1172,1388000
Aug2020,1270,1102,1400000
Aug2020,1431,1138,1630000
Aug2020,1431,1152,1650000
Sep2020,1184,1199,1420000
Sep2020,1431,1187,1700000
Oct2020,462,1400,648000
Oct2020,1270,1102,1400000
Nov2020,667,1240,828000
Nov2020,1270,1110,1410000
Nov2020,1959,1020,2000000
Jan2021,462,1328,615000
Jan2021,731,1240,908000
Feb2021,1270,1117,1420000
Mar2021,1270,1109,1408888
Apr2021,1184,1097,1300000
Apr2021,1130,1194,1350000
Apr2021,1280,1171,1500000
Apr2021,1431,1187,1700000
Apr2021,1915,1058,2028000
May2021,1130,1145,1295000
May2021,1280,1155,1480000
Jun2021,667,1230,820888
Jun2021,731,1195,875000
Jun2021,1184,1140,1350000
Jun2021,1280,1124,1440000
Jun2021,1797,1001,1800000
Jul2021,667,1258,840000
Jul2021,742,1202,893000
Jul2021,1130,1141,1290000
Jul2021,1237,1255,1553888
Aug2021,667,1236,825000
Aug2021,731,1240,908000
Aug2021,742,1225,910000
Aug2021,1130,1210,1368000
Aug2021,1130,1221,1380000
Aug2021,1184,1173,1390000
Aug2021,1270,1199,1524000
Aug2021,1270,1220,1550000
Aug2021,2486,1085,2700000
Sep2021,667,1281,855000
Sep2021,1130,1228,1388000
Oct2021,1130,1229,1390000
Oct2021,1184,1186,1405000
Nov2021,667,1288,860000
Nov2021,710,1330,945000
Dec2021,742,1299,965000
Dec2021,1184,1296,1535000
Jan2022,1237,1272,1575000
Jan2022,1270,1287,1635000
Feb2022,462,1464,678000
Feb2022,1184,1207,1430000
Apr2022,710,1337,950000
Apr2022,1237,1256,1555000
Apr2022,2012,1242,2500000
May2022,742,1316,978000
May2022,731,1345,985000
May2022,1184,1309,1550000
Jul2022,1130,1371,1550000
Aug2022,667,1335,891500
Sep2022,462,1447,670000
Sep2022,1237,1349,1670000
Sep2022,1237,1413,1750000
Nov2022,742,1292,960000
Dec2022,462,1501,695000
Dec2022,731,1345,985000
Jan2023,1915,976,1870000
Feb2023,1130,1397,1580000
Mar2023,1130,1327,1500000
Mar2023,1270,1401,1780000
Apr2023,1184,1486,1760000
Apr2023,1237,1456,1803000
May2023,462,1533,710000
May2023,462,1555,720000
May2023,462,1574,728888
Jun2023,731,1502,1100000
Jun2023,1130,1397,1580000
Jun2023,1184,1427,1690000
Jul2023,731,1448,1060000
Jul2023,1711,1174,2010000
Aug2023,462,1551,718000
Aug2023,731,1557,1140000
Aug2023,1237,1464,1813000
Sep2023,742,1518,1128000
Sep2023,731,1571,1150000
Nov2023,1130,1512,1710000
Dec2023,1130,1486,1680000
Dec2023,1280,1370,1755000
Jan2024,742,1524,1132500
Feb2024,1130,1477,1670000
Feb2024,1819,1126,2050000
Mar2024,462,1594,738000
Apr2024,2206,1046,2310000
May2024,1184,1621,1920000
Jul2024,710,1590,1130000
Jul2024,1184,1520,1800000
Jul2024,1237,1534,1900000
Jul2024,1915,1096,2100000
Aug2024,731,1543,1130000
Aug2024,2002,1173,2350000
Sep2024,667,1565,1045000
Oct2024,1270,1574,2000000
Oct2024,1237,1623,2010000
Oct2024,1959,1352,2650000
Nov2024,742,1572,1168000
Nov2024,1689,1168,1975000
Dec2024,1399,1590,2225000
Dec2024,1829,1229,2250000
Jan2025,731,1577,1155000
Jan2025,1184,1579,1870000
Jan2025,1270,1574,2000000
Jan2025,1270,1722,2188000
Jan2025,2335,1228,2870000
Feb2025,1184,1575,1865000
Mar2025,742,1656,1230000
Mar2025,1130,1627,1838888
Mar2025,1280,1608,2060000
Mar2025,1829,1191,2180000
Apr2025,1184,1630,1930000
Apr2025,1270,1771,2250000
May2025,2400,1104,2650000
Aug2025,462,1642,760000
Aug2025,1130,1582,1788000
Aug2025,1237,1668,2065000
Nov2025,1280,1678,2150000
Jan2026,742,1588,1180000
