date,sqft,psf,price
Jul2024,570,1928,1100000
Jul2024,1248,1906,2380000
Aug2024,592,1944,1151000
Aug2024,678,1900,1288888
Sep2024,678,1973,1338000
Sep2024,678,2020,1370000
Sep2024,1248,2082,2600000
Oct2024,592,1993,1180000
Nov2024,678,1917,1300000
Nov2024,678,1946,1320000
Dec2024,452,1902,860000
Dec2024,570,1928,1100000
Jan2025,592,1841,1090000
Jan2025,678,1961,1330000
Feb2025,570,1889,1078000
Feb2025,678,1841,1248888
Feb2025,678,1931,1310000
Feb2025,678,2046,1388000
Mar2025,592,1891,1120000
Apr2025,1054,2038,2150000
Apr2025,1313,2046,2688000
May2025,484,1868,905000
May2025,979,1786,1750000
May2025,936,1900,1780000
Jun2025,452,2001,905000
Jun2025,484,1878,910000
Jun2025,936,2119,1985000
Jul2025,979,1724,1688888
Jul2025,947,1794,1700000
Jul2025,1011,2113,2138888
Sep2025,775,1935,1500000
Sep2025,1011,2055,2080000
Sep2025,1248,2122,2650000
Sep2025,1313,2154,2828888
Oct2025,570,1858,1060000
Oct2025,775,1937,1501800
Oct2025,1011,2174,2200000
Nov2025,947,2035,1928000
Dec2025,570,1954,1115000
Dec2025,947,1900,1800000
Dec2025,936,2092,1960000
Dec2025,936,2157,2020000
Dec2025,1054,2227,2350000
Dec2025,1313,2070,2718888
Jan2026,592,1942,1150000
Jan2026,947,2069,1960000
Feb2026,452,1924,870000
Feb2026,452,2001,905000
Feb2026,484,1895,918000
Mar2026,1248,2258,2820000
