date,sqft,psf,price
Mar2025,624,1981,1237000
Feb2025,635,1889,1200000
Sep2024,624,1890,1180000
Jun2024,839,1762,1480000
Mar2024,818,1906,1560000
Dec2023,635,1936,1230000
Oct2023,635,2094,1330000
Jul2023,656,1885,1238000
Apr2019,979,1531,1500000
Jan2019,979,1650,1617000
Aug2018,1001,1648,1650000
Aug2018,904,1681,1520000
Jul2018,656,1772,1164000
Jul2018,688,1730,1192000
Jul2018,818,1712,1401000
Jul2018,839,1723,1447000
Jun2018,656,1856,1219000
May2018,818,1759,1439000
May2018,688,1826,1258000
May2018,1001,1709,1711000
May2018,904,1713,1549000
May2018,570,1849,1055000
Apr2018,645,1732,1119000
Apr2018,979,1720,1685000
Apr2018,1001,1713,1715000
Apr2018,678,1793,1216000
Apr2018,635,1787,1135000
Apr2018,602,1796,1083000
Apr2018,839,1746,1466000
Apr2018,678,1807,1226000
Apr2018,678,1765,1197000
Apr2018,635,1813,1152000
Apr2018,1001,1673,1675000
Apr2018,688,1792,1235000
Apr2018,839,1755,1474000
Apr2018,624,1736,1084000
Apr2018,570,1796,1025000
Apr2018,624,1752,1094000
Apr2018,645,1775,1147000
Apr2018,635,1823,1158000
Apr2018,602,1828,1102000
Apr2018,656,1760,1156000
Apr2018,570,1745,996000
Apr2018,645,1830,1182000
Apr2018,656,1803,1184000
Apr2018,818,1794,1468000
Apr2018,645,1752,1132000
Apr2018,688,1749,1205000
Apr2018,904,1687,1526000
Apr2018,979,1675,1641000
Apr2018,635,1768,1123000
Apr2018,570,1831,1045000
Apr2018,678,1748,1186000
Apr2018,624,1723,1076000
Apr2018,1001,1739,1741000
Apr2018,624,1771,1106000
Apr2018,624,1768,1104000
Apr2018,656,1757,1154000
Apr2018,904,1705,1542000
Apr2018,602,1773,1069000
Apr2018,688,1770,1220000
Apr2018,635,1788,1136000
Apr2018,839,1734,1456000
Apr2018,602,1806,1089000
Apr2018,818,1724,1411000
