date,sqft,psf,price
Jan2019,462,1642,760000
Jan2019,462,1836,850000
Apr2019,710,1379,980000
Apr2019,710,1478,1050000
Jun2019,710,1492,1060000
Aug2019,462,1555,720000
Aug2019,710,1396,992000
Sep2019,710,1407,1000000
Sep2019,710,1548,1100000
Dec2019,710,1432,1018000
Apr2020,710,1456,1035000
Apr2020,710,1463,1040000
Apr2020,2615,1032,2700000
May2020,462,1512,700000
Jun2020,710,1478,1050000
Aug2020,1356,1408,1910000
Oct2020,473,1583,750000
Nov2020,462,1551,718000
Nov2020,710,1379,980000
Dec2020,462,1577,730000
Dec2020,710,1435,1020000
Jan2021,462,1382,640000
Jan2021,462,1512,700000
Jan2021,462,1512,700000
Jan2021,2615,1127,2950000
Feb2021,548,1349,740800
Mar2021,473,1473,698000
Mar2021,462,1577,730000
Apr2021,473,1541,730000
Apr2021,473,1541,730000
May2021,462,1490,690000
May2021,473,1541,730000
May2021,710,1478,1050000
Jun2021,473,1594,755000
Jun2021,710,1520,1080000
Jul2021,1410,1595,2250000
Aug2021,462,1490,690000
Aug2021,710,1492,1060000
Sep2021,462,1555,720000
Oct2021,473,1509,715000
Oct2021,473,1530,725000
Nov2021,473,1520,720000
Nov2021,473,1534,726888
Dec2021,473,1566,742000
Dec2021,473,1573,745000
Dec2021,710,1548,1100000
Dec2021,871,1468,1280000
Jan2022,462,1555,720000
Jan2022,473,1532,726000
Jan2022,548,1439,790000
Jan2022,710,1520,1080000
Jan2022,1162,1676,1948888
Feb2022,548,1202,660000
Feb2022,473,1541,730000
Mar2022,462,1533,710000
Mar2022,473,1573,745000
Apr2022,462,1587,735000
Apr2022,473,1562,740000
Apr2022,462,1609,745000
Apr2022,710,1618,1150000
May2022,473,1535,727000
May2022,462,1572,728000
May2022,473,1573,745000
May2022,462,1663,770000
May2022,710,1517,1078000
May2022,710,1625,1155000
Jul2022,462,1574,728888
Jul2022,462,1592,736888
Jul2022,462,1663,770000
Jul2022,710,1646,1170000
Aug2022,473,1604,760000
Aug2022,473,1625,770000
Aug2022,538,1482,798000
Aug2022,710,1618,1150000
Sep2022,473,1625,770000
Sep2022,710,1724,1225000
Sep2022,1162,1667,1938000
Oct2022,473,1621,768000
Oct2022,710,1660,1180000
Oct2022,1356,1673,2270000
Nov2022,462,1674,775000
Nov2022,462,1760,815000
Nov2022,710,1660,1180000
Dec2022,462,1728,800000
Dec2022,710,1618,1150000
Jan2023,462,1642,760000
Feb2023,473,1636,775000
Feb2023,462,1706,790000
Mar2023,473,1694,802500
Mar2023,473,1727,818000
Apr2023,462,1728,800000
Apr2023,1356,1843,2500000
May2023,462,1555,720000
May2023,473,1663,788000
May2023,462,1706,790000
May2023,473,1706,808000
May2023,462,1750,810000
May2023,462,1844,853888
May2023,710,1703,1210000
Jun2023,462,1706,790000
Jun2023,473,1678,795000
Jun2023,473,1689,800000
Jun2023,710,1738,1235000
Jun2023,710,1829,1300000
Jul2023,462,1674,775000
Jul2023,473,1684,798000
Jul2023,473,1706,808000
Jul2023,462,1771,820000
Jul2023,473,1731,820000
Jul2023,710,1900,1350000
Aug2023,548,1490,818000
Aug2023,710,1773,1260000
Aug2023,710,1787,1270000
Nov2023,1162,1796,2088000
Jan2024,473,1727,818000
Jan2024,710,1829,1300000
Jan2024,1162,1711,1990000
Feb2024,462,1767,818000
Feb2024,462,1771,820000
Mar2024,462,1728,800000
Mar2024,538,1486,800000
Mar2024,710,1787,1270000
Apr2024,473,1657,785000
Apr2024,462,1750,810000
Apr2024,462,1853,858000
Apr2024,710,1752,1245000
May2024,473,1689,800000
May2024,473,1748,828000
May2024,710,1773,1260000
May2024,1410,1900,2680000
Jul2024,462,1728,800000
Jul2024,710,1801,1280000
Aug2024,538,1514,815000
Sep2024,473,1731,820000
Sep2024,538,1552,835500
Oct2024,462,1739,805000
Oct2024,710,1865,1325000
Nov2024,473,1706,808000
Dec2024,462,1745,808000
Dec2024,462,1750,810000
Dec2024,710,1872,1330000
Jan2025,462,1814,839888
Jan2025,462,1825,845000
Feb2025,473,1805,855000
Feb2025,462,1855,858888
Feb2025,710,1907,1355000
Mar2025,473,1727,818000
Mar2025,710,1851,1315000
Apr2025,473,1731,820000
Apr2025,710,1829,1300000
May2025,1162,1864,2168000
Jun2025,710,1855,1318000
Jul2025,462,1771,820000
Jul2025,473,1731,820000
Aug2025,1356,1953,2650000
Sep2025,462,1691,783000
Sep2025,462,1745,808000
Sep2025,473,1731,820000
Sep2025,710,1872,1330000
Sep2025,710,1872,1330000
Oct2025,462,1771,820000
Oct2025,462,1793,830000
Oct2025,473,1794,850000
Oct2025,710,1928,1370000
Nov2025,710,1925,1368000
Dec2025,462,1788,828000
Dec2025,710,1843,1310000
Jan2026,473,1752,830000
Jan2026,473,1756,832000
Feb2026,462,1760,815000
Feb2026,473,1731,820000
Feb2026,462,1793,830000
Feb2026,548,1581,868000
