date,sqft,psf,price
Mar2026,850,1345,1143888
Feb2026,850,1399,1190000
Jan2026,527,1403,740000
Jan2026,570,1437,820000
Jan2026,3369,905,3050000
Oct2025,570,1349,770000
Oct2025,635,1369,870000
Oct2025,570,1384,790000
Sep2025,527,1361,718000
Sep2025,538,1371,738000
Aug2025,570,1361,777000
Aug2025,1001,1338,1340000
Jul2025,1205,1327,1600000
Jul2025,861,1358,1170000
Jul2025,624,1361,850000
Jul2025,570,1337,763000
Jun2025,1087,1402,1525000
Jun2025,753,1406,1060000
Apr2025,570,1367,780000
Mar2025,581,1424,828000
Mar2025,538,1337,720000
Feb2025,635,1346,855000
Feb2025,538,1328,715000
Feb2025,861,1381,1190000
Jan2025,1087,1425,1550000
Jan2025,861,1352,1165000
Jan2025,624,1409,880000
Dec2024,570,1332,760000
Dec2024,1205,1410,1700000
Dec2024,990,1302,1290000
Nov2024,635,1351,858000
Sep2024,753,1340,1010000
Sep2024,538,1319,710000
Sep2024,753,1260,950000
Aug2024,1087,1361,1480000
Aug2024,753,1274,960000
Jun2024,1205,1327,1600000
Jun2024,764,1295,990000
Jun2024,570,1402,800000
May2024,570,1288,735000
May2024,538,1282,690000
Apr2024,861,1370,1180000
Apr2024,1205,1269,1530000
Apr2024,861,1333,1148000
Mar2024,624,1334,833000
Mar2024,753,1294,975000
Feb2024,624,1329,830000
Feb2024,1087,1287,1400000
Jan2024,527,1361,718000
Dec2023,570,1297,740000
Oct2023,570,1314,750000
Sep2023,538,1358,730888
Aug2023,570,1381,788000
Aug2023,861,1289,1110000
Aug2023,861,1312,1130000
Aug2023,861,1356,1168000
Aug2023,570,1381,788000
Jun2023,527,1395,736000
May2023,753,1300,980000
Apr2023,538,1371,738000
Feb2023,538,1393,750000
Feb2023,570,1293,738000
Jan2023,764,1256,960000
Jan2023,1205,1161,1400000
Dec2022,624,1281,800000
Nov2022,538,1337,720000
Oct2022,527,1308,690000
Oct2022,990,1070,1060000
Oct2022,753,1207,910000
Oct2022,570,1264,721500
Sep2022,635,1212,770000
Sep2022,538,1263,680000
Sep2022,570,1235,705000
Aug2022,570,1246,711000
Jul2022,624,1193,745000
Jul2022,570,1262,720000
Jun2022,570,1188,678000
Jun2022,764,1177,900000
Jun2022,538,1296,698000
May2022,850,1164,990000
May2022,990,1060,1050000
May2022,1205,1219,1470000
May2022,570,1227,700000
May2022,538,1244,670000
May2022,624,1217,760000
May2022,570,1191,680000
Mar2022,753,1187,895000
Mar2022,861,1103,950000
Mar2022,570,1241,708000
Mar2022,1087,1122,1220000
Mar2022,850,1134,965000
Feb2022,527,1289,680000
Feb2022,3369,875,2950000
Feb2022,635,1165,740000
Feb2022,538,1211,652000
Feb2022,570,1270,725000
Feb2022,764,1197,915000
Dec2021,570,1183,675000
Nov2021,527,1232,650000
Nov2021,764,1177,900000
Nov2021,990,1060,1050000
Oct2021,861,1063,915888
Oct2021,527,1232,650000
Oct2021,753,1181,890000
Oct2021,635,1180,750000
Oct2021,990,998,988888
Oct2021,538,1230,662000
Oct2021,861,1103,950000
Sep2021,850,1044,888000
Sep2021,527,1222,645000
Sep2021,538,1198,645000
Aug2021,538,1176,633000
Aug2021,1087,1131,1230000
Aug2021,538,1189,640000
Jul2021,538,1153,621000
Jul2021,1001,1048,1050000
Jul2021,570,1156,660000
Jun2021,527,1099,580000
Jun2021,527,1194,630000
Jun2021,527,1154,608800
Jun2021,624,1118,698000
May2021,570,1107,632000
Apr2021,570,1153,658000
Apr2021,527,1152,608000
Apr2021,1205,1078,1300000
Apr2021,570,1107,632000
Mar2021,527,1137,600000
Mar2021,635,1089,692000
Mar2021,850,1045,889000
Feb2021,527,1230,648888
Feb2021,570,1148,655000
Dec2020,570,1086,620000
Nov2020,753,1134,855000
Nov2020,1205,995,1200000
Oct2020,527,1139,601000
Oct2020,1205,1078,1300000
Oct2020,570,1069,610000
Oct2020,538,1148,618000
Sep2020,635,1102,700000
Aug2020,538,1129,608000
Aug2020,570,1104,630000
Aug2020,527,1184,625000
Aug2020,527,1175,620000
Aug2020,990,964,955000
Aug2020,570,1097,626000
Aug2020,538,1092,588000
Jul2020,624,1073,670000
Jul2020,581,1040,605000
Jul2020,538,1170,630000
Jul2020,753,1048,790000
Mar2020,538,1133,610000
Mar2020,1205,1119,1350000
Jan2020,570,1104,630000
Dec2019,624,1089,680000
Nov2019,1205,1036,1250000
Nov2019,861,981,845000
Oct2019,527,1175,620000
Jun2019,635,1129,717500
Jun2019,527,1217,642000
May2019,635,1055,670000
Mar2019,570,1148,655000
Mar2019,3229,829,2680000
Jan2019,570,1153,658000
Dec2018,753,1112,838000
Oct2018,861,1138,980000
Sep2018,753,1128,850000
Jun2018,3358,805,2703500
Jun2018,3358,794,2666887
Jun2018,990,1060,1050000
Jun2018,624,1145,715000
Jun2018,527,1228,648000
May2018,635,1149,730000
May2018,753,1128,850000
May2018,3369,782,2636500
May2018,3369,797,2688500
May2018,570,1144,653000
Apr2018,861,1103,950000
