date,sqft,psf,price
Dec2025,914,1830,1675000
Nov2025,1474,1878,2770000
Oct2025,785,1873,1472000
Sep2025,1474,1966,2900000
Sep2025,914,1770,1620000
Aug2025,484,1858,900000
Jul2025,1313,1903,2500000
Jul2025,1302,1924,2505888
Apr2025,1162,1830,2128000
Feb2025,914,1787,1635000
Nov2024,1302,1827,2380000
Nov2024,914,1770,1620000
Oct2024,914,1770,1620000
Sep2024,1474,1881,2775000
Jul2024,914,1648,1508000
Jul2024,1474,1898,2800000
Jul2024,785,1654,1300000
Apr2024,785,1609,1265000
Apr2024,914,1683,1540000
Jul2023,914,1628,1490000
Jun2023,785,1626,1278000
Jun2023,914,1475,1350000
May2023,785,1698,1335000
May2023,1474,1830,2700000
May2023,785,1590,1250000
Apr2023,1474,1681,2480000
Mar2023,1894,1583,3000000
Mar2023,1474,1678,2475000
Dec2022,1162,1617,1880000
Dec2022,914,1508,1380000
Jul2022,1302,1597,2080000
Jul2022,1474,1695,2500000
Jun2022,1474,1613,2380000
Apr2022,1313,1462,1920000
Mar2022,785,1539,1210000
Dec2021,785,1393,1095000
Dec2021,1474,1549,2285000
Nov2021,484,1538,745000
Nov2021,1474,1517,2238000
Nov2021,1302,1573,2050000
Sep2021,914,1409,1290000
Sep2021,1162,1453,1690000
Aug2021,1474,1466,2163000
Jul2021,785,1336,1050000
Jul2021,914,1322,1210000
Jun2021,484,1527,740000
May2021,1474,1546,2280000
May2021,785,1463,1150000
May2021,914,1409,1290000
Apr2021,1162,1393,1620000
Apr2021,785,1346,1058000
Apr2021,1162,1359,1580000
Mar2021,1162,1290,1500000
Mar2021,914,1331,1218000
Mar2021,1302,1382,1800000
Mar2021,484,1507,730000
Jan2021,1162,1359,1580000
Jan2021,785,1317,1035000
Jan2021,1227,1222,1500000
Jan2021,1474,1491,2200000
Jan2021,1162,1290,1500000
Dec2020,914,1311,1200000
Nov2020,1302,1395,1818000
Nov2020,914,1315,1203800
Oct2020,1162,1298,1510000
Oct2020,914,1300,1190000
Sep2020,484,1538,745000
Jul2020,785,1323,1040000
Jul2020,785,1336,1050000
Feb2020,785,1317,1035000
Feb2020,914,1311,1200000
Jan2020,1894,1282,2430000
Jan2020,785,1304,1025000
Dec2019,914,1300,1190000
Nov2019,914,1147,1050000
Oct2019,1474,1308,1930000
Sep2019,914,1300,1190000
Jul2019,1162,1333,1550000
May2019,1614,1207,1950000
Apr2019,1614,1176,1900000
Mar2019,914,1333,1220000
Nov2018,484,1626,788000
Sep2018,914,1333,1220000
Aug2018,1044,1405,1468000
Aug2018,1044,1332,1390800
Jul2018,914,1354,1238888
Jul2018,785,1310,1030000
Jun2018,785,1359,1068000
Jun2018,785,1342,1055000
Jun2018,1474,1457,2150000
Jun2018,1474,1254,1850000
May2018,1162,1236,1438000
May2018,785,1336,1050000
May2018,785,1374,1080000
May2018,914,1311,1200000
May2018,1162,1376,1600000
May2018,484,1548,750000
May2018,785,1234,970000
May2018,484,1476,715000
Mar2018,914,1092,1000000
Mar2018,914,1366,1250000
Feb2018,699,1200,840000
Feb2018,1474,1220,1800000
Feb2018,1302,1343,1750000
Jan2018,1302,1251,1630000
Jan2018,785,1196,940000
Jan2018,785,1310,1030000
Dec2017,785,1209,950000
Nov2017,914,1147,1050000
Nov2017,785,1209,950000
Sep2017,1162,1152,1340000
Sep2017,1474,1237,1825000
Sep2017,914,1147,1050000
Sep2017,1474,1240,1830000
Aug2017,484,1445,700000
Jul2017,1474,1234,1820000
Jun2017,914,1147,1050000
May2017,1162,1204,1400000
