date,sqft,psf,price
Feb2026,473,2217,1050000
Jan2026,473,2094,992000
Dec2025,742,2030,1508000
Dec2025,893,2182,1950000
Nov2025,893,2216,1980000
Nov2025,893,2137,1910000
Nov2025,688,2191,1510000
Oct2025,688,2177,1500000
Oct2025,678,2211,1500000
Sep2025,473,2164,1025000
Sep2025,678,2194,1488000
Sep2025,688,2075,1430000
Sep2025,947,2005,1900000
Aug2025,602,2305,1390000
Aug2025,678,2200,1492000
Aug2025,742,1922,1428000
Jul2025,505,1972,998000
Jul2025,1162,1935,2250000
Jun2025,688,2191,1510000
Jun2025,678,2035,1380000
Apr2025,947,2005,1900000
Apr2025,1205,1857,2238888
Mar2025,678,2167,1470000
Mar2025,505,1996,1010000
Mar2025,581,1668,970000
Mar2025,742,2019,1500000
Mar2025,495,2070,1025000
Feb2025,473,2022,958000
Feb2025,1205,1957,2360000
Feb2025,505,2035,1030000
Jan2025,516,2003,1035000
Jan2025,678,2049,1390000
Dec2024,1410,2005,2828000
Nov2024,2023,1457,2950000
Nov2024,678,2256,1530000
Oct2024,893,2182,1950000
Oct2024,527,1958,1033000
Oct2024,505,1952,988000
Oct2024,495,1995,988000
Oct2024,602,2173,1310000
Oct2024,742,1858,1380000
Sep2024,473,2086,988000
Aug2024,473,2069,980000
Aug2024,473,2217,1050000
Jul2024,1517,1811,2750000
Jul2024,495,2120,1050000
Jul2024,678,2079,1410000
Jun2024,570,1817,1036800
Jun2024,699,2186,1530000
Jun2024,473,2016,955000
May2024,678,2108,1430000
May2024,473,2005,950000
Apr2024,495,1934,958000
Mar2024,505,1897,960000
Mar2024,968,1979,1918000
Jan2024,495,1793,888000
Jan2024,495,2015,998000
Jan2024,678,1955,1326000
Dec2023,495,1959,970000
Dec2023,947,1868,1770000
Nov2023,678,1917,1300000
Oct2023,968,1971,1910000
Oct2023,527,2009,1060000
Oct2023,473,1948,923000
Sep2023,495,2009,995000
Sep2023,516,1838,950000
Sep2023,484,2126,1030000
Sep2023,473,1938,918000
Aug2023,473,1942,920000
Jul2023,516,1935,1000000
Jun2023,968,1878,1820000
May2023,893,1863,1665000
May2023,893,1925,1720000
May2023,495,1948,965000
May2023,516,1829,945000
May2023,505,1838,930000
May2023,678,1990,1350000
May2023,893,1813,1620000
Apr2023,473,1959,928000
Mar2023,473,1900,900000
Mar2023,678,1917,1300000
Mar2023,473,1942,920000
Feb2023,688,1974,1360000
Jan2023,473,1900,900000
Dec2022,678,1917,1300000
Dec2022,893,1880,1680000
Dec2022,527,1778,938000
Nov2022,678,1865,1265000
Nov2022,742,1761,1308000
Nov2022,495,1959,970000
Nov2022,893,1656,1480000
Nov2022,1205,1451,1750000
Oct2022,893,1790,1600000
Oct2022,678,1917,1300000
Oct2022,505,1788,905000
Oct2022,968,1579,1530000
Sep2022,893,1833,1638000
Sep2022,742,1817,1350000
Sep2022,742,1790,1330000
Sep2022,893,1830,1635000
Sep2022,688,1887,1300000
Aug2022,527,1744,920000
Aug2022,893,1880,1680000
Aug2022,968,1732,1678000
Aug2022,678,1843,1250000
Jul2022,678,1784,1210000
Jul2022,947,1879,1780000
Jul2022,495,1868,925000
Jul2022,495,1817,900000
Jun2022,495,1777,880000
Jun2022,505,1822,922000
Jun2022,678,1813,1230000
Jun2022,688,1829,1260000
May2022,968,1804,1748000
May2022,742,1750,1300000
May2022,602,1899,1145000
May2022,678,1914,1298000
May2022,893,1824,1630000
Apr2022,505,1858,940018
Apr2022,624,1441,900000
Mar2022,602,1844,1112000
Mar2022,678,1878,1274000
Mar2022,1162,1806,2100000
Feb2022,678,1781,1208000
Jan2022,893,1880,1680000
Jan2022,678,1769,1200000
Jan2022,495,1837,910000
Jan2022,495,1874,928000
Dec2021,473,1959,928000
Dec2021,516,1815,938000
Nov2021,505,1739,880000
Nov2021,473,1858,880000
Oct2021,473,1917,908000
Oct2021,947,1530,1450000
Oct2021,688,1807,1245000
Oct2021,473,1714,812000
Oct2021,527,1706,900000
Oct2021,1205,1758,2120000
Oct2021,516,1809,935000
Oct2021,893,1824,1630000
Sep2021,893,1800,1608888
Sep2021,893,1712,1530000
Sep2021,678,1713,1162000
Sep2021,473,1794,850000
Sep2021,893,1790,1600000
Aug2021,602,1758,1060000
Aug2021,678,1799,1220000
Aug2021,505,1775,898000
Aug2021,505,1771,896000
Aug2021,581,1527,888000
Aug2021,495,1746,865000
Aug2021,678,1740,1180000
Aug2021,678,1751,1188000
Aug2021,678,1697,1150888
Aug2021,947,1773,1680000
Jul2021,495,1736,860000
Jul2021,473,1895,897500
Jul2021,473,1858,880000
Jul2021,527,1829,965000
Jul2021,742,1704,1266000
Jun2021,893,1790,1600000
Jun2021,1162,1720,2000000
Jun2021,947,1571,1488800
Jun2021,505,1695,858000
Jun2021,495,1827,905000
Jun2021,678,1769,1200000
May2021,893,1678,1500000
May2021,505,1774,897500
May2021,688,1814,1250000
Apr2021,678,1747,1185000
Apr2021,495,1716,850000
Mar2021,473,1883,892000
Mar2021,893,1701,1520000
Mar2021,473,1794,850000
Mar2021,947,1689,1600000
Feb2021,742,1656,1230000
Feb2021,947,1509,1430000
Jan2021,947,1530,1450000
Jan2021,893,1768,1580000
Jan2021,495,1749,866000
Dec2020,893,1623,1450000
Dec2020,1205,1649,1988888
Dec2020,742,1548,1150000
Dec2020,947,1472,1395000
Dec2020,473,1858,880000
Nov2020,893,1600,1430000
Oct2020,527,1685,888888
Sep2020,678,1592,1080000
Jul2020,1205,1509,1820000
Jun2020,893,1567,1400000
Jun2020,678,1563,1060000
Mar2020,678,1673,1135000
Dec2019,473,1832,868000
Dec2019,602,1795,1082000
Nov2019,893,1779,1590000
Nov2019,505,1759,890000
Nov2019,473,1874,888000
Nov2019,516,1751,905000
Oct2019,893,1701,1520000
Sep2019,893,1600,1430000
Sep2019,473,1819,861888
Aug2019,678,1622,1100000
May2019,495,1817,900000
Apr2019,893,1813,1620000
Apr2019,495,1817,900000
Apr2019,473,1798,852000
Mar2019,473,1794,850000
Mar2019,1076,1560,1680000
Feb2019,699,1872,1310000
Dec2018,688,1770,1220000
Oct2018,602,1907,1150000
Sep2018,473,1858,880000
Jul2018,495,1777,880000
Jul2018,678,1865,1265000
Jun2018,699,1815,1270000
Jun2018,602,1741,1050000
Jun2018,473,1899,899800
Jun2018,688,1801,1241000
Jun2018,473,1912,906000
Mar2018,678,1843,1250000
Mar2018,947,1514,1435000
Mar2018,527,1640,865000
Feb2018,473,1900,900000
Feb2018,602,1658,1000000
Dec2017,602,1838,1108000
Dec2017,1205,1534,1850000
Nov2017,505,1808,915000
Nov2017,527,1592,840000
Oct2017,495,1635,810000
