date,sqft,psf,price
Jan2026,775,2096,1625000
Jan2026,484,1971,955000
Dec2025,473,1938,918000
Dec2025,1076,1940,2088888
Dec2025,775,2038,1580000
Dec2025,775,1929,1495000
Nov2025,1076,2011,2165000
Nov2025,473,2003,948888
Nov2025,775,2038,1580000
Nov2025,785,1970,1548000
Nov2025,775,2058,1595000
Nov2025,602,1609,970000
Nov2025,484,1940,940000
Oct2025,602,1824,1100000
Oct2025,775,2077,1610000
Oct2025,742,2046,1520000
Oct2025,904,1824,1650000
Oct2025,947,2058,1950000
Sep2025,484,1868,905000
Sep2025,731,1855,1358000
Sep2025,645,1997,1290000
Aug2025,645,1994,1288000
Aug2025,645,2012,1300000
Jul2025,775,2058,1595000
Jul2025,785,1985,1560000
Jul2025,516,2032,1050000
Jul2025,785,1934,1520000
Jun2025,484,1868,905000
Jun2025,785,1985,1560000
May2025,785,1998,1570000
May2025,516,1974,1020000
May2025,882,1892,1670000
May2025,602,1576,950000
May2025,775,2038,1580000
Apr2025,2066,1669,3450588
Apr2025,1829,1694,3100000
Apr2025,796,1983,1580000
Mar2025,473,1997,946000
Feb2025,775,1916,1485000
Feb2025,904,1808,1635000
Feb2025,1829,1748,3200000
Jan2025,775,1974,1530000
Dec2024,1076,2062,2220000
Dec2024,785,1934,1520000
Dec2024,645,2009,1298000
Nov2024,775,2012,1560000
Nov2024,516,1974,1020000
Nov2024,473,1921,910000
Oct2024,742,2046,1520000
Oct2024,785,1931,1518000
Sep2024,785,1972,1550000
Sep2024,861,1950,1680000
Aug2024,473,1963,930000
Aug2024,473,2005,950000
Aug2024,473,1995,945000
Aug2024,785,1781,1400000
Aug2024,775,2045,1585000
Jul2024,645,2043,1320000
Jun2024,602,1758,1060000
May2024,473,2001,948000
May2024,645,1976,1276800
Apr2024,645,2012,1300000
Apr2024,1926,1946,3750000
Mar2024,473,2018,955888
Feb2024,742,2073,1540000
Feb2024,775,2038,1580000
Jan2024,2066,1682,3478000
Jan2024,645,1943,1255000
Jan2024,1044,2030,2120000
Dec2023,645,2012,1300000
Dec2023,473,1984,940000
Dec2023,1044,2059,2150000
Nov2023,473,1900,900000
Nov2023,645,1703,1100000
Nov2023,516,1815,938000
Nov2023,796,2021,1610000
Sep2023,957,2035,1950000
Sep2023,473,2111,1000000
Aug2023,904,1802,1630000
Aug2023,516,2001,1034000
Aug2023,947,2093,1983000
Aug2023,473,2026,960000
Jul2023,473,2048,970000
Jul2023,473,1938,918000
Jun2023,516,1954,1010000
Jun2023,473,2185,1035000
May2023,850,1952,1660000
Apr2023,473,1963,930000
Feb2023,957,1991,1908000
Nov2022,2066,1580,3265860
Oct2022,1786,1775,3173000
Sep2022,1044,1963,2050050
Sep2022,947,1994,1889088
Aug2022,2066,1644,3398250
Aug2022,516,1983,1025000
Aug2022,1044,1988,2075725
Aug2022,1517,1808,2745250
Jul2022,882,2031,1793000
Jul2022,947,2005,1899950
Jul2022,1829,1548,2833158
Jul2022,947,2061,1953000
Jul2022,1829,1574,2881525
Jul2022,1829,1552,2840050
Jul2022,1076,1844,1984875
Jul2022,1517,1847,2804390
Jul2022,1829,1584,2899300
Jul2022,882,2006,1771000
Jul2022,1044,1963,2050050
Jun2022,2066,1528,3158736
Jun2022,1044,1992,2080000
May2022,742,2154,1600000
May2022,473,1876,888888
May2022,1829,1450,2654400
May2022,1076,1767,1902913
Apr2022,1829,1555,2846963
Apr2022,882,2017,1781000
Apr2022,957,1953,1871313
Mar2022,1829,1626,2976000
Mar2022,1076,1908,2054000
Mar2022,2066,1611,3330000
Mar2022,1829,1634,2990000
Mar2022,882,2038,1798960
Mar2022,1829,1600,2928000
Feb2022,1829,1600,2929000
Feb2022,1517,1831,2780000
Feb2022,2066,1454,3005950
Feb2022,947,1840,1742938
Feb2022,1829,1613,2952000
Feb2022,957,1856,1778488
Feb2022,775,2047,1586913
Feb2022,1517,1871,2839888
Feb2022,1829,1627,2979000
Feb2022,947,1991,1886000
Feb2022,947,2031,1924000
Jan2022,1076,1858,2000000
Jan2022,1076,1867,2010000
Jan2022,1829,1659,3036000
Jan2022,882,2014,1778000
Jan2022,957,1966,1884150
Jan2022,1829,1571,2876000
Jan2022,775,1860,1441750
Jan2022,1044,1988,2076000
Jan2022,1076,1780,1916738
Jan2022,1076,1822,1962163
Jan2022,1829,1567,2869020
Jan2022,957,1911,1831000
Jan2022,1829,1579,2890000
Dec2021,1829,1473,2695875
Dec2021,645,1794,1158800
Dec2021,1829,1419,2597125
Dec2021,1829,1583,2898000
Dec2021,947,1982,1878000
Dec2021,2066,1578,3262000
Dec2021,1829,1556,2848000
Dec2021,775,2077,1610000
Nov2021,1829,1590,2910000
Nov2021,1829,1627,2978000
Nov2021,2066,1577,3260000
Nov2021,1829,1583,2898000
Nov2021,1420,1898,2696760
Nov2021,1926,1588,3061250
Oct2021,1076,1854,1996000
Oct2021,1076,1845,1987000
Oct2021,1399,1863,2607000
Oct2021,1829,1430,2616875
Oct2021,947,1972,1868000
Oct2021,1829,1523,2787713
Oct2021,1829,1551,2839063
Sep2021,2066,1433,2962500
Sep2021,1926,1708,3291000
Sep2021,2066,1361,2814375
Sep2021,1044,1948,2034000
Sep2021,775,1811,1404225
Aug2021,796,1841,1467180
Aug2021,775,1795,1391388
Aug2021,1829,1489,2726000
Aug2021,2066,1511,3124240
Aug2021,2066,1524,3150000
Aug2021,796,1874,1492920
Aug2021,796,1928,1536000
Jul2021,1829,1602,2933000
Jul2021,775,1935,1500000
Jul2021,785,1873,1472000
Jul2021,1076,1832,1972000
Jul2021,1786,1590,2842000
Jul2021,1829,1585,2901000
Jul2021,796,1881,1498860
Jul2021,1776,1735,3082100
Jul2021,957,1866,1788500
Jul2021,1442,1817,2622000
Jul2021,1786,1668,2981880
Jul2021,1786,1683,3008610
Jul2021,742,1931,1434837
Jul2021,1829,1514,2771913
Jun2021,1442,1753,2529000
Jun2021,2066,1522,3145800
Jun2021,1829,1448,2650000
Jun2021,796,1830,1458000
Jun2021,957,1825,1749000
Jun2021,785,1861,1463000
Jun2021,947,1939,1837184
Jun2021,1926,1696,3268000
Jun2021,947,1943,1841000
Jun2021,742,1985,1475000
