project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
alexis,Jan2026,527,1820,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jan2026,398,1978,788000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2025,365,2131,780000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2025,882,1580,1395000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2025,592,1570,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2025,387,2064,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jun2025,602,1690,1018888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,May2025,516,1877,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Apr2025,527,1861,982000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Mar2025,516,1900,982000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Mar2025,850,1467,1248000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Nov2024,398,1978,788000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2024,645,1769,1143000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2024,678,1599,1085000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2024,678,1732,1175000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Aug2024,473,1784,845000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jul2024,452,1791,810000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,May2024,828,1387,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Feb2024,409,1955,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jan2024,398,2008,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Dec2023,398,1883,750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Dec2023,527,1554,820000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Nov2023,753,1705,1285000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2023,667,1601,1068888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2023,635,1747,1110000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2023,882,1280,1130000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2023,505,1834,928000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2023,914,1475,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jul2023,452,1791,810000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,May2023,419,1972,828000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Mar2023,1227,1491,1830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Feb2023,505,1828,925000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jan2023,516,1683,870000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Dec2022,1130,1433,1620000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Dec2022,409,1833,750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Oct2022,387,1881,729000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2022,398,1858,740000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2022,1076,1300,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Sep2022,1205,1327,1600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Aug2022,398,1858,740000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Aug2022,409,1796,735000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,Jun2022,635,1771,1125000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,May2022,430,1707,735000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
alexis,May2022,645,1703,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
