project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
artra,Dec2025,1227,2526,3100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Nov2025,1227,2526,3100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Sep2025,1119,2411,2700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Sep2025,1044,2514,2625000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Aug2025,828,2338,1938000,matched,1b1b,1,1,1b1b (1b/1ba),829,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Jul2025,1044,2526,2638000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Jun2025,1227,2387,2930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Jun2025,1227,2347,2880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,May2025,1044,2413,2520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,May2025,1227,2237,2745000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Apr2025,828,2314,1918000,matched,1b1b,1,1,1b1b (1b/1ba),829,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Apr2025,785,2359,1854000,matched,1b1b,1,1,1b1b (1b/1ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Apr2025,785,2341,1840000,matched,1b1b,1,1,1b1b (1b/1ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Apr2025,785,2290,1800000,matched,1b1b,1,1,1b1b (1b/1ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Mar2025,1119,2349,2630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Mar2025,828,2401,1990000,matched,1b1b,1,1,1b1b (1b/1ba),829,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Mar2025,1410,2354,3320000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Feb2025,785,2466,1938000,matched,1b1b,1,1,1b1b (1b/1ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Dec2024,785,2367,1860000,matched,1b1b,1,1,1b1b (1b/1ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Nov2024,828,2304,1910000,matched,1b1b,1,1,1b1b (1b/1ba),829,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Oct2024,828,2254,1868888,matched,1b1b,1,1,1b1b (1b/1ba),829,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,Sep2024,1044,2367,2472000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Sep2024,1044,2403,2510000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
artra,Sep2024,785,2336,1836000,matched,1b1b,1,1,1b1b (1b/1ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
