project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
avenue_south_residence,Jan2026,807,2033,1642000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jan2026,656,2116,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jan2026,1108,2155,2390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jan2026,731,2316,1695888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jan2026,527,2180,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Dec2025,731,2472,1810000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Dec2025,947,2428,2300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Dec2025,656,2171,1426000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Dec2025,688,2032,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Nov2025,731,2390,1750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Nov2025,656,2116,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Nov2025,731,2315,1695000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Nov2025,807,2016,1628000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Nov2025,473,2091,990500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Nov2025,688,2612,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Oct2025,947,2310,2189000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Oct2025,731,2486,1820000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,656,2182,1433000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,656,2190,1438000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,721,2398,1730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,688,2489,1715000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,688,2061,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,688,2177,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,947,2299,2178000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,1496,2322,3475000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,473,2087,988888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,656,2450,1608888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,1108,2453,2720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Sep2025,807,2004,1618000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Aug2025,688,2435,1678000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Aug2025,527,2417,1275000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Aug2025,731,2090,1530000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Aug2025,656,2056,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Aug2025,731,2281,1670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jul2025,1496,2529,3785000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jul2025,656,2467,1620000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jun2025,688,2133,1469888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jun2025,1496,2341,3503888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jun2025,731,2500,1830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jun2025,688,2496,1720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jun2025,731,2308,1690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,Jun2025,1108,2146,2380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,May2025,721,2617,1888000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,May2025,1108,2424,2688000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,May2025,656,2182,1433000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
avenue_south_residence,May2025,731,2281,1670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
