project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
caspian,Dec2025,1593,1619,2580000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Nov2025,1216,1619,1970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Oct2025,1528,1701,2600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Oct2025,1453,1436,2088000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Aug2025,1237,1510,1870000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Aug2025,1302,1535,2000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Jul2025,1001,1518,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Jun2025,1388,1678,2330000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Jun2025,1453,1410,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,May2025,936,1601,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,May2025,1388,1699,2360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,May2025,1194,1506,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Apr2025,1001,1526,1528000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Apr2025,1001,1563,1565000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Apr2025,1140,1577,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Mar2025,1399,1607,2250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Feb2025,1216,1511,1838000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Feb2025,1205,1493,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Feb2025,1248,1253,1565000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Jan2025,936,1452,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Jan2025,936,1441,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Jan2025,936,1559,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Dec2024,871,1376,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Nov2024,1280,1522,1950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Nov2024,1194,1506,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Oct2024,1485,1481,2200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Sep2024,1194,1548,1850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
caspian,Aug2024,1001,1498,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
