project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
clavon,Feb2026,1356,2282,3095000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Feb2026,764,2001,1530000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Feb2026,957,2233,2139999,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Jan2026,764,2263,1730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Jan2026,1689,2284,3860000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Jan2026,957,2326,2228888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Jan2026,1582,2248,3558000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Dec2025,1130,2198,2485000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Dec2025,678,2049,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Dec2025,527,1981,1045000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Dec2025,678,2079,1410000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Nov2025,678,2094,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Nov2025,1689,2100,3550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Nov2025,1689,2117,3578000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clavon,Oct2025,1130,2256,2550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
