project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
clement_canopy,Feb2026,635,1965,1248000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Jan2026,1108,2038,2260000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Jan2026,731,1912,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Dec2025,656,1903,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Oct2025,635,1964,1247500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Oct2025,1108,1973,2188000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Oct2025,990,2110,2090000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Sep2025,731,1940,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Sep2025,1345,2118,2850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Sep2025,731,1897,1388888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Sep2025,710,2055,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Aug2025,731,1957,1433000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Jun2025,990,2090,2070000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,May2025,635,1905,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,May2025,1108,1948,2160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Apr2025,731,1940,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Apr2025,1108,1912,2120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Mar2025,990,2027,2008000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Mar2025,990,2073,2053000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Mar2025,1162,1789,2080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Feb2025,656,1911,1255000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Feb2025,990,2070,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Feb2025,990,1969,1950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Feb2025,656,1972,1295000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Feb2025,1108,1889,2095000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Jan2025,1108,1966,2180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Jan2025,1345,1876,2525000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Jan2025,990,1957,1938000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Nov2024,731,1953,1430000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Nov2024,635,1889,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
clement_canopy,Nov2024,731,1896,1388000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
