project_slug,total_rows,matched_rows,ambiguous_rows,unmapped_rows,coverage_pct,layout_counts,unresolved_sizes
alexis,107,0,0,107,0.0,{},"[{""count"": 19, ""sqft"": 398}, {""count"": 9, ""sqft"": 387}, {""count"": 6, ""sqft"": 409}, {""count"": 5, ""sqft"": 527}, {""count"": 5, ""sqft"": 505}, {""count"": 4, ""sqft"": 602}, {""count"": 4, ""sqft"": 516}, {""count"": 4, ""sqft"": 828}]"
artra,36,18,0,18,50.0,"{""1b1b"": 18}","[{""count"": 8, ""sqft"": 1044}, {""count"": 6, ""sqft"": 1227}, {""count"": 3, ""sqft"": 1119}, {""count"": 1, ""sqft"": 1410}]"
avenue_south_residence,87,0,0,87,0.0,{},"[{""count"": 16, ""sqft"": 656}, {""count"": 15, ""sqft"": 731}, {""count"": 14, ""sqft"": 688}, {""count"": 9, ""sqft"": 947}, {""count"": 7, ""sqft"": 1108}, {""count"": 7, ""sqft"": 527}, {""count"": 6, ""sqft"": 1496}, {""count"": 5, ""sqft"": 807}]"
caspian,226,0,0,226,0.0,{},"[{""count"": 36, ""sqft"": 1237}, {""count"": 31, ""sqft"": 1001}, {""count"": 24, ""sqft"": 936}, {""count"": 16, ""sqft"": 1399}, {""count"": 15, ""sqft"": 871}, {""count"": 13, ""sqft"": 1194}, {""count"": 13, ""sqft"": 1205}, {""count"": 10, ""sqft"": 1216}]"
clavon,15,0,0,15,0.0,{},"[{""count"": 3, ""sqft"": 1689}, {""count"": 3, ""sqft"": 678}, {""count"": 2, ""sqft"": 764}, {""count"": 2, ""sqft"": 957}, {""count"": 2, ""sqft"": 1130}, {""count"": 1, ""sqft"": 1356}, {""count"": 1, ""sqft"": 1582}, {""count"": 1, ""sqft"": 527}]"
clement_canopy,136,8,0,128,5.9,"{""5b4b"": 8}","[{""count"": 33, ""sqft"": 990}, {""count"": 22, ""sqft"": 731}, {""count"": 17, ""sqft"": 1108}, {""count"": 16, ""sqft"": 635}, {""count"": 13, ""sqft"": 656}, {""count"": 13, ""sqft"": 710}, {""count"": 12, ""sqft"": 1345}, {""count"": 2, ""sqft"": 1162}]"
commonwealth_towers,302,302,0,0,100.0,"{""1b1b"": 146, ""2b2b"": 89, ""3b3b"": 58, ""4b4b"": 9}",[]
daintree_residence,55,0,0,55,0.0,{},"[{""count"": 11, ""sqft"": 710}, {""count"": 9, ""sqft"": 775}, {""count"": 7, ""sqft"": 742}, {""count"": 5, ""sqft"": 667}, {""count"": 4, ""sqft"": 1054}, {""count"": 3, ""sqft"": 678}, {""count"": 2, ""sqft"": 753}, {""count"": 2, ""sqft"": 1001}]"
dairy_farm_residences,6,0,0,6,0.0,{},"[{""count"": 2, ""sqft"": 624}, {""count"": 2, ""sqft"": 710}, {""count"": 1, ""sqft"": 721}, {""count"": 1, ""sqft"": 936}]"
eco_sanctuary,182,0,0,182,0.0,{},"[{""count"": 42, ""sqft"": 667}, {""count"": 22, ""sqft"": 990}, {""count"": 21, ""sqft"": 699}, {""count"": 17, ""sqft"": 775}, {""count"": 16, ""sqft"": 731}, {""count"": 13, ""sqft"": 979}, {""count"": 9, ""sqft"": 505}, {""count"": 8, ""sqft"": 753}]"
