project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
daintree_residence,Jan2024,742,2060,1530000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Jan2024,742,2086,1550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Jan2024,753,2057,1550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Jan2024,775,2025,1570000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Feb2024,1054,2166,2285000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Mar2024,775,2096,1625000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Mar2024,1054,2076,2190000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Apr2024,1054,2199,2320000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Jun2024,710,2041,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Jun2024,710,2083,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Jul2024,775,2064,1600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Aug2024,678,2027,1375000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Aug2024,742,2077,1543000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Aug2024,775,2109,1635000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
daintree_residence,Sep2024,775,2154,1670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
