project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
eight_riversuites,Jul2017,441,1631,720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,441,1581,698000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,441,1604,708000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,441,1631,720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,441,1676,740000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,699,1529,1070000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,2820,709,2000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,2820,744,2100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Aug2017,3003,715,2150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Sep2017,441,1626,718000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Sep2017,441,1642,725000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Sep2017,979,1388,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Sep2017,3003,715,2150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Oct2017,441,1547,683000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Oct2017,441,1602,707000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Oct2017,441,1645,726000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Oct2017,441,1649,728000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Nov2017,441,1518,670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Nov2017,441,1626,718000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Nov2017,441,1744,770000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Nov2017,699,1429,1000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Dec2017,441,1552,685000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Dec2017,441,1604,708000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Dec2017,441,1613,712000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Dec2017,699,1429,1000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Dec2017,699,1540,1078000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Jan2018,441,1586,700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Jan2018,441,1665,735000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Jan2018,699,1386,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Jan2018,1076,1300,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Feb2018,441,1676,740000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Feb2018,699,1486,1040000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Feb2018,839,1476,1240000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Feb2018,936,1344,1258888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Mar2018,441,1651,729000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Mar2018,699,1429,999900,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Mar2018,699,1472,1030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Mar2018,807,1486,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Mar2018,979,1408,1380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Mar2018,1194,1314,1570000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,441,1615,713000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,441,1672,738000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,441,1683,743000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,441,1710,755000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,1076,1226,1320000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,979,1388,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,Apr2018,1194,1213,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,May2018,441,1654,730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,May2018,441,1683,743000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,May2018,441,1722,760000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,May2018,699,1393,975000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
eight_riversuites,May2018,699,1486,1040000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
