project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
gem_residences,Jul2024,570,1928,1100000,unmapped,,,,2b1b (2b/1ba),570,0,exact_area,medium,Rejected 2b1b mapping for sub-600 sqft transaction.,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1 at 570 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Jul2024,1248,1906,2380000,matched,4b3b,4,3,4b3b (4b/3ba),1249,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE D1 at 1249 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Aug2024,592,1944,1151000,unmapped,,,,2b1b (2b/1ba),592,0,exact_area,medium,Rejected 2b1b mapping for sub-600 sqft transaction.,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B2 at 592 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Aug2024,678,1900,1288888,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Sep2024,678,1973,1338000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Sep2024,678,2020,1370000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Sep2024,1248,2082,2600000,matched,4b3b,4,3,4b3b (4b/3ba),1249,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE D1 at 1249 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Oct2024,592,1993,1180000,unmapped,,,,2b1b (2b/1ba),592,0,exact_area,medium,Rejected 2b1b mapping for sub-600 sqft transaction.,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B2 at 592 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Nov2024,678,1917,1300000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
gem_residences,Nov2024,678,1946,1320000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Gem Residences/Gem Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
