project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
hillsta,Feb2017,753,1088,820000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Apr2017,570,1064,607050,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2017,570,1104,630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2017,3369,819,2760000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Aug2017,538,1040,560000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Aug2017,1205,970,1170000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Sep2017,527,1128,595000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Sep2017,570,1048,598000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Sep2017,527,1137,600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Sep2017,570,1113,635000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Sep2017,3358,863,2900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Nov2017,570,1113,635000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Nov2017,764,1099,840000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Nov2017,1205,1078,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Dec2017,527,1175,620000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Dec2017,936,969,908000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jan2018,635,1165,740000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Feb2018,570,1162,663000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Feb2018,538,1235,665000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Feb2018,570,1174,670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Feb2018,3369,781,2631500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Feb2018,3369,786,2648170,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2018,538,1142,615000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2018,570,1144,653000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2018,570,1170,668000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2018,3369,766,2582670,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Apr2018,570,1190,679000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Apr2018,861,1103,950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Apr2018,1205,1053,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,May2018,570,1144,653000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,May2018,635,1149,730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,May2018,753,1128,850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,May2018,3369,782,2636500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,May2018,3369,797,2688500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2018,527,1228,648000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2018,624,1145,715000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2018,990,1060,1050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2018,3358,794,2666887,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2018,3358,805,2703500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Sep2018,753,1128,850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Oct2018,861,1138,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Dec2018,753,1112,838000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jan2019,570,1153,658000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2019,570,1148,655000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2019,3229,829,2680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,May2019,635,1055,670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2019,527,1217,642000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jun2019,635,1129,717500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Oct2019,527,1175,620000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Nov2019,861,981,845000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Nov2019,1205,1036,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Dec2019,624,1089,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jan2020,570,1104,630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2020,538,1133,610000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Mar2020,1205,1119,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jul2020,581,1040,605000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillsta,Jul2020,538,1170,630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
