project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
hillview_peak,Apr2020,548,1220,670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Aug2020,1248,1361,1700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Sep2020,775,1274,988000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Sep2020,828,1351,1120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Oct2020,527,1300,686000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Dec2020,548,1275,700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jan2021,559,1259,705000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jan2021,527,1440,760000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jan2021,828,1327,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jan2021,1097,1329,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jan2021,1571,1097,1725000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Feb2021,850,1270,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Mar2021,516,1335,690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Mar2021,656,1165,765000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Mar2021,828,1266,1050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Mar2021,828,1303,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Mar2021,828,1423,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Apr2021,785,1291,1015000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,May2021,516,1306,675000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,May2021,548,1238,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,May2021,785,1291,1015000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,May2021,1097,1320,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jun2021,516,1345,695000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jun2021,979,835,818000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jun2021,828,1251,1036888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jun2021,775,1366,1058888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jul2021,775,1316,1020000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Jul2021,828,1290,1070000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Aug2021,527,1361,718000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Aug2021,775,1290,1000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Aug2021,1399,1186,1660000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
hillview_peak,Sep2021,516,1345,695000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
