project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
j_gateway,Feb2026,473,2217,1050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Jan2026,473,2094,992000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Dec2025,742,2030,1508000,matched,2b2b,2,2,2b2b (2b/2ba),743,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB2 at 743 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Dec2025,893,2182,1950000,matched,3b2b,3,2,3b2b (3b/2ba),893,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists C1a at 893 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Nov2025,893,2216,1980000,matched,3b2b,3,2,3b2b (3b/2ba),893,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists C1a at 893 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Nov2025,893,2137,1910000,matched,3b2b,3,2,3b2b (3b/2ba),893,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists C1a at 893 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Nov2025,688,2191,1510000,matched,2b2b,2,2,2b2b (2b/2ba),689,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists B1c at 689 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Oct2025,688,2177,1500000,matched,2b2b,2,2,2b2b (2b/2ba),689,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists B1c at 689 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Oct2025,678,2211,1500000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB4a at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Sep2025,473,2164,1025000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Sep2025,678,2194,1488000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB4a at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Sep2025,688,2075,1430000,matched,2b2b,2,2,2b2b (2b/2ba),689,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists B1c at 689 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Sep2025,947,2005,1900000,matched,3b2b,3,2,3b2b (3b/2ba),947,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists C2a at 947 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Aug2025,602,2305,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Aug2025,678,2200,1492000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB4a at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Aug2025,742,1922,1428000,matched,2b2b,2,2,2b2b (2b/2ba),743,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB2 at 743 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Jul2025,505,1972,998000,matched,1b1b,1,1,1b1b (1b/1ba),506,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SA3 at 506 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Jul2025,1162,1935,2250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Jun2025,688,2191,1510000,matched,2b2b,2,2,2b2b (2b/2ba),689,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists B1c at 689 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Jun2025,678,2035,1380000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB4a at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Apr2025,947,2005,1900000,matched,3b2b,3,2,3b2b (3b/2ba),947,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists C2a at 947 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Apr2025,1205,1857,2238888,matched,4b3b,4,3,4b3b (4b/3ba),1206,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists D1c at 1206 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Mar2025,678,2167,1470000,matched,2b2b,2,2,2b2b (2b/2ba),678,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB4a at 678 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Mar2025,505,1996,1010000,matched,1b1b,1,1,1b1b (1b/1ba),506,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SA3 at 506 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Mar2025,581,1668,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Mar2025,742,2019,1500000,matched,2b2b,2,2,2b2b (2b/2ba),743,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SB2 at 743 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Mar2025,495,2070,1025000,matched,1b1b,1,1,1b1b (1b/1ba),495,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SA1 at 495 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Feb2025,473,2022,958000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
j_gateway,Feb2025,1205,1957,2360000,matched,4b3b,4,3,4b3b (4b/3ba),1206,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists D1c at 1206 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
j_gateway,Feb2025,505,2035,1030000,matched,1b1b,1,1,1b1b (1b/1ba),506,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/J Gateway/J Gateway Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists SA3 at 506 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
