project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
kent_ridge_hill,Jan2026,775,2096,1625000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BS3 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Jan2026,484,1971,955000,matched,1b1b,1,1,1b1b (1b/1ba),484,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2-P at 484 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Dec2025,473,1938,918000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
kent_ridge_hill,Dec2025,1076,1940,2088888,matched,3b3b,3,3,3b3b (3b/3ba),1076,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE CP2 at 1076 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Dec2025,775,2038,1580000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BS3 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Dec2025,775,1929,1495000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BS3 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Nov2025,1076,2011,2165000,matched,3b3b,3,3,3b3b (3b/3ba),1076,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE CP2 at 1076 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Nov2025,473,2003,948888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
kent_ridge_hill,Nov2025,775,2038,1580000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BS3 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Nov2025,785,1970,1548000,matched,2b2b,2,2,2b2b (2b/2ba),786,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BP2-P at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Nov2025,775,2058,1595000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BS3 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Nov2025,602,1609,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
kent_ridge_hill,Nov2025,484,1940,940000,matched,1b1b,1,1,1b1b (1b/1ba),484,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2-P at 484 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Oct2025,602,1824,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
kent_ridge_hill,Oct2025,775,2077,1610000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE BS3 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
kent_ridge_hill,Oct2025,742,2046,1520000,matched,2b2b,2,2,2b2b (2b/2ba),743,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Kent Ridge Hill Residences/Kent Ridge Hill Residences Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1-H at 743 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
