project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
lakefront,Jan2026,1022,1739,1778888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2025,1237,1171,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2025,775,1761,1365000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2025,1001,1753,1755000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2025,1054,1611,1700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2025,990,1640,1625000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2025,1001,1747,1748888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2025,721,1816,1310000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2025,1065,1745,1860000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2025,1011,1729,1750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2025,753,1672,1260000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2025,1420,1724,2450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2025,990,1679,1662800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2025,1001,1648,1650000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2025,1022,1784,1825000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2025,1216,1783,2168888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2025,2098,1572,3300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2025,721,1802,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2025,505,1632,826000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2025,484,1796,870000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2024,1216,1594,1940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2024,1216,1609,1958000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2024,1001,1688,1690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2024,495,1692,838000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2024,710,1351,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2024,484,1694,820888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2024,505,1650,835000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2024,1130,1309,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2024,1033,1722,1780000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2024,1001,1681,1683000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2024,1001,1698,1700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,May2024,721,1754,1265000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2024,495,1676,830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2024,1033,1649,1705000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2024,1022,1648,1685800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2024,1011,1630,1650000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2024,775,1636,1268000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2024,1001,1676,1678000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2024,721,1580,1140000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2024,1001,1598,1600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2023,721,1619,1168000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2023,1205,1538,1855000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2023,775,1674,1298000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2023,1001,1636,1638000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2023,1011,1630,1650000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2023,505,1660,840000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2023,1216,1627,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2023,990,1514,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2023,721,1636,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2023,775,1663,1288888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2023,1001,1536,1538000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2023,1001,1558,1560000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2023,1054,1535,1620000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,May2023,990,1393,1380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2023,1001,1586,1588000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2023,990,1231,1220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2023,505,1660,840000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2023,1259,1389,1750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2023,990,1320,1308000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2022,990,1346,1333000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2022,1205,1235,1490000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2022,775,1470,1140000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2022,764,1322,1011000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2022,764,1544,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2022,990,1433,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2022,990,1312,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2022,1001,1488,1490000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2022,990,1433,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2022,1065,1121,1195000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2022,775,1561,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2022,753,1512,1140000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2022,1054,1393,1470000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2022,1001,1391,1393000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,May2022,1119,1107,1240000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,May2022,1001,1386,1388000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,May2022,721,1573,1135000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2022,1054,1353,1428000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Apr2022,1065,1482,1580000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2022,1001,1368,1370000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2022,505,1423,720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2022,764,1489,1138000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Mar2022,505,1458,738000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2022,592,1309,775000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Feb2022,990,1262,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2022,2098,1009,2118000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2022,1044,1369,1430000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jan2022,721,1622,1170000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,1420,1372,1950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,505,1403,710000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,602,1247,752000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,1054,1279,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,495,1393,690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,1065,1459,1555000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,505,1442,730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Dec2021,484,1403,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2021,495,1363,675000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2021,1022,1417,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2021,990,1242,1230000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Nov2021,1205,1244,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2021,1022,1300,1330000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2021,1001,1396,1398000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Oct2021,775,1548,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2021,2174,965,2100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2021,1001,1388,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Sep2021,1216,1248,1518000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2021,495,1373,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2021,1937,1051,2038000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Aug2021,495,1423,705000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jul2021,1216,1241,1510000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2021,1001,1348,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2021,1399,1414,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,Jun2021,721,1573,1135000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
lakefront,May2021,1410,1262,1780000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
