project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
lakegrande,Feb2026,516,1519,785000,matched,2b1b,2,1,2b1b (2b/1ba),517,1,nearest_1sqft,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-FBTzPtnGAEEsNVQGZ7dqee,"Direct 99.co sale listing snippet shows 2 Beds, 1 Bath, 517 sqft."
lakegrande,Feb2026,818,1850,1513888,matched,2b2b,2,2,2b2b (2b/2ba),818,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-GsAGr4gdbQvabXDFoh2pKQ,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 818 sqft."
lakegrande,Feb2026,613,2078,1275000,matched,2b1b,2,1,2b1b (2b/1ba),614,1,nearest_1sqft,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/YTYDkuJdgRYTZvgbBgLcf9,"Direct 99.co sale listing snippet shows 2 Beds, 1 Bath, 614 sqft."
lakegrande,Jan2026,775,1845,1430000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-eG7x3oueDX25e2MqKpgTvg,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 775 sqft."
lakegrande,Jan2026,409,1992,815000,matched,studio1b,0,1,studio1b (0b/1ba),409,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-FueZ7Pc5TjMScarYdJJui7,"Direct 99.co sale listing snippet shows studio, 1 Bath, 409 sqft."
lakegrande,Jan2026,775,1865,1446000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-eG7x3oueDX25e2MqKpgTvg,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 775 sqft."
lakegrande,Jan2026,861,1892,1630000,matched,2b2b,2,2,2b2b (2b/2ba),861,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-frPa6VYz6pQHDT6tYzEMcx,"Direct 99.co sale listing snippet shows 2 Beds, 2 Baths, 861 sqft."
lakegrande,Jan2026,624,1761,1100000,matched,2b1b,2,1,2b1b (2b/1ba),624,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-Bkgd8DL9rBnQx6vwddWm5k,"Direct 99.co sale listing snippet shows 2 Beds, 1 Bath, 624 sqft."
lakegrande,Jan2026,904,1923,1739000,matched,3b2b,3,2,3b2b (3b/2ba),904,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-HbzY8PZF59oWxMm4YymJgA,"Direct 99.co sale listing snippet shows 3 Beds, 2 Baths, 904 sqft."
lakegrande,Dec2025,721,1885,1360000,matched,2b1b,2,1,2b1b (2b/1ba),721,0,exact_area,high,,sale_listing_snippet,https://www.99.co/singapore/sale/property/lake-grande-condo-bP4zmSZV9NDLwceygZwgGr,"Direct 99.co sale listing snippet shows 2 Beds, 1 Bath, 721 sqft."
