project_slug,reference_area_sqft,catalog_status,layout_options,resolved_layout,bedrooms,bathrooms,best_confidence,evidence_count,evidence_kinds,evidence_urls,evidence_notes
artra,410,resolved,4b3b (4b/3ba),4b3b,4,3,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE D at 410 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,583,resolved,5b4b (5b/4ba),5b4b,5,4,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE E at 583 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,786,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 786 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
artra,829,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Artra/Artra @ Alexandra View Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
clement_canopy,1141,resolved,5b4b (5b/4ba),5b4b,5,4,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Clement Canopy/Clement Canopy Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE E at 1141 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
commonwealth_towers,441,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Commonwealth Towers/Commonwealth Towers Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists Type (1)a at 441 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
commonwealth_towers,452,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Commonwealth Towers/Commonwealth Towers Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists Type (1)d at 452 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
commonwealth_towers,463,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Commonwealth Towers/Commonwealth Towers Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists Type (1)g at 463 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
commonwealth_towers,474,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Commonwealth Towers/Commonwealth Towers Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists Type (1)c at 474 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
commonwealth_towers,484,resolved,1b1b (1b/1ba),1b1b,1,1,medium,1,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Commonwealth Towers/Commonwealth Towers Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists Type (1)e at 484 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
