project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
margaret_ville,Jan2026,656,2025,1330000,matched,2b2b,2,2,2b2b (2b/2ba),657,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1 at 657 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Jan2026,462,2160,1000000,matched,1b1b,1,1,1b1b (1b/1ba),463,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 463 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Dec2025,818,2322,1900000,matched,2b2b,2,2,2b2b (2b/2ba),818,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B2-R at 818 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Dec2025,914,2459,2250000,matched,3b2b,3,2,3b2b (3b/2ba),915,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C1 at 915 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Nov2025,1184,2195,2600000,matched,4b3b,4,3,4b3b (4b/3ba),1184,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE D1 at 1184 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Oct2025,1463,1981,2900000,matched,4b4b,4,4,4b4b (4b/4ba),1464,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE D1-R at 1464 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Oct2025,968,2425,2350000,matched,3b2b,3,2,3b2b (3b/2ba),969,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C2 at 969 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Sep2025,828,2193,1818000,matched,2b2b,2,2,2b2b (2b/2ba),829,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 829 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Sep2025,914,2369,2168000,matched,3b2b,3,2,3b2b (3b/2ba),915,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C1 at 915 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Aug2025,527,2275,1200000,matched,1b1b,1,1,1b1b (1b/1ba),527,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 527 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Aug2025,914,2359,2158880,matched,3b2b,3,2,3b2b (3b/2ba),915,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C1 at 915 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Aug2025,527,2104,1110000,matched,1b1b,1,1,1b1b (1b/1ba),527,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2 at 527 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
margaret_ville,Jul2025,699,2258,1580000,matched,2b2b,2,2,2b2b (2b/2ba),700,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Margaret Ville/Margaret Ville Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B2 at 700 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
