project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
midwood,Apr2024,688,1987,1368888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Apr2024,893,1902,1700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,May2024,688,1988,1370000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,May2024,699,2000,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,May2024,893,1992,1780000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,May2024,990,1908,1890000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Jun2024,688,1916,1320000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Jun2024,775,1945,1508000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Jul2024,699,2000,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Aug2024,484,1938,938888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Aug2024,688,1981,1365000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Aug2024,699,1958,1370000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Sep2024,484,1775,860000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Oct2024,484,1651,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Oct2024,484,1713,830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Oct2024,775,1941,1505000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Dec2024,548,1912,1050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Jan2025,699,2027,1418888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Feb2025,484,1870,906000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Feb2025,785,2078,1632888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Feb2025,990,1898,1880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Feb2025,1248,1922,2400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Mar2025,484,1896,918666,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Mar2025,635,1905,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
midwood,Mar2025,688,1981,1365000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
