project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
parc_clematis,Feb2026,968,2116,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Feb2026,721,2229,1608000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Feb2026,721,2290,1652000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jan2026,1496,2399,3590000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jan2026,904,2543,2300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jan2026,721,2129,1535888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jan2026,452,2068,935000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,1076,2489,2680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,1496,2366,3540000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,904,2442,2208000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,742,2302,1710000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,452,2001,905000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,914,2481,2270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,1291,2399,3100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Dec2025,914,2261,2068888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Nov2025,452,2035,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Nov2025,1711,2138,3660000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Nov2025,452,2063,933000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,452,1946,880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,710,2139,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,452,2079,940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,452,2035,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,721,2194,1582500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,1711,2154,3688000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,914,2388,2185000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,968,2178,2110000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,516,1896,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,914,2295,2100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Oct2025,861,2485,2140000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Sep2025,914,2459,2250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Sep2025,968,2023,1960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Sep2025,505,1828,925000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Sep2025,505,1956,990000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Sep2025,710,2174,1545000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Sep2025,452,2010,908888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,721,2260,1630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,452,2039,922000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,721,2204,1590000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,1076,2618,2818000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,968,2043,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,904,2399,2170000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,893,2272,2030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,452,1990,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,1044,2518,2630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Aug2025,1496,2339,3500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,742,2275,1690000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,452,2046,925000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,452,2090,945000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,1044,2575,2688888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,710,2153,1530000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,1237,2294,2840000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jul2025,688,2003,1380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,505,1996,1010000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,882,2214,1955000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,1463,2288,3350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,505,1980,1002000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,990,1999,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,452,1990,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,1044,2490,2600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Jun2025,731,1994,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,May2025,688,2051,1413000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,May2025,1054,2132,2250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,May2025,893,2210,1975000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,May2025,452,1946,880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,May2025,968,2147,2080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,May2025,710,2164,1538000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,452,2046,925000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,452,1924,870000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,688,2040,1405888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,452,1990,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,968,2155,2088000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,914,2164,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,721,2066,1490000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,721,2190,1580000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,861,2218,1910000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Apr2025,452,2068,935000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,688,2003,1380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,1496,2071,3100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,990,2028,2008888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,721,2022,1458888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,1044,2394,2500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,968,2074,2010000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,688,2039,1405000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,516,1906,985000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Mar2025,688,2036,1402988,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
parc_clematis,Feb2025,1044,2156,2251688,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
