project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
queens_peak,Feb2026,1506,2309,3480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Jan2026,839,2404,2019000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Jan2026,1001,2312,2315000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Jan2026,624,2139,1336000,matched,2b2b,2,2,2b2b (2b/2ba),624,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1a at 624 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Jan2026,430,2201,948000,matched,1b1b,1,1,1b1b (1b/1ba),431,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 431 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Jan2026,775,2064,1600000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B2 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Dec2025,839,2274,1910000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Dec2025,441,2220,980000,matched,1b1b,1,1,1b1b (1b/1ba),441,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2a at 441 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Dec2025,430,2218,955000,matched,1b1b,1,1,1b1b (1b/1ba),431,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 431 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Nov2025,850,2338,1988888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Oct2025,430,2252,970000,matched,1b1b,1,1,1b1b (1b/1ba),431,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 431 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Sep2025,850,2280,1938888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Sep2025,807,2328,1880000,matched,2b2b,2,2,2b2b (2b/2ba),807,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 807 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Sep2025,861,2281,1965000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Sep2025,430,2201,948000,matched,1b1b,1,1,1b1b (1b/1ba),431,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 431 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Sep2025,850,2327,1978888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Sep2025,441,2193,968000,matched,1b1b,1,1,1b1b (1b/1ba),441,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2a at 441 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Sep2025,1506,2296,3460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Sep2025,430,2248,968000,matched,1b1b,1,1,1b1b (1b/1ba),431,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 431 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Aug2025,861,2252,1940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Aug2025,441,2231,985000,matched,1b1b,1,1,1b1b (1b/1ba),441,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2a at 441 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Aug2025,484,2184,1058000,matched,1b1b,1,1,1b1b (1b/1ba),484,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE AS1 at 484 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Jul2025,850,2210,1880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Jul2025,775,2109,1635000,matched,2b2b,2,2,2b2b (2b/2ba),775,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B2 at 775 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Jul2025,850,2281,1940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Jun2025,441,2193,968000,matched,1b1b,1,1,1b1b (1b/1ba),441,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2a at 441 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Jun2025,495,2288,1133000,matched,1b1b,1,1,1b1b (1b/1ba),495,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE AS2 at 495 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
queens_peak,Jun2025,850,2210,1880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
queens_peak,Jun2025,947,2021,1915000,matched,3b2b,3,2,3b2b (3b/2ba),947,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Queens Peak/Queens Peak Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C1 at 947 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
