project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
seahill,Feb2026,548,1539,845000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Feb2026,861,1741,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Dec2025,495,1656,820000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Dec2025,667,1543,1030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Nov2025,688,1625,1120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Oct2025,936,1655,1550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Sep2025,548,1499,823000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Aug2025,861,1588,1368000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Aug2025,505,1601,810000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Aug2025,861,1695,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Jun2025,861,1707,1470000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,May2025,1130,1734,1960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,May2025,624,1517,947500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Apr2025,861,1532,1320000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Apr2025,710,1689,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Apr2025,861,1660,1430000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Mar2025,495,1625,805000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Mar2025,1044,1723,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Mar2025,516,1548,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Mar2025,495,1575,780000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Feb2025,785,1628,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Feb2025,785,1435,1128000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Feb2025,785,1508,1185000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Jan2025,785,1555,1221888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Nov2024,861,1553,1338000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Oct2024,1130,1689,1910000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Oct2024,710,1660,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Oct2024,1044,1676,1750000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Sep2024,667,1543,1030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Sep2024,861,1712,1475000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Sep2024,667,1483,990000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Sep2024,688,1480,1020000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Aug2024,505,1640,830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Aug2024,861,1550,1335000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Jun2024,710,1520,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,May2024,516,1548,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,May2024,861,1625,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,May2024,505,1616,818000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Apr2024,505,1567,792888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Apr2024,936,1601,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Mar2024,495,1627,806000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
seahill,Feb2024,979,1419,1390000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
