project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
skysuites_anson,Jan2026,1011,2429,2458000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Dec2025,398,2372,945000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Nov2025,1011,2615,2646803,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Nov2025,699,2212,1548000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Nov2025,667,2247,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Oct2025,699,1999,1399000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Oct2025,699,2286,1600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Sep2025,667,2097,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Sep2025,699,2172,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Sep2025,667,2217,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Aug2025,699,2143,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Aug2025,398,2460,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Aug2025,667,2217,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jul2025,667,2307,1540000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jul2025,398,2561,1020000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jun2025,699,2172,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jun2025,699,2115,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,May2025,398,2335,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Apr2025,365,2289,838000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Mar2025,1011,2490,2520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Mar2025,398,2259,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Mar2025,398,2335,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Feb2025,699,2143,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jan2025,365,2289,838000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Dec2024,699,2229,1560000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Dec2024,699,2085,1459000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Nov2024,667,2097,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Nov2024,398,2267,902888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Aug2024,699,2172,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Aug2024,365,2273,832000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jul2024,699,2301,1610000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,May2024,365,2322,850000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Apr2024,365,2418,885000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Apr2024,699,2086,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Mar2024,398,2310,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Feb2024,699,2143,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Feb2024,667,2232,1490000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Feb2024,667,2390,1595000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jan2024,699,2165,1515000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jan2024,699,2086,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Jan2024,699,2301,1610000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Dec2023,365,2604,953000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
skysuites_anson,Dec2023,365,2371,868000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
