project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
sol_acres,Dec2020,613,1043,640000,matched,2b2b,2,2,2b2b (2b/2ba),614,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1 at 614 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Dec2020,731,956,700000,matched,2b2b,2,2,2b2b (2b/2ba),732,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 732 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jan2021,495,1050,520000,matched,1b1b,1,1,1b1b (1b/1ba),495,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 495 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jan2021,1097,1001,1100000,matched,3b3b,3,3,3b3b (3b/3ba),1098,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C6P at 1098 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Feb2021,495,1159,574000,matched,1b1b,1,1,1b1b (1b/1ba),495,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 495 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Feb2021,731,1017,745000,matched,2b2b,2,2,2b2b (2b/2ba),732,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 732 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Mar2021,796,901,718000,matched,2b2b,2,2,2b2b (2b/2ba),797,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3P at 797 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Apr2021,871,997,870000,matched,2b2b,2,2,2b2b (2b/2ba),872,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B5 at 872 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,May2021,1044,1024,1070000,matched,3b3b,3,3,3b3b (3b/3ba),1044,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE C6 at 1044 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jun2021,570,1051,600000,matched,1b1b,1,1,1b1b (1b/1ba),570,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A2P at 570 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jun2021,1184,979,1160000,matched,4b3b,4,3,4b3b (4b/3ba),1184,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE D2P at 1184 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jul2021,495,1130,560000,matched,1b1b,1,1,1b1b (1b/1ba),495,0,exact_area,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A1 at 495 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jul2021,613,1043,640000,matched,2b2b,2,2,2b2b (2b/2ba),614,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1 at 614 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
sol_acres,Jul2021,731,1117,818000,matched,2b2b,2,2,2b2b (2b/2ba),732,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/Sol Acres/Sol Acres (EC) Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3 at 732 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
