project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
stirling_residences,Feb2026,635,2361,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Feb2026,505,2280,1153888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Feb2026,1054,2711,2860000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Feb2026,635,2217,1408000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Jan2026,678,2602,1765000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Jan2026,656,2299,1510000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Jan2026,1054,2588,2730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Jan2026,635,2229,1416000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Jan2026,441,2345,1035000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Jan2026,882,2673,2360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,441,2374,1048000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,624,2314,1445000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,635,2393,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,624,2218,1385000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,635,2363,1500888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,505,2332,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,624,2383,1488000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,1054,2540,2680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,624,2402,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,441,2265,1000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,505,2381,1205000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Dec2025,688,2445,1685000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,505,2255,1141000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,656,2235,1468000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,635,2265,1439000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,882,2435,2150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,505,2322,1175000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,505,2332,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,441,2447,1080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,688,2395,1650000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,979,2460,2410000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,882,1971,1740000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Nov2025,656,2215,1455000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,893,2585,2310000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,688,2466,1699000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,785,2481,1950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,505,1996,1010000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,1054,2656,2802000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,979,2475,2425000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,678,2447,1660000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,882,2583,2280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Oct2025,1054,2426,2560000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,764,2436,1861800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,624,2370,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,1054,2561,2701800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,656,2129,1398000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,441,2322,1025000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,441,2322,1025000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,678,2696,1828888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,656,2261,1485000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
stirling_residences,Sep2025,904,2117,1915000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
