project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
the_lakeshore,Mar2017,861,1120,965000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2017,947,1039,985000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2017,1108,1010,1120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2017,1184,961,1138000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2017,1162,1023,1190000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2017,1184,952,1128000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2017,1108,1048,1162000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2017,1151,1067,1230000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2017,925,1040,963000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2017,1140,1004,1146000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2017,1184,1037,1228000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2017,1291,1006,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jul2017,1173,1052,1235000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Aug2017,1270,858,1090000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Aug2017,1140,964,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Aug2017,1162,1032,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Sep2017,925,1015,940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Sep2017,861,1099,947000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Sep2017,947,1055,1000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Sep2017,1108,992,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Sep2017,1140,1016,1160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2017,925,1047,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2017,1108,929,1030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2017,1140,981,1120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2017,1119,1080,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2017,1119,1114,1248000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Nov2017,861,1092,940888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Nov2017,1140,1016,1160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Nov2017,1162,1055,1227000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2017,1108,1046,1160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2017,1184,1100,1302800,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2017,1463,929,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2018,861,1114,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2018,925,1047,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2018,1108,997,1106000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2018,1140,1021,1165000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2018,925,1037,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2018,1184,1087,1288000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2018,1173,1112,1305000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2018,1463,1004,1470000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2018,861,1091,940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2018,1108,1064,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2018,1108,1073,1190000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,861,1114,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,947,1034,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,1108,1019,1130000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,1140,997,1138000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,1108,1040,1154000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,1184,1140,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2018,1926,986,1900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2018,1108,1064,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2018,1119,1080,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2018,1162,1083,1260000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2018,1173,1090,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,861,1114,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,861,1159,998888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,1140,1069,1220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,1140,1073,1225000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,1151,1074,1238000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,1173,1056,1240000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2018,1173,1097,1288000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jul2018,1140,1047,1195000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jul2018,1140,1069,1220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jul2018,1151,1107,1275000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Aug2018,1108,1077,1195000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,925,1058,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1108,1026,1138000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1108,1076,1193000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1140,1065,1216000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1108,1100,1220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1162,1075,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1108,1159,1285000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2018,1173,1150,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Nov2018,925,1078,998000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2018,1162,1092,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2018,1184,1140,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2019,1108,1073,1190000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2019,1184,1072,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2019,1184,1081,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2019,871,1055,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2019,861,1138,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2019,1173,1052,1235000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2019,861,1079,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Apr2019,1184,1123,1330000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,May2019,1162,1066,1240000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jul2019,1108,1099,1218888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Aug2019,947,1076,1020000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Aug2019,1151,1041,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Sep2019,1334,973,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2019,947,1071,1015000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Oct2019,1291,929,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2019,861,1068,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2019,947,1013,960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2019,1184,1055,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Dec2019,1184,1081,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2020,990,989,980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2020,1151,1041,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jan2020,1173,1129,1325000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2020,1108,1046,1160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Feb2020,1184,1021,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2020,1108,936,1038000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Mar2020,1108,938,1040888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jun2020,1108,947,1050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_lakeshore,Jul2020,1108,965,1070000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
