project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
the_vision,Jan2026,904,1603,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Oct2025,1302,1656,2158000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Sep2025,4962,681,3380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2025,5005,703,3522500,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2025,904,1515,1370000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2025,904,1752,1585000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2025,904,1614,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2025,904,1625,1470000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jan2025,1313,1561,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jan2025,1313,1561,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Dec2024,904,1590,1438000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Nov2024,818,1650,1350000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Oct2024,904,1581,1430000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Aug2024,4962,711,3528888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Aug2024,1313,1568,2060000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Aug2024,1313,1507,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Aug2024,5005,719,3600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jul2024,1603,1621,2600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,May2024,818,1585,1297000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jan2024,1313,1591,2090000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Oct2023,1302,1554,2025000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Oct2023,1302,1689,2200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Oct2023,1313,1587,2085000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Sep2023,1313,1507,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jul2023,1302,1612,2100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jul2023,1313,1583,2080000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Apr2023,1313,1561,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Mar2023,4962,705,3500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Mar2023,1302,1536,2001000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Feb2023,1603,1576,2528000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jan2023,904,1526,1380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Dec2022,1313,1477,1940000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Dec2022,1259,1522,1918000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Dec2022,1313,1580,2075000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Nov2022,1313,1492,1960000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Oct2022,1302,1535,2000000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2022,904,1504,1360000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2022,1313,1515,1990000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,Jun2022,818,1503,1230000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,May2022,1313,1637,2150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,May2022,904,1592,1440000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,May2022,1302,1520,1980000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_vision,May2022,818,1405,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
