project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
tree_house,Feb2017,1410,1056,1490000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Mar2017,1151,1007,1160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Apr2017,807,976,788000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Apr2017,1151,1024,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jun2017,1248,1001,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jul2017,796,1004,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Aug2017,1151,1007,1160000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Sep2017,1227,951,1168000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Oct2017,1151,1018,1173000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Oct2017,1560,909,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Oct2017,1410,1035,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Nov2017,1227,959,1178000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Nov2017,1248,1017,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Nov2017,1248,1021,1275000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Nov2017,1410,1026,1448000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Dec2017,807,1028,830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Dec2017,1474,881,1299200,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Dec2017,1291,1037,1340000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jan2018,1248,1041,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Feb2018,1227,994,1220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Feb2018,1248,1009,1260000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Feb2018,1227,1034,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Mar2018,1248,1001,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Mar2018,1248,1001,1250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Mar2018,1550,980,1520000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Apr2018,1248,1041,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Apr2018,1367,1115,1525000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Apr2018,2023,753,1525000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,May2018,796,991,790000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,May2018,1248,1009,1260000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jun2018,742,1077,800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jun2018,796,1073,855000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jun2018,1011,1174,1188000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jun2018,1410,1035,1460000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jul2018,1151,1024,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jul2018,1151,1041,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jul2018,1162,1066,1240000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jul2018,1162,1101,1280000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
tree_house,Jul2018,1636,977,1600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
