project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
twin_vew,Feb2026,904,1902,1720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Feb2026,484,1713,830000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Jan2026,818,1833,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Dec2025,1377,1880,2590888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Nov2025,1517,1930,2930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Nov2025,818,1752,1433333,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Nov2025,1065,2008,2140000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Nov2025,484,1699,823000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Nov2025,1054,1867,1970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Oct2025,1054,1886,1990000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Oct2025,731,1926,1410000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Sep2025,1140,1950,2225000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Sep2025,818,1798,1470888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Sep2025,1065,1994,2125000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
twin_vew,Aug2025,1248,1906,2380000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
