project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
village_pasir_panjang,Sep2025,1108,1631,1808888,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Mar2025,1011,1858,1880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Dec2024,1560,1300,2030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Oct2024,828,1785,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2024,1485,1282,1905000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2024,1560,1323,2065200,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2024,839,1786,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,May2024,839,1768,1485000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Mar2024,1851,1215,2250000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jan2024,2012,1192,2400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Dec2023,1420,1442,2050000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Oct2023,1076,1467,1580000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Aug2023,1119,1668,1868000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jul2023,828,1658,1375000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2023,1022,1760,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,May2023,839,1768,1485000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,May2023,1011,1749,1770000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,May2023,1011,1717,1738000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Feb2023,1087,1526,1660000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Dec2022,1474,1510,2228000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Sep2022,1076,1374,1480000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jan2022,1743,1393,2430000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Sep2021,1560,1422,2220000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Aug2021,1097,1603,1760000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jul2021,818,1552,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2021,1539,1344,2070200,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,May2021,1076,1347,1450000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Mar2021,828,1459,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jan2021,839,1548,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Dec2020,1097,1502,1650000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Dec2020,1539,1266,1950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Sep2020,2023,1062,2150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jul2020,828,1423,1180000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Sep2019,839,1512,1270000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2019,1087,1379,1500000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,Jun2018,1033,1499,1550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
village_pasir_panjang,May2018,1033,1374,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
