project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
viva_vista,Nov2025,419,1715,720000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Nov2025,398,1802,718000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Oct2025,721,1372,990000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Oct2025,376,1778,670000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Sep2025,419,1662,698000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Sep2025,376,1738,655000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Aug2025,376,1871,705000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Aug2025,807,1424,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Aug2025,742,1507,1120000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2025,376,1804,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jun2025,699,1414,990000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,May2025,355,1914,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Apr2025,344,1907,657000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Apr2025,387,1878,728000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jan2025,387,1698,658000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Dec2024,721,1525,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Nov2024,462,1670,773000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2024,387,1883,730000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Apr2024,376,1858,700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jan2024,322,2121,685000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Aug2023,387,1806,700000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Dec2022,731,1502,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Sep2022,376,1746,658000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2022,344,1910,658000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2022,387,1770,686000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jun2022,376,1680,633000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,May2022,409,1540,630000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,May2022,796,1161,925000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Feb2022,484,1403,680000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jan2022,333,1798,600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Dec2021,376,1658,625000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Oct2021,387,1695,657000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Sep2021,376,1682,634000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Aug2021,398,1611,642000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2021,376,1698,640000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2021,376,1539,580000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Apr2021,721,1261,910000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Apr2021,387,1571,609000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Mar2021,376,1560,588000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jan2021,376,1587,598000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Dec2020,785,1145,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Oct2020,419,1512,635000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Oct2020,376,1552,585000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Sep2020,398,1569,625000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2020,387,1589,616000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2019,376,1486,560000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2019,376,1592,600000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jul2019,387,1612,625000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Jun2019,322,1703,550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,May2019,355,1604,570000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,May2019,365,1543,565000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
viva_vista,Mar2019,344,1596,550000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
