project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
whitehaven,Feb2026,1001,1798,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Nov2025,538,1913,1030000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Aug2025,1550,1064,1650000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,May2025,538,1900,1023000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jan2025,1151,1578,1818000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Nov2024,1054,1137,1200000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Sep2024,1657,1085,1800000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,May2024,635,1732,1100000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,May2024,613,1838,1128000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Apr2024,1054,1227,1295000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Mar2024,613,1740,1068000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Oct2023,538,1765,950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Aug2023,947,1594,1510000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Aug2023,538,1802,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,May2023,1054,1147,1210000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Apr2023,538,1765,950000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Feb2023,785,1679,1320000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Dec2022,775,1661,1288000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Aug2022,538,1750,942000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,May2022,538,1709,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Mar2022,538,1597,860000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Mar2022,538,1727,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Aug2021,538,1727,930000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jun2021,785,1463,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jun2021,538,1709,920000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,May2021,1151,1441,1660000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Sep2020,785,1463,1150000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Aug2019,538,1802,970000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Mar2019,1205,1559,1880000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Nov2018,904,1483,1341000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jun2018,1022,1525,1560000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jun2018,947,1478,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jan2018,538,1672,900000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
whitehaven,Jul2017,775,1677,1300000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
