date,sqft,psf,price
Mar2021,979,1405,1377000
Apr2021,495,1555,770000
Apr2021,979,1428,1398888
May2021,1140,1358,1550000
Oct2021,430,1559,671500
Oct2021,495,1520,753000
Mar2022,495,1490,738000
Mar2022,495,1498,742000
Mar2022,495,1510,748000
May2022,592,1550,918000
Jun2022,430,1579,680000
Jun2022,430,1625,700000
Jul2022,495,1447,716500
Jul2022,699,1599,1119000
Aug2022,710,1603,1138800
Aug2022,1130,1486,1680000
Aug2022,1313,1458,1915000
Sep2022,495,1514,750000
Oct2022,430,1625,700000
Oct2022,818,1508,1234000
Dec2022,495,1526,756000
Feb2023,430,1614,695000
Feb2023,699,1579,1105000
Feb2023,818,1488,1218000
Mar2023,495,1534,760000
Mar2023,699,1589,1112000
Mar2023,699,1650,1155000
Mar2023,979,1633,1600000
Apr2023,936,1653,1548000
May2023,699,1643,1150000
May2023,936,1588,1488000
May2023,936,1643,1538888
Jun2023,495,1615,800000
Jun2023,1022,1564,1600000
Jul2023,936,1688,1580888
Aug2023,699,1622,1135000
Aug2023,1313,1605,2108800
Sep2023,979,1582,1550000
Oct2023,613,1629,1000000
Oct2023,936,1651,1546888
Nov2023,613,1752,1075000
Dec2023,807,1610,1300000
Dec2023,807,1622,1310000
Dec2023,1022,1662,1700000
Jan2024,936,1633,1530000
Jan2024,936,1642,1538000
Feb2024,710,1513,1075000
Feb2024,979,1633,1600000
Mar2024,495,1555,770000
Mar2024,936,1612,1510000
Apr2024,495,1656,820000
Apr2024,613,1385,850000
Apr2024,979,1662,1628000
May2024,495,1615,800000
May2024,592,1668,988000
May2024,699,1669,1168000
May2024,818,1686,1380000
Jun2024,818,1662,1360000
Aug2024,430,1695,730000
Aug2024,710,1689,1200000
Aug2024,936,1591,1490000
Oct2024,613,1610,988000
Oct2024,882,1617,1428000
Oct2024,936,1550,1452000
Oct2024,936,1601,1500000
Oct2024,936,1644,1540000
Oct2024,979,1682,1648000
Nov2024,495,1666,825000
Nov2024,699,1672,1170000
Nov2024,979,1702,1668000
Dec2024,828,1508,1250000
Jan2025,979,1633,1600000
Jan2025,1313,1713,2250000
Mar2025,495,1575,780000
Mar2025,710,1672,1188000
Mar2025,807,1512,1220811
Mar2025,828,1508,1250000
Mar2025,936,1591,1490000
Apr2025,699,1713,1198888
Apr2025,710,1689,1200000
May2025,613,1414,868000
May2025,592,1621,960000
May2025,936,1441,1350000
May2025,882,1620,1430000
May2025,936,1623,1520000
May2025,936,1633,1530000
May2025,936,1655,1550000
Jun2025,495,1575,780000
Jun2025,699,1715,1200100
Jun2025,828,1514,1255000
Jun2025,882,1587,1401488
Jun2025,979,1633,1600000
Jun2025,979,1689,1655000
Jul2025,592,1655,980000
Jul2025,699,1643,1150000
Jul2025,1313,1736,2280000
Aug2025,495,1575,780000
Aug2025,495,1581,783000
Aug2025,495,1631,808000
Aug2025,936,1601,1500000
Sep2025,495,1625,805000
Sep2025,936,1655,1550000
Sep2025,1022,1642,1680000
Oct2025,710,1668,1185000
Oct2025,979,1658,1625000
Nov2025,592,1646,975000
Dec2025,936,1494,1400000
Dec2025,1130,1654,1870000
Jan2026,430,1579,680000
Jan2026,495,1607,796000
Feb2026,710,1689,1200000
Feb2026,1022,1652,1690000
Feb2026,1022,1662,1700000
