date,sqft,psf,price
Jan2026,656,2025,1330000
Jan2026,462,2160,1000000
Dec2025,818,2322,1900000
Dec2025,914,2459,2250000
Nov2025,1184,2195,2600000
Oct2025,1463,1981,2900000
Oct2025,968,2425,2350000
Sep2025,828,2193,1818000
Sep2025,914,2369,2168000
Aug2025,527,2275,1200000
Aug2025,914,2359,2158880
Aug2025,527,2104,1110000
Jul2025,699,2258,1580000
Jul2025,968,2219,2150000
Jul2025,1184,2212,2620000
Jun2025,968,2239,2170000
May2025,527,2043,1078000
Apr2025,828,2157,1788000
Apr2025,656,2116,1390000
Mar2025,462,2225,1030000
Mar2025,1184,2195,2600000
Mar2025,914,2240,2050000
Mar2025,656,2100,1378888
Feb2025,968,2322,2250000
Jan2025,968,2206,2138000
Jan2025,1184,2203,2608888
Jan2025,656,2132,1400000
Dec2024,656,2162,1420000
Dec2024,527,2254,1188888
Dec2024,914,2172,1988000
Nov2024,968,2276,2205000
Sep2024,656,2130,1398888
Sep2024,828,2205,1828000
Aug2024,699,2243,1570000
Aug2024,828,2201,1825000
Aug2024,656,2101,1380000
Aug2024,968,2104,2038888
Aug2024,527,2057,1085000
Aug2024,828,2195,1820000
Jun2024,828,2232,1850000
May2024,527,2123,1120000
Apr2024,914,2185,2000000
Apr2024,914,2098,1920000
Apr2024,1184,2179,2580000
Mar2024,1184,2203,2608888
Jan2024,914,1972,1805000
Jan2024,1184,2119,2510000
Dec2023,1184,2185,2588000
Dec2023,699,2229,1560000
Nov2023,1184,2136,2530000
Oct2023,968,2062,1998000
Oct2023,462,2395,1108888
Sep2023,914,2273,2080000
Sep2023,968,2157,2090000
Aug2023,527,2208,1165000
Aug2023,462,2307,1068000
Aug2023,1184,2195,2600000
Aug2023,462,2160,1000000
Jul2023,462,2257,1045000
Jun2023,968,1935,1875000
May2023,828,2241,1858000
Apr2023,527,2184,1152000
Apr2023,656,2086,1370000
Mar2023,828,2104,1743888
Mar2023,699,2251,1575000
Feb2023,699,2115,1480000
Feb2023,1184,2111,2500000
Oct2022,914,1981,1812800
Oct2022,699,2069,1448000
Oct2022,656,2007,1318000
Sep2022,656,1934,1270000
Jun2022,968,2012,1950000
Mar2022,699,2072,1450000
Mar2022,968,1940,1880000
Aug2021,462,1987,920000
Feb2021,968,1936,1876400
Jan2021,828,1838,1524194
Dec2020,527,2142,1130000
Aug2020,1184,1715,2031777
Jun2020,462,2171,1004850
Jun2020,462,2181,1009503
Jun2020,1184,1686,1996554
Jun2020,1184,1690,2001454
Jun2020,1184,1769,2094554
Jun2020,1184,1682,1991654
May2020,1184,1813,2147243
May2020,1184,1784,2113118
Apr2020,1184,1694,2006354
Apr2020,1184,1723,2040654
Apr2020,1184,1813,2147300
Mar2020,1184,1731,2050454
Mar2020,1184,1719,2035754
Mar2020,462,2153,996633
Mar2020,1184,1789,2119054
Mar2020,1184,1839,2177854
Feb2020,1184,1802,2133754
Feb2020,1184,1740,2060254
Feb2020,1184,1744,2065154
Feb2020,1184,1785,2114154
Feb2020,462,2144,992673
Feb2020,1184,1727,2045554
Feb2020,1184,1702,2016154
Feb2020,1184,1826,2163154
Feb2020,1184,1818,2153354
Jan2020,656,1987,1304721
Jan2020,462,2136,988713
Jan2020,1184,1797,2128854
Jan2020,1184,1735,2055354
Jan2020,656,1981,1300959
Jan2020,1184,1752,2074954
Dec2019,914,1784,1633005
Dec2019,656,1952,1281951
Dec2019,1184,1843,2182754
Dec2019,1184,1835,2172954
Dec2019,1184,1831,2168054
Dec2019,656,1925,1264592
Nov2019,462,2106,974806
Nov2019,828,1868,1548694
Nov2019,656,1946,1277822
Nov2019,828,1882,1560552
Nov2019,527,2153,1135926
Nov2019,828,1844,1529094
Nov2019,1184,1715,2030952
Nov2019,828,1862,1543794
Oct2019,828,1856,1538894
Oct2019,635,1898,1205424
Oct2019,828,1833,1519294
Oct2019,527,2118,1117611
Oct2019,462,2097,970886
Oct2019,656,1939,1273412
Oct2019,699,2041,1428250
Oct2019,1184,1748,2070054
Sep2019,462,2072,959126
Sep2019,828,1850,1533994
Sep2019,914,1841,1684782
Sep2019,462,2063,955206
Sep2019,914,1853,1695694
Sep2019,656,1912,1255772
Sep2019,818,1817,1486660
Sep2019,656,1899,1246952
Sep2019,828,1811,1501752
Sep2019,914,1807,1653946
Sep2019,968,1911,1852004
Sep2019,968,1883,1824172
Sep2019,775,1758,1362788
Sep2019,462,2017,933646
Sep2019,828,1821,1509494
Sep2019,914,1827,1672370
Sep2019,914,1860,1702572
Sep2019,527,2003,1056832
Sep2019,968,1898,1838872
Sep2019,828,1827,1514394
Sep2019,828,1886,1563394
Sep2019,1184,1851,2192554
Sep2019,656,1905,1251362
Sep2019,527,1995,1052422
Sep2019,527,2072,1093092
Sep2019,914,1856,1698741
Sep2019,527,2089,1101912
Sep2019,527,2080,1097502
Sep2019,1022,1639,1676388
Sep2019,462,2089,966966
Sep2019,1184,1814,2148552
Sep2019,914,1817,1663158
Sep2019,1463,1594,2334262
Sep2019,914,1832,1676976
Sep2019,462,2080,963046
Sep2019,527,2064,1088682
Sep2019,1140,1600,1826230
Sep2019,656,1919,1260182
Aug2019,527,1978,1043602
Aug2019,527,1961,1034782
Aug2019,968,1888,1829072
Aug2019,914,1776,1625722
Aug2019,914,1797,1644734
Aug2019,914,1761,1611904
Aug2019,828,1779,1475096
Aug2019,1130,1726,1951376
Aug2019,656,1892,1242542
Aug2019,462,2000,925806
Aug2019,968,1690,1637972
Aug2019,1184,1847,2187654
Jul2019,914,1812,1658552
Jul2019,968,1862,1804572
Jul2019,968,1711,1657572
Jul2019,968,1867,1809472
Jul2019,527,2105,1110732
Jul2019,968,1700,1647772
Jul2019,570,1872,1068102
Jul2019,828,1797,1489796
Jul2019,656,1843,1210594
Jul2019,656,1863,1223824
Jun2019,656,1666,1093974
Jun2019,968,1761,1706572
Jun2019,968,1736,1682072
Jun2019,914,1802,1649340
Jun2019,914,1736,1588874
Jun2019,914,1771,1621116
Jun2019,914,1756,1607298
Jun2019,462,2025,937566
Jun2019,914,1700,1556044
Jun2019,462,1991,921886
Jun2019,914,1629,1490972
Jun2019,968,1756,1701672
Jun2019,914,1741,1593480
May2019,1184,1864,2207254
May2019,914,1639,1500000
May2019,968,1695,1642872
May2019,828,1773,1470196
May2019,914,1710,1565256
May2019,968,1872,1814372
May2019,968,1857,1799672
May2019,656,1879,1233918
May2019,828,1767,1465296
May2019,968,1913,1853570
Apr2019,968,1832,1775172
Apr2019,828,1696,1406496
Apr2019,968,1746,1691872
Apr2019,828,1685,1396696
Apr2019,914,1654,1514002
Apr2019,828,1691,1401596
Apr2019,914,1649,1509396
Apr2019,914,1695,1551438
Apr2019,828,1702,1411396
Apr2019,968,1851,1793204
Apr2019,828,1726,1430996
Mar2019,914,1680,1537620
Mar2019,462,2026,938000
Mar2019,968,1716,1662472
Mar2019,462,2028,939000
Mar2019,1184,1781,2109254
Mar2019,828,1720,1426096
Mar2019,968,1741,1686972
Mar2019,914,1675,1533014
Mar2019,968,1822,1765372
Feb2019,656,1845,1211800
Feb2019,968,1817,1760472
Feb2019,656,1850,1215004
Feb2019,462,2008,929726
Feb2019,914,1746,1598086
Feb2019,968,1705,1652672
Feb2019,699,2008,1405124
Feb2019,828,1679,1391796
Feb2019,656,1857,1219414
Feb2019,914,1705,1560650
Feb2019,968,1877,1819272
Feb2019,828,1670,1384152
Feb2019,968,1827,1770272
Jan2019,828,1785,1480200
Jan2019,914,1787,1635400
Jan2019,968,1811,1755000
Jan2019,828,1655,1372196
Jan2019,828,1785,1479996
Dec2018,828,1683,1395200
Dec2018,828,1797,1490200
Nov2018,914,1678,1535500
Oct2018,527,2010,1060400
Oct2018,656,1867,1226300
Sep2018,527,2004,1057000
Sep2018,914,1717,1571100
Sep2018,656,1877,1232676
Aug2018,527,2109,1112400
Aug2018,656,1717,1128000
Aug2018,527,1858,980400
Aug2018,656,1797,1180000
Aug2018,656,1720,1130000
Jul2018,656,1756,1153500
Jul2018,462,2011,931000
Jul2018,1184,1956,2317000
Jul2018,699,2025,1417200
Jul2018,968,1793,1737700
Jul2018,527,1969,1038600
Jul2018,462,1872,866700
Jul2018,656,1816,1192500
Jul2018,828,1822,1510200
Jul2018,968,1838,1781400
Jul2018,656,1776,1166300
Jul2018,527,2154,1136400
Jul2018,914,1714,1569000
Jul2018,699,1940,1357600
Jul2018,462,1933,895000
Jul2018,914,1785,1633700
Jun2018,699,2070,1448400
Jun2018,462,2012,931500
Jun2018,914,1775,1624300
Jun2018,656,1837,1206800
Jun2018,527,1909,1007100
Jun2018,968,1905,1846400
Jun2018,699,2053,1437000
Jun2018,699,1918,1342600
Jun2018,699,1853,1297100
Jun2018,699,2018,1412200
Jun2018,699,1736,1214700
Jun2018,828,1872,1552000
Jun2018,914,1737,1589300
Jun2018,968,1813,1757100
Jun2018,656,1829,1201300
Jun2018,656,1788,1174300
Jun2018,462,1877,869200
Jun2018,462,1934,895200
Jun2018,462,1925,891200
Jun2018,699,1722,1205000
Jun2018,462,1869,865200
Jun2018,527,1963,1035400
Jun2018,968,1818,1762000
Jun2018,527,1986,1047900
Jun2018,462,1889,874700
Jun2018,699,1743,1219500
Jun2018,699,2011,1407200
Jun2018,527,2033,1072400
Jun2018,656,1714,1126000
Jun2018,699,1708,1195300
Jun2018,656,1822,1196800
Jun2018,699,1729,1209800
Jun2018,527,1971,1039900
Jun2018,462,1951,903200
Jun2018,462,1960,907200
Jun2018,699,1819,1272900
Jun2018,656,1824,1197800
Jun2018,699,1784,1248600
Jun2018,699,1925,1347200
Jun2018,699,1791,1253500
Jun2018,462,2042,945200
Jun2018,527,1856,979100
Jun2018,968,1843,1786200
Jun2018,699,1777,1243800
Jun2018,699,1996,1397200
Jun2018,699,1904,1332600
Jun2018,1184,1820,2155700
Jun2018,656,1850,1215300
Jun2018,699,1805,1263200
Jun2018,462,1942,899200
Jun2018,699,1926,1347600
Jun2018,828,1816,1505200
Jun2018,828,1808,1498900
Jun2018,828,1793,1486500
Jun2018,527,1875,989400
Jun2018,968,1964,1903400
Jun2018,968,1832,1775000
Jun2018,699,1758,1230400
Jun2018,699,1841,1288600
Jun2018,699,1956,1368700
Jun2018,656,1857,1219600
Jun2018,656,1861,1222000
Jun2018,462,2120,981500
Jun2018,699,1933,1352600
Jun2018,968,1808,1752300
Jun2018,828,1731,1435200
Jun2018,699,2068,1447000
Jun2018,527,1917,1011600
Jun2018,699,1860,1302000
Jun2018,527,2118,1117100
Jun2018,527,1926,1016100
Jun2018,699,1911,1337600
Jun2018,527,1952,1029600
Jun2018,527,1867,984900
Jun2018,1184,1812,2146100
Jun2018,462,1968,911200
Jun2018,656,1795,1178800
Jun2018,462,1977,915200
Jun2018,527,2091,1102900
Jun2018,656,1782,1170600
Jun2018,527,2050,1081400
Jun2018,527,2056,1084600
Jun2018,968,1826,1769800
Jun2018,527,1988,1048900
Jun2018,462,1886,873200
Jun2018,656,1823,1197100
Jun2018,699,2039,1427200
Jun2018,462,2016,933300
Jun2018,527,1882,992900
Jun2018,462,1875,868000
Jun2018,914,1864,1705800
Jun2018,699,1768,1237200
Jun2018,699,1976,1382600
Jun2018,527,1900,1002600
Jun2018,914,1761,1612100
Jun2018,462,2082,964000
Jun2018,527,1829,965000
Jun2018,699,1826,1277700
Jun2018,699,1812,1268000
Jun2018,699,1798,1258300
Jun2018,527,1864,983600
Jun2018,699,1770,1238900
