date,sqft,psf,price
Apr2024,688,1987,1368888
Apr2024,893,1902,1700000
May2024,688,1988,1370000
May2024,699,2000,1400000
May2024,893,1992,1780000
May2024,990,1908,1890000
Jun2024,688,1916,1320000
Jun2024,775,1945,1508000
Jul2024,699,2000,1400000
Aug2024,484,1938,938888
Aug2024,688,1981,1365000
Aug2024,699,1958,1370000
Sep2024,484,1775,860000
Oct2024,484,1651,800000
Oct2024,484,1713,830000
Oct2024,775,1941,1505000
Dec2024,548,1912,1050000
Jan2025,699,2027,1418888
Feb2025,484,1870,906000
Feb2025,785,2078,1632888
Feb2025,990,1898,1880000
Feb2025,1248,1922,2400000
Mar2025,484,1896,918666
Mar2025,635,1905,1210000
Mar2025,688,1981,1365000
Mar2025,635,2204,1400000
Apr2025,699,1958,1370000
Apr2025,785,1985,1560000
Apr2025,904,2012,1820000
Apr2025,990,1918,1900000
May2025,484,1796,870000
May2025,699,2000,1400000
Jun2025,484,1775,860000
Jun2025,484,1833,888000
Jun2025,688,1930,1330000
Jun2025,699,1926,1348000
Jun2025,1248,1986,2480000
Jul2025,484,1775,860000
Jul2025,548,1821,1000000
Jul2025,548,1912,1050000
Jul2025,688,2024,1395000
Jul2025,699,2000,1400000
Jul2025,785,1934,1520000
Jul2025,785,2023,1590000
Jul2025,904,2046,1850000
Aug2025,484,1796,870000
Aug2025,635,1960,1245000
Aug2025,699,1958,1370000
Aug2025,785,2020,1588000
Aug2025,893,1888,1687000
Aug2025,990,1898,1880000
Sep2025,484,1754,850000
Sep2025,484,1796,870000
Sep2025,484,1816,880000
Sep2025,699,1915,1340000
Oct2025,484,1816,880000
Oct2025,699,1943,1360000
Oct2025,990,1918,1900000
Oct2025,990,1933,1915000
Nov2025,484,1847,895000
Nov2025,688,2010,1385000
Nov2025,688,2014,1388000
Nov2025,688,2017,1390000
Nov2025,775,1987,1540000
Nov2025,775,2001,1550888
Dec2025,484,1775,860000
Dec2025,548,1912,1050000
Dec2025,635,1889,1200000
Dec2025,990,1918,1900000
Dec2025,990,1918,1900000
Jan2026,775,1883,1460000
Jan2026,990,1918,1900000
Feb2026,484,1665,806888
Feb2026,484,1804,873888
Feb2026,635,1952,1240000
Feb2026,688,1840,1268000
Mar2026,484,1837,890000
Mar2026,688,1887,1300000
