date,sqft,psf,price
Feb2026,968,1950,1890000
Feb2026,1194,2165,2587000
Feb2026,764,1987,1518888
Feb2026,721,2079,1500000
Feb2026,1087,1994,2168000
Feb2026,731,2073,1518000
Feb2026,1065,2111,2250000
Feb2026,516,1867,965000
Jan2026,688,1923,1325000
Jan2026,1087,2115,2300000
Jan2026,516,1776,918000
Jan2026,731,2005,1468000
Jan2026,1334,2142,2860000
Jan2026,656,2084,1369000
Jan2026,828,2135,1770000
Jan2026,775,1987,1540000
Jan2026,527,1820,960000
Jan2026,667,1962,1310000
Dec2025,914,2022,1850000
Dec2025,936,2215,2075000
Dec2025,688,1907,1313888
Dec2025,764,1975,1510000
Dec2025,1065,2156,2298000
Dec2025,527,1725,910000
Dec2025,936,2231,2090000
Dec2025,667,2090,1395000
Dec2025,527,1763,930000
Dec2025,656,1675,1100000
Dec2025,667,1895,1265000
Dec2025,731,2049,1500000
Dec2025,656,1993,1308888
Nov2025,968,1950,1890000
Nov2025,1076,2229,2400000
Nov2025,731,2158,1580000
Nov2025,656,2284,1500000
Nov2025,527,1801,950000
Nov2025,721,2038,1470000
Nov2025,904,1990,1800000
Nov2025,1334,2097,2800000
Nov2025,861,1887,1625000
Nov2025,1076,2164,2330000
Nov2025,936,2082,1950000
Oct2025,968,2095,2030000
Oct2025,947,1984,1880000
Oct2025,1313,2246,2950000
Oct2025,968,1909,1850000
Oct2025,968,1909,1850000
Oct2025,1108,1966,2180000
Oct2025,731,1926,1410000
Oct2025,656,2010,1320000
Oct2025,645,1919,1240000
Oct2025,1065,2067,2202888
Oct2025,828,2026,1680000
Oct2025,656,1979,1300000
Oct2025,1614,2093,3380000
Oct2025,635,1968,1249888
Sep2025,914,1989,1820000
Sep2025,947,2042,1935000
Sep2025,904,1946,1760000
Sep2025,796,2197,1750000
Sep2025,1313,2155,2830000
Sep2025,796,1770,1410000
Sep2025,936,2133,1998000
Sep2025,936,2176,2038000
Sep2025,914,2038,1865000
Sep2025,828,2119,1756888
Sep2025,828,2147,1780000
Aug2025,581,2030,1180000
Aug2025,656,1991,1307888
Aug2025,1097,2167,2380000
Aug2025,667,2022,1350000
Aug2025,721,2093,1510000
Aug2025,936,1976,1851000
Aug2025,968,2000,1938000
Aug2025,1065,2139,2280000
Aug2025,1313,2101,2760000
Aug2025,527,1884,994000
Aug2025,1313,2208,2900000
Aug2025,1097,2277,2500000
Aug2025,656,2116,1390000
Aug2025,656,2017,1325000
Aug2025,516,1850,956000
Aug2025,968,2031,1968000
Aug2025,2109,1720,3630000
Jul2025,516,1854,958000
Jul2025,1076,2183,2350000
Jul2025,904,2079,1880000
Jul2025,936,1975,1850000
Jul2025,914,2011,1840000
Jul2025,1087,2122,2308000
Jul2025,527,2047,1080000
Jul2025,828,2135,1770000
Jul2025,667,2037,1360000
Jul2025,1097,2202,2418000
Jul2025,1453,2049,2978000
Jul2025,527,1886,995000
Jun2025,1313,2193,2880000
Jun2025,1087,2151,2338888
Jun2025,1087,2196,2388000
Jun2025,1334,2082,2780000
Jun2025,495,1874,928000
Jun2025,667,1918,1280000
Jun2025,516,1974,1020000
Jun2025,1614,2290,3699000
Jun2025,731,2131,1560000
Jun2025,1065,2109,2248000
Jun2025,527,2009,1060000
Jun2025,764,1962,1500000
May2025,527,2369,1250000
May2025,656,1993,1308888
May2025,936,2131,1996000
May2025,731,1926,1410000
May2025,936,1975,1850000
May2025,936,2119,1985000
May2025,527,1797,948000
May2025,635,2059,1308000
May2025,1474,2020,2980000
May2025,516,1912,988000
Apr2025,914,1989,1820000
Apr2025,527,2085,1100000
Apr2025,527,1879,991500
Apr2025,957,2192,2100000
Mar2025,914,2150,1968000
Mar2025,947,2026,1920000
Mar2025,936,2229,2088000
Mar2025,516,2090,1080000
Mar2025,731,2090,1530000
Mar2025,968,1981,1920000
Mar2025,968,1961,1900000
Mar2025,1087,2161,2350000
Mar2025,656,1949,1280000
Mar2025,527,2085,1100000
Mar2025,775,1909,1480000
Feb2025,936,2176,2038000
Feb2025,1614,2167,3500000
Feb2025,656,2083,1368000
Feb2025,656,2113,1388000
Feb2025,764,2025,1548000
Feb2025,1313,2109,2770000
Feb2025,1313,2223,2920000
Jan2025,516,1722,890000
Jan2025,581,2064,1200000
Jan2025,656,2056,1350000
Jan2025,667,2127,1420000
Dec2024,914,2098,1920000
Dec2024,635,1913,1215000
Dec2024,635,2075,1318000
Dec2024,559,2054,1150000
Dec2024,1097,2175,2388888
Nov2024,635,1968,1250000
Nov2024,570,2050,1170000
Nov2024,904,2211,2000000
Nov2024,968,2157,2090000
Oct2024,645,1963,1268000
Oct2024,1614,2260,3650000
Oct2024,731,2094,1533000
Oct2024,1097,2185,2400000
Sep2024,731,2199,1610000
Sep2024,721,2119,1528888
Sep2024,731,2224,1628000
Sep2024,656,2040,1340000
Sep2024,656,2116,1390000
Sep2024,828,2198,1822500
Aug2024,527,1968,1038000
Aug2024,936,2189,2050000
Aug2024,656,2025,1330000
Jul2024,656,2078,1365000
Jul2024,516,2012,1040000
Jul2024,731,2071,1516000
Jul2024,731,2185,1600000
Jul2024,1313,2170,2850000
Jul2024,731,2185,1600000
Jul2024,936,2338,2190000
Jul2024,656,2132,1400000
Jul2024,721,2121,1530000
Jul2024,656,2110,1386000
Jul2024,775,2012,1560000
Jul2024,656,2040,1340000
Jun2024,721,2038,1470000
Jun2024,1313,2170,2850000
Jun2024,775,2103,1630000
Jun2024,721,2086,1505000
May2024,1065,2177,2320000
May2024,731,2144,1570000
May2024,1097,2205,2422000
May2024,667,2000,1335000
May2024,1334,2097,2800000
May2024,764,2001,1530000
May2024,731,2117,1550000
May2024,764,2041,1560000
May2024,635,2062,1310000
Apr2024,516,1993,1030000
Apr2024,656,2155,1415000
Apr2024,828,2171,1800000
Apr2024,495,2362,1170000
Apr2024,656,2086,1370000
Apr2024,731,2022,1480000
Mar2024,731,2169,1588000
Mar2024,721,2121,1530000
Mar2024,721,2107,1520000
Mar2024,1313,2153,2828000
Mar2024,656,2235,1468000
Mar2024,656,2056,1350000
Feb2024,947,2206,2090000
Feb2024,516,2158,1115000
Feb2024,936,2242,2100000
Feb2024,936,2295,2150000
Feb2024,731,2213,1620000
Feb2024,1313,2174,2855000
Jan2024,1011,2124,2150000
Aug2023,656,2144,1408000
May2023,775,1999,1550000
Jul2022,1087,1883,2048000
Jul2022,1087,1880,2044000
Jul2022,1087,1845,2006000
Jul2022,1087,1872,2036000
Jul2022,1087,1851,2013000
Jul2022,1087,1848,2010000
Jul2022,1087,1869,2032000
Jul2022,1087,1899,2065000
Jun2022,1087,1860,2023000
Jun2022,1087,1854,2016000
Jun2022,1087,1857,2019000
Jun2022,1087,1904,2071000
Jun2022,1087,1886,2051000
Jun2022,1087,1766,1921000
Jun2022,1087,1909,2076000
Jun2022,1087,1912,2079000
Jun2022,1087,1870,2034000
Jun2022,1087,1863,2026000
Jun2022,1108,1712,1899000
Jun2022,1087,1855,2017000
Jun2022,1087,1861,2024000
Jun2022,1087,1902,2068000
Jun2022,1248,1756,2193000
Jun2022,1087,1875,2039000
Jun2022,1087,1918,2086000
Jun2022,1087,1864,2027000
Jun2022,1087,1866,2029000
Jun2022,1087,1890,2055000
Jun2022,1087,1858,2021000
May2022,1076,1892,2037000
May2022,1087,1910,2077000
May2022,1076,1856,1998000
May2022,1076,1861,2004000
May2022,1087,1922,2090000
May2022,850,1938,1648000
May2022,1087,1881,2045000
May2022,850,1947,1656000
May2022,1076,1880,2024000
May2022,1087,1905,2072000
May2022,1313,1856,2438000
May2022,1087,1893,2059000
May2022,1087,1867,2030000
May2022,904,1835,1660000
May2022,1076,1871,2014000
May2022,1313,1808,2375000
May2022,1087,1884,2049000
May2022,850,1953,1661000
May2022,1076,1910,2056000
May2022,1087,1867,2030000
May2022,1076,1885,2030000
May2022,1087,1910,2077000
May2022,1087,1903,2069000
May2022,850,1934,1645000
May2022,1076,1907,2053000
May2022,1313,1850,2430000
May2022,1076,1873,2017000
May2022,1087,1891,2056000
May2022,1087,1916,2083000
May2022,1087,1897,2063000
May2022,1076,1868,2011000
May2022,1227,1765,2167000
May2022,1334,1840,2457000
May2022,1076,1883,2027000
May2022,850,1896,1613000
May2022,1076,1897,2042000
May2022,1237,1765,2186000
May2022,850,1930,1642000
Apr2022,1313,1851,2432000
Apr2022,1334,1843,2461000
Apr2022,1076,1858,2001000
Apr2022,1334,1866,2491000
Apr2022,1097,1849,2031000
Apr2022,1097,1852,2034000
Apr2022,850,1927,1639000
Apr2022,1227,1752,2150000
Apr2022,1194,1847,2207000
Apr2022,1313,1871,2458000
Apr2022,1065,1864,1987000
Apr2022,656,1734,1139000
Apr2022,1194,1830,2187000
Apr2022,850,1941,1651000
Apr2022,1313,1855,2436000
Apr2022,1087,1918,2086000
Apr2022,979,1795,1759000
Apr2022,1334,1850,2470000
Apr2022,1087,1896,2062000
Apr2022,1087,1893,2058000
Apr2022,968,1808,1752000
Apr2022,1065,1857,1979000
Apr2022,850,1966,1672000
Apr2022,1313,1861,2444000
Apr2022,1065,1851,1973000
Apr2022,850,1921,1634000
Apr2022,656,1696,1114000
Apr2022,1087,1922,2090000
Apr2022,1313,1813,2381000
Apr2022,1087,1878,2042000
Apr2022,850,1903,1619000
Apr2022,1076,1877,2021000
Apr2022,1334,1847,2466000
Apr2022,1313,1858,2440000
Apr2022,1313,1843,2421000
Apr2022,1313,1861,2444000
Apr2022,850,1963,1670000
Apr2022,1076,1902,2048000
Apr2022,1313,1827,2400000
Apr2022,1065,1886,2010000
Apr2022,850,1949,1658000
Apr2022,947,1780,1687000
Apr2022,1087,1888,2053000
Apr2022,1097,1861,2044000
Apr2022,850,1959,1666000
Apr2022,850,1915,1629000
Apr2022,645,1676,1083000
Apr2022,850,1899,1615000
Apr2022,1076,1899,2045000
Apr2022,1313,1868,2454000
Apr2022,656,1737,1141000
Mar2022,527,1949,1028000
Mar2022,1194,1834,2192000
Mar2022,1334,1879,2508000
Mar2022,527,1962,1035000
Mar2022,527,1969,1039000
Mar2022,1313,1800,2365000
Mar2022,527,1968,1038000
Mar2022,527,1928,1017000
Mar2022,645,1698,1097000
Mar2022,957,1887,1808000
Mar2022,1065,1870,1993000
Mar2022,527,1937,1022000
Mar2022,957,1911,1831000
Mar2022,957,1913,1833000
Mar2022,527,1958,1033000
Mar2022,968,1855,1798000
Mar2022,957,1851,1774000
Mar2022,1313,1807,2373000
Mar2022,1334,1882,2512000
Mar2022,527,1983,1046000
Mar2022,957,1873,1795000
Mar2022,645,1734,1120000
Mar2022,527,1914,1010000
Mar2022,968,1820,1764000
Mar2022,850,1925,1637000
Mar2022,1108,1728,1916000
Mar2022,1313,1797,2361000
Mar2022,968,1840,1783000
Mar2022,527,1979,1044000
Mar2022,527,1916,1011000
Mar2022,645,1731,1118000
Mar2022,1313,1853,2434000
Mar2022,1065,1853,1975000
Mar2022,527,1911,1008000
Mar2022,1054,1754,1851000
Mar2022,957,1858,1780000
Mar2022,527,1973,1041000
Mar2022,968,1809,1753000
Mar2022,1496,1769,2647000
Mar2022,1313,1816,2385000
Mar2022,936,1890,1770000
Mar2022,527,1992,1051000
Mar2022,527,1966,1037000
Mar2022,1194,1822,2178000
Mar2022,957,1898,1819000
Mar2022,1237,1696,2100000
Mar2022,957,1908,1828000
Mar2022,1345,1777,2391000
Mar2022,1108,1689,1873000
Mar2022,527,1985,1047000
Mar2022,527,1956,1032000
Mar2022,1065,1836,1957000
Mar2022,1334,1869,2495000
Mar2022,527,1926,1016000
Mar2022,656,1734,1139000
Mar2022,1334,1876,2504000
Mar2022,527,1952,1030000
Mar2022,527,1930,1018000
Mar2022,1313,1827,2400000
Mar2022,527,1990,1050000
Mar2022,527,1958,1033000
Mar2022,968,1882,1824000
Mar2022,1194,1825,2181000
Mar2022,957,1889,1810000
Mar2022,527,1956,1032000
Mar2022,957,1905,1825000
Mar2022,1065,1868,1991000
Mar2022,527,1969,1039000
Mar2022,968,1849,1792000
Mar2022,1194,1837,2196000
Mar2022,968,1815,1759000
Mar2022,1087,1903,2069000
Mar2022,1065,1879,2003000
Feb2022,957,1883,1804000
Feb2022,968,1808,1752000
Feb2022,527,1909,1006970
Feb2022,516,1950,1007980
Feb2022,527,1890,996870
Feb2022,527,1926,1016000
Feb2022,957,1843,1766000
Feb2022,968,1840,1783000
Feb2022,1076,1874,2018000
Feb2022,936,1847,1730000
Feb2022,968,1818,1762000
Feb2022,1313,1843,2421000
Feb2022,527,1952,1030000
Feb2022,904,1835,1660000
Feb2022,968,1763,1708000
Feb2022,1194,1832,2189000
Feb2022,968,1805,1749000
Feb2022,1087,1836,1997000
Feb2022,850,1923,1636000
Feb2022,527,1891,997880
Feb2022,527,1924,1015000
Feb2022,656,1684,1105950
Feb2022,527,1935,1021000
Feb2022,968,1845,1788000
Feb2022,527,1924,1015000
Feb2022,968,1766,1711000
Feb2022,527,1932,1019090
Feb2022,527,1916,1011000
Feb2022,850,1887,1605000
Feb2022,1334,1859,2482000
Feb2022,968,1806,1750000
Feb2022,904,1801,1629000
Feb2022,1194,1840,2199000
Feb2022,527,1913,1009000
Feb2022,1334,1875,2503000
Feb2022,527,1950,1029000
Feb2022,1313,1827,2400000
Feb2022,1065,1856,1978000
Feb2022,968,1834,1777000
Feb2022,527,1936,1021110
Feb2022,1194,1816,2170000
Feb2022,527,1901,1002930
Feb2022,968,1790,1735000
Feb2022,957,1846,1769000
Feb2022,527,1939,1023000
Feb2022,968,1812,1756000
Feb2022,527,1973,1041000
Feb2022,968,1790,1735000
Feb2022,968,1803,1747000
Feb2022,936,1775,1662695
Feb2022,968,1800,1744000
Feb2022,1334,1866,2491000
Feb2022,527,1939,1023130
Feb2022,968,1831,1774000
Feb2022,1065,1835,1956000
Feb2022,1065,1866,1989000
Feb2022,527,1933,1020000
Feb2022,516,1978,1022000
Feb2022,1065,1855,1977000
Feb2022,1087,1881,2046000
Feb2022,1097,1849,2031000
Feb2022,1313,1782,2341000
Feb2022,957,1860,1782000
Feb2022,968,1825,1768000
Feb2022,527,1913,1008990
Feb2022,1065,1879,2003000
Feb2022,527,1897,1000910
Feb2022,1076,1877,2021000
Feb2022,968,1774,1719000
Feb2022,968,1808,1752000
Feb2022,968,1787,1732000
Feb2022,527,1956,1032000
Feb2022,1313,1813,2381000
Feb2022,1194,1825,2181000
Feb2022,527,1971,1040000
Feb2022,968,1839,1782000
Feb2022,1334,1850,2470000
Feb2022,527,1907,1005960
Feb2022,957,1849,1772000
Feb2022,527,1928,1017000
Feb2022,516,1884,973640
Feb2022,527,1941,1024000
Feb2022,968,1838,1781000
Jan2022,527,1937,1022120
Jan2022,656,1702,1118070
Jan2022,947,1746,1654000
Jan2022,1313,1871,2457000
Jan2022,1065,1847,1969000
Jan2022,1313,1828,2401000
Jan2022,581,1921,1117060
Jan2022,904,1807,1634000
Jan2022,1313,1791,2353000
Jan2022,1065,1825,1945000
Jan2022,527,1932,1019090
Jan2022,828,1901,1576000
Jan2022,828,1943,1611000
Jan2022,968,1811,1755000
Jan2022,527,1891,997880
Jan2022,1614,1783,2879000
Jan2022,1313,1813,2382000
Jan2022,1614,1814,2929000
Jan2022,1194,1835,2193000
Jan2022,957,1858,1780000
Jan2022,936,1765,1653000
Jan2022,936,1808,1694000
Jan2022,828,1891,1568000
Jan2022,1065,1824,1944000
Jan2022,968,1842,1785000
Jan2022,527,1899,1001920
Jan2022,968,1871,1813000
Jan2022,527,1909,1006970
Jan2022,914,1741,1593000
Jan2022,1614,1793,2895000
Jan2022,656,1661,1090800
Jan2022,1087,1856,2018000
Jan2022,957,1824,1748000
Jan2022,904,1841,1665000
Jan2022,957,1818,1742000
Jan2022,904,1762,1594000
Jan2022,968,1784,1729000
Jan2022,527,1897,1000910
Jan2022,968,1777,1722000
Jan2022,1313,1861,2444000
Jan2022,527,1924,1015050
Jan2022,527,1941,1024140
Jan2022,1087,1853,2015000
Jan2022,957,1822,1746000
Jan2022,957,1833,1756000
Jan2022,1194,1883,2250000
Jan2022,516,1941,1002930
Jan2022,936,1839,1723000
Jan2022,968,1780,1725000
Jan2022,1065,1832,1953000
Jan2022,968,1845,1788000
Jan2022,828,1860,1542000
Jan2022,527,1882,992830
Jan2022,527,1907,1005960
Jan2022,936,1773,1661000
Jan2022,1087,1824,1984000
Jan2022,527,1943,1025150
Jan2022,1334,1819,2429000
Jan2022,1614,1816,2933000
Jan2022,936,1761,1650000
Jan2022,1065,1829,1950000
Jan2022,527,1870,986770
Jan2022,2109,1493,3150000
Jan2022,527,1907,1005960
Jan2022,527,1945,1026160
Jan2022,1614,1773,2863000
Jan2022,947,1758,1666000
Jan2022,1313,1890,2483000
Jan2022,1065,1792,1910000
Jan2022,1313,1823,2394000
Jan2022,516,1947,1005960
Jan2022,936,1855,1738000
Jan2022,957,1826,1750000
Jan2022,936,1786,1673000
Jan2022,1065,1863,1986000
Jan2022,968,1759,1705000
Jan2022,1097,1838,2019000
Jan2022,527,1955,1031210
Jan2022,527,1903,1003940
Jan2022,1614,1832,2959000
Jan2022,968,1751,1696530
Jan2022,1313,1850,2430000
Jan2022,1334,1862,2486000
Jan2022,1614,1842,2975000
Jan2022,850,1890,1608000
Jan2022,936,1776,1664000
Jan2022,527,1891,997880
Jan2022,1065,1844,1966000
Jan2022,968,1794,1738000
Dec2021,527,1924,1015050
Dec2021,527,1893,998890
Dec2021,1313,1811,2378775
Dec2021,968,1818,1762000
Dec2021,947,1830,1734000
Dec2021,1453,1719,2499000
Dec2021,527,1886,994850
Dec2021,957,1836,1759000
Dec2021,516,1898,981000
Dec2021,947,1842,1745000
Dec2021,527,1909,1006970
Dec2021,516,1952,1008990
Dec2021,1334,1816,2425000
Dec2021,968,1814,1758000
Dec2021,1065,1757,1872400
Dec2021,1097,1814,1992000
Dec2021,968,1848,1791000
Dec2021,914,1797,1645000
Dec2021,527,1892,998000
Dec2021,968,1825,1768000
Dec2021,559,1845,1033000
Dec2021,1065,1816,1936000
Dec2021,2109,1493,3150000
Dec2021,968,1848,1791000
Dec2021,581,1913,1112000
Dec2021,904,1825,1651000
Dec2021,904,1814,1641000
Dec2021,1313,1819,2390000
Dec2021,936,1827,1711000
Dec2021,1065,1840,1961000
Dec2021,1097,1819,1998000
Dec2021,936,1849,1732000
Dec2021,968,1861,1803000
Dec2021,936,1780,1667000
Dec2021,914,1816,1662000
Dec2021,527,1920,1013030
Dec2021,936,1759,1648000
Dec2021,1076,1710,1841000
Dec2021,559,1861,1042000
Dec2021,527,1895,1000000
Dec2021,936,1817,1702000
Dec2021,1097,1827,2006000
Dec2021,527,1958,1033230
Dec2021,656,1890,1241000
Dec2021,914,1794,1642000
Dec2021,1022,1699,1738000
Dec2021,904,1793,1622000
Dec2021,527,1893,998890
Dec2021,936,1859,1741000
Dec2021,1097,1818,1996830
Dec2021,688,1732,1193820
Dec2021,828,1889,1566000
Dec2021,527,1928,1017070
Dec2021,1313,1838,2414000
Dec2021,516,1929,996870
Dec2021,828,1827,1514583
Dec2021,914,1801,1648000
Dec2021,947,1848,1751000
Dec2021,936,1830,1714000
Dec2021,1065,1819,1939000
Dec2021,678,1733,1175640
Dec2021,828,1895,1571000
Dec2021,527,1888,995860
Dec2021,1011,1717,1738000
Dec2021,1097,1901,2088000
Dec2021,947,1711,1621000
Dec2021,968,1851,1794000
Dec2021,527,1895,999900
Dec2021,936,1828,1712000
Dec2021,914,1792,1640000
Dec2021,527,1907,1005960
Nov2021,1065,1813,1933000
Nov2021,527,1933,1020000
Nov2021,1097,1826,2005000
Nov2021,516,1923,993840
Nov2021,1614,1822,2943000
Nov2021,850,1935,1646000
Nov2021,1614,1816,2933000
