date,sqft,psf,price
Feb2026,968,2116,2050000
Feb2026,721,2229,1608000
Feb2026,721,2290,1652000
Jan2026,1496,2399,3590000
Jan2026,904,2543,2300000
Jan2026,721,2129,1535888
Jan2026,452,2068,935000
Dec2025,1076,2489,2680000
Dec2025,1496,2366,3540000
Dec2025,904,2442,2208000
Dec2025,742,2302,1710000
Dec2025,452,2001,905000
Dec2025,914,2481,2270000
Dec2025,1291,2399,3100000
Dec2025,914,2261,2068888
Nov2025,452,2035,920000
Nov2025,1711,2138,3660000
Nov2025,452,2063,933000
Oct2025,452,1946,880000
Oct2025,710,2139,1520000
Oct2025,452,2079,940000
Oct2025,452,2035,920000
Oct2025,721,2194,1582500
Oct2025,1711,2154,3688000
Oct2025,914,2388,2185000
Oct2025,968,2178,2110000
Oct2025,516,1896,980000
Oct2025,914,2295,2100000
Oct2025,861,2485,2140000
Sep2025,914,2459,2250000
Sep2025,968,2023,1960000
Sep2025,505,1828,925000
Sep2025,505,1956,990000
Sep2025,710,2174,1545000
Sep2025,452,2010,908888
Aug2025,721,2260,1630000
Aug2025,452,2039,922000
Aug2025,721,2204,1590000
Aug2025,1076,2618,2818000
Aug2025,968,2043,1980000
Aug2025,904,2399,2170000
Aug2025,893,2272,2030000
Aug2025,452,1990,900000
Aug2025,1044,2518,2630000
Aug2025,1496,2339,3500000
Jul2025,742,2275,1690000
Jul2025,452,2046,925000
Jul2025,452,2090,945000
Jul2025,1044,2575,2688888
Jul2025,710,2153,1530000
Jul2025,1237,2294,2840000
Jul2025,688,2003,1380000
Jun2025,505,1996,1010000
Jun2025,882,2214,1955000
Jun2025,1463,2288,3350000
Jun2025,505,1980,1002000
Jun2025,990,1999,1980000
Jun2025,452,1990,900000
Jun2025,1044,2490,2600000
Jun2025,731,1994,1460000
May2025,688,2051,1413000
May2025,1054,2132,2250000
May2025,893,2210,1975000
May2025,452,1946,880000
May2025,968,2147,2080000
May2025,710,2164,1538000
Apr2025,452,2046,925000
Apr2025,452,1924,870000
Apr2025,688,2040,1405888
Apr2025,452,1990,900000
Apr2025,968,2155,2088000
Apr2025,914,2164,1980000
Apr2025,721,2066,1490000
Apr2025,721,2190,1580000
Apr2025,861,2218,1910000
Apr2025,452,2068,935000
Mar2025,688,2003,1380000
Mar2025,1496,2071,3100000
Mar2025,990,2028,2008888
Mar2025,721,2022,1458888
Mar2025,1044,2394,2500000
Mar2025,968,2074,2010000
Mar2025,688,2039,1405000
Mar2025,516,1906,985000
Mar2025,688,2036,1402988
Feb2025,699,1600,1120000
Feb2025,1044,2380,2485000
Feb2025,1044,2156,2251688
Feb2025,688,2022,1393000
Feb2025,505,1818,920000
Jan2025,721,2059,1485000
Jan2025,1496,2345,3510000
Jan2025,914,2360,2160000
Jan2025,452,1924,870000
Jan2025,914,2296,2100888
Jan2025,1463,2082,3048888
Jan2025,914,2287,2093000
Jan2025,699,2215,1550000
Dec2024,710,1562,1110000
Dec2024,505,1917,970000
Dec2024,2658,1354,3600000
Dec2024,721,2132,1538000
Dec2024,828,2292,1900000
Dec2024,721,2163,1560000
Dec2024,914,2120,1940000
Dec2024,710,2153,1530000
Dec2024,893,1600,1430000
Dec2024,624,1553,970000
Dec2024,710,2111,1500000
Nov2024,688,2010,1385000
Nov2024,1496,2297,3438000
Nov2024,721,1941,1400000
Nov2024,688,1985,1368000
Nov2024,1076,2303,2480000
Nov2024,1496,2311,3458000
Nov2024,742,2218,1648000
Oct2024,1044,2198,2295000
Oct2024,688,1942,1338000
Oct2024,452,1902,860000
Oct2024,1291,2270,2933000
Oct2024,1044,2287,2388000
Oct2024,1237,2350,2910000
Oct2024,721,2114,1525000
Oct2024,990,1979,1960000
Oct2024,861,2135,1838888
Oct2024,688,1959,1350000
Oct2024,452,2023,915000
Oct2024,861,2241,1930000
Sep2024,914,2076,1900000
Sep2024,893,2315,2068888
Sep2024,1044,2298,2400000
Sep2024,1291,2351,3038000
Sep2024,1248,2250,2810000
Sep2024,968,2095,2030000
Sep2024,721,1934,1395000
Sep2024,452,2039,922000
Aug2024,688,1981,1365000
Aug2024,721,1906,1375000
Aug2024,710,2111,1500000
Aug2024,688,1923,1325000
Jul2024,742,2167,1610000
Jul2024,688,1985,1368000
Jul2024,688,2017,1390000
Jul2024,731,2049,1500000
Jul2024,688,1981,1365000
Jul2024,721,1906,1375000
Jul2024,1291,2260,2920000
Jul2024,904,2322,2100000
Jul2024,1076,2229,2400000
Jun2024,721,1962,1415000
Jun2024,688,1962,1352000
Jun2024,828,2129,1765000
Jun2024,721,2017,1455000
Jun2024,710,2041,1450000
Jun2024,710,1991,1415000
Jun2024,721,2086,1505000
Jun2024,710,1998,1420000
Jun2024,742,2095,1556000
Jun2024,742,2127,1580000
Jun2024,893,2238,2000000
Jun2024,731,1897,1388888
Jun2024,452,1990,900000
Jun2024,721,2049,1478000
Jun2024,721,1999,1441888
Jun2024,893,2042,1825000
Jun2024,914,2295,2100000
May2024,742,2086,1550000
May2024,1044,2260,2360000
May2024,893,2137,1910000
May2024,452,2039,922000
May2024,1044,2078,2170000
May2024,731,1885,1380000
May2024,914,2120,1940000
May2024,516,1809,935000
May2024,688,1843,1270000
May2024,688,1901,1310000
May2024,828,2123,1760000
May2024,710,2048,1455000
Apr2024,861,2049,1765000
