date,sqft,psf,price
Feb2026,635,1700,1080000
Jan2026,1140,1858,2120000
Dec2025,678,1577,1070000
Dec2025,678,1502,1018888
Dec2025,731,1721,1260000
Dec2025,1270,1991,2530000
Dec2025,1302,1904,2480000
Nov2025,1270,1873,2380000
Nov2025,731,1707,1250000
Nov2025,807,1511,1220000
Nov2025,1280,1951,2500000
Oct2025,1140,1838,2098000
Oct2025,775,1767,1370000
Sep2025,1280,2020,2588000
Sep2025,731,1776,1300000
Sep2025,764,1609,1230000
Sep2025,721,1760,1270000
Aug2025,1302,1965,2560008
Aug2025,968,1852,1795000
Jul2025,635,1839,1168000
Jul2025,764,1622,1240000
Jul2025,775,1625,1260000
Jul2025,731,1707,1250000
Jul2025,1270,1928,2450000
Jul2025,1140,1847,2108000
Jun2025,775,1638,1270000
Jun2025,1140,1918,2188888
Jun2025,2228,1283,2860000
Jun2025,1270,1911,2428000
Jun2025,721,1924,1388000
May2025,775,1802,1396888
Feb2025,1119,1982,2218888
Feb2025,990,1767,1750000
Feb2025,1270,1913,2430000
Jan2025,721,1760,1270000
Jan2025,1528,1753,2680000
Jan2025,764,1766,1350000
Jan2025,1162,1891,2198888
Jan2025,731,1759,1288000
Jan2025,1140,1823,2080000
Dec2024,764,1609,1230000
Nov2024,731,1721,1260000
Nov2024,1474,1674,2470000
Oct2024,990,1775,1758000
Oct2024,1162,1677,1950000
Sep2024,968,1713,1660000
Sep2024,936,1708,1600000
Aug2024,764,1746,1335000
Aug2024,1270,1828,2321888
Jun2024,559,1647,922000
Jun2024,1140,1823,2080000
Jun2024,635,1618,1028000
May2024,635,1795,1140000
May2024,731,1748,1280000
May2024,1528,1766,2700000
May2024,968,1734,1680000
May2024,1280,1522,1950000
Apr2024,990,1767,1750000
Apr2024,1270,1732,2200000
Apr2024,721,1663,1200000
Apr2024,635,1763,1120000
Apr2024,731,1700,1245000
Mar2024,775,1529,1185000
Feb2024,1140,1586,1810000
Feb2024,1474,1661,2450000
Feb2024,871,1387,1210000
Jan2024,968,1548,1500000
Jan2024,990,1746,1730000
Jan2024,990,1746,1730000
Jan2024,764,1674,1280000
Dec2023,764,1557,1190000
Nov2023,1119,1831,2050000
Oct2023,559,1611,901888
Oct2023,807,1424,1150000
Aug2023,635,1807,1148000
