date,sqft,psf,price
Sep2025,1108,1631,1808888
Mar2025,1011,1858,1880000
Dec2024,1560,1300,2030000
Oct2024,828,1785,1480000
Jun2024,1485,1282,1905000
Jun2024,1560,1323,2065200
Jun2024,839,1786,1500000
May2024,839,1768,1485000
Mar2024,1851,1215,2250000
Jan2024,2012,1192,2400000
Dec2023,1420,1442,2050000
Oct2023,1076,1467,1580000
Aug2023,1119,1668,1868000
Jul2023,828,1658,1375000
Jun2023,1022,1760,1800000
May2023,839,1768,1485000
May2023,1011,1749,1770000
May2023,1011,1717,1738000
Feb2023,1087,1526,1660000
Dec2022,1474,1510,2228000
Sep2022,1076,1374,1480000
Jan2022,1743,1393,2430000
Sep2021,1560,1422,2220000
Aug2021,1097,1603,1760000
Jul2021,818,1552,1270000
Jun2021,1539,1344,2070200
May2021,1076,1347,1450000
Mar2021,828,1459,1210000
Jan2021,839,1548,1300000
Dec2020,1097,1502,1650000
Dec2020,1539,1266,1950000
Sep2020,2023,1062,2150000
Jul2020,828,1423,1180000
Sep2019,839,1512,1270000
Jun2019,1087,1379,1500000
Jun2018,1033,1499,1550000
May2018,1033,1374,1420000
