date,sqft,psf,price
Feb2026,1001,1798,1800000
Nov2025,538,1913,1030000
Aug2025,1550,1064,1650000
May2025,538,1900,1023000
Jan2025,1151,1578,1818000
Nov2024,1054,1137,1200000
Sep2024,1657,1085,1800000
May2024,635,1732,1100000
May2024,613,1838,1128000
Apr2024,1054,1227,1295000
Mar2024,613,1740,1068000
Oct2023,538,1765,950000
Aug2023,947,1594,1510000
Aug2023,538,1802,970000
May2023,1054,1147,1210000
Apr2023,538,1765,950000
Feb2023,785,1679,1320000
Dec2022,775,1661,1288000
Aug2022,538,1750,942000
May2022,538,1709,920000
Mar2022,538,1597,860000
Mar2022,538,1727,930000
Aug2021,538,1727,930000
Jun2021,785,1463,1150000
Jun2021,538,1709,920000
May2021,1151,1441,1660000
Sep2020,785,1463,1150000
Aug2019,538,1802,970000
Mar2019,1205,1559,1880000
Nov2018,904,1483,1341000
Jun2018,1022,1525,1560000
Jun2018,947,1478,1400000
Jan2018,538,1672,900000
Jul2017,775,1677,1300000
