date,sqft,psf,price
Mar2026,850,1469,1250000
Feb2026,570,1525,870000
Jan2026,731,1528,1118888
Jan2026,871,1456,1270000
Jan2026,925,1598,1480000
Jan2026,613,1595,978888
Jan2026,570,1486,848000
Jan2026,570,1621,925000
Dec2025,850,1475,1255000
Dec2025,1162,1419,1650000
Dec2025,1227,1572,1930000
Dec2025,925,1577,1460000
Dec2025,1162,1634,1900000
Nov2025,710,1492,1060000
Nov2025,1001,1528,1530000
Nov2025,731,1538,1125888
Nov2025,1065,1500,1599000
Nov2025,570,1595,910000
Nov2025,1065,1435,1530000
Oct2025,495,1621,803000
Oct2025,731,1523,1115000
Oct2025,1184,1494,1770000
Oct2025,1044,1492,1558000
Sep2025,731,1553,1136888
Sep2025,1227,1515,1860000
Aug2025,570,1454,830000
Aug2025,731,1579,1155888
Aug2025,1065,1520,1619888
Aug2025,731,1475,1080000
Aug2025,495,1607,796000
Aug2025,495,1621,803000
Jul2025,1184,1482,1755000
Jul2025,1237,1421,1760000
Jul2025,1097,1320,1450000
Jul2025,850,1491,1268000
Jul2025,979,1408,1380000
Jul2025,1162,1488,1730000
Jul2025,1097,1484,1630000
Jul2025,495,1577,781000
Jul2025,871,1442,1258000
Jun2025,570,1610,918888
Jun2025,850,1469,1250000
Jun2025,850,1522,1295000
May2025,925,1531,1418000
May2025,613,1496,918000
May2025,731,1489,1090000
May2025,1001,1483,1485000
May2025,1173,1397,1640000
May2025,495,1555,770000
May2025,1044,1505,1571888
Apr2025,710,1610,1143888
Apr2025,731,1543,1130000
Apr2025,925,1469,1360000
Apr2025,495,1555,770000
Apr2025,1001,1468,1470000
Apr2025,925,1500,1388888
Apr2025,1097,1521,1670000
Apr2025,731,1546,1132000
Apr2025,495,1484,735000
Apr2025,1097,1483,1628880
Apr2025,570,1481,845000
Apr2025,979,1378,1350000
Mar2025,1044,1484,1550000
Mar2025,1044,1484,1550000
Mar2025,850,1469,1250000
Mar2025,1162,1505,1750000
Mar2025,613,1442,885000
Mar2025,925,1479,1370000
Mar2025,495,1575,780000
Feb2025,925,1458,1350000
Feb2025,1044,1501,1568000
Feb2025,796,1358,1082000
Feb2025,925,1452,1345000
Feb2025,1065,1490,1588000
Feb2025,495,1631,808000
Feb2025,1227,1507,1850000
Jan2025,635,1330,845000
Jan2025,979,1327,1300000
Jan2025,731,1546,1132000
Jan2025,1227,1532,1880000
Jan2025,871,1450,1265000
Jan2025,1044,1465,1530000
Jan2025,731,1543,1130000
Dec2024,495,1601,792888
Dec2024,925,1361,1260000
Dec2024,613,1548,950000
Dec2024,1097,1493,1640000
Nov2024,1097,1498,1645000
Nov2024,495,1575,780000
Nov2024,613,1548,950000
Nov2024,1065,1417,1510000
Nov2024,1076,1361,1465000
Nov2024,1044,1388,1450000
Oct2024,495,1601,793000
Oct2024,925,1425,1320000
Oct2024,1097,1475,1620000
Oct2024,947,1454,1378000
Oct2024,1097,1361,1495000
Oct2024,1001,1448,1450000
Oct2024,1097,1467,1610888
Oct2024,1044,1340,1400000
Oct2024,1162,1479,1720000
